csafp,cbsafp,geoid,name,lsad,name_short,lat,lon
142,13820,13820,"Birmingham-Hoover, AL",M1,Birmingham,33.4025986,-86.7295151
NA,13900,13900,"Bismarck, ND",M1,Bismarck,46.887031,-100.979592
NA,13980,13980,"Blacksburg-Christiansburg, VA",M1,Blacksburg,37.1201194,-80.5591473
145,14010,14010,"Bloomington, IL",M1,Bloomington,40.4945594,-88.8445391
NA,14180,14180,"Blytheville, AR",M2,Blytheville,35.7669437,-90.0522072
147,14260,14260,"Boise City, ID",M1,Boise City,43.0066485,-116.1419089
NA,14380,14380,"Boone, NC",M2,Boone,36.2353679,-81.7098875
148,14460,14460,"Boston-Cambridge-Newton, MA-NH",M1,Boston,42.517606,-71.0219925
216,14500,14500,"Boulder, CO",M1,Boulder,40.0949699,-105.3976911
150,14540,14540,"Bowling Green, KY",M1,Bowling Green,37.0468241,-86.3970408
NA,14580,14580,"Bozeman, MT",M2,Bozeman,45.5180536,-111.1639214
NA,14660,14660,"Brainerd, MN",M2,Brainerd,46.7672909,-94.2238624
500,14740,14740,"Bremerton-Silverdale-Port Orchard, WA",M1,Bremerton,47.6395948,-122.6496339
408,14860,14860,"Bridgeport-Stamford-Norwalk, CT",M1,Bridgeport,41.2274128,-73.3670614
NA,15060,15060,"Brookings, OR",M2,Brookings,42.4664387,-124.2109292
154,15180,15180,"Brownsville-Harlingen, TX",M1,Brownsville,26.1029227,-97.4789584
NA,15220,15220,"Brownwood, TX",M2,Brownwood,31.7641372,-98.998456
NA,15260,15260,"Brunswick, GA",M1,Brunswick,31.3017391,-81.5889087
160,15380,15380,"Buffalo-Cheektowaga, NY",M1,Buffalo,43.0443711,-78.7773351
NA,15420,15420,"Burley, ID",M2,Burley,42.3691987,-113.6424237
178,17140,17140,"Cincinnati, OH-KY-IN",M1,"Cincinnati, OH",39.0998213,-84.4804072
NA,17300,17300,"Clarksville, TN-KY",M1,"Clarksville, TN",36.6957098,-87.6243072
184,17460,17460,"Cleveland-Elyria, OH",M1,Cleveland,41.7603919,-81.7242168
209,17540,17540,"Clinton, IA",M2,Clinton,41.8980732,-90.5342431
188,17580,17580,"Clovis, NM",M2,Clovis,34.5729841,-103.3460546
518,17660,17660,"Coeur d'Alene, ID",M1,Coeur d'Alene,47.6759658,-116.6959222
NA,17700,17700,"Coffeyville, KS",M2,Coffeyville,37.1895369,-95.7424028
NA,17780,17780,"College Station-Bryan, TX",M1,College Station,30.7543917,-96.4885368
NA,17820,17820,"Colorado Springs, CO",M1,Colorado Springs,38.8455072,-104.6387277
192,17900,17900,"Columbia, SC",M1,Columbia,34.0775845,-81.0378453
194,17980,17980,"Columbus, GA-AL",M1,"Columbus, GA",32.4193768,-84.8437095
294,18020,18020,"Columbus, IN",M1,Columbus,39.205843,-85.8979988
200,18060,18060,"Columbus, MS",M2,Columbus,33.4714237,-88.4397227
NA,18100,18100,"Columbus, NE",M2,Columbus,41.5768655,-97.5134673
198,18140,18140,"Columbus, OH",M1,Columbus,39.9685617,-82.8359105
148,18180,18180,"Concord, NH",M2,Concord,43.2995786,-71.6800412
NA,18300,18300,"Coos Bay, OR",M2,Coos Bay,43.1859095,-124.0941335
204,18580,18580,"Corpus Christi, TX",M1,Corpus Christi,27.8335972,-97.5089575
206,18620,18620,"Corsicana, TX",M2,Corsicana,32.048448,-96.4769087
296,18660,18660,"Cortland, NY",M2,Cortland,42.594039,-76.0762398
440,18700,18700,"Corvallis, OR",M1,Corvallis,44.4938816,-123.4246641
525,18780,18780,"Craig, CO",M2,Craig,40.6108644,-108.2171545
NA,18860,18860,"Crescent City, CA",M2,Crescent City,41.763958,-124.003614
NA,22220,22220,"Fayetteville-Springdale-Rogers, AR",M1,Fayetteville,36.1163935,-94.0795449
NA,22260,22260,"Fergus Falls, MN",M2,Fergus Falls,46.4057273,-95.7145815
534,22300,22300,"Findlay, OH",M2,Findlay,41.0004711,-83.6660335
NA,22380,22380,"Flagstaff, AZ",M1,Flagstaff,35.8296919,-111.7737277
220,22420,22420,"Flint, MI",M1,Flint,43.0210768,-83.7063718
NA,22500,22500,"Florence, SC",M1,Florence,34.1535741,-79.8061642
NA,22520,22520,"Florence-Muscle Shoals, AL",M1,Florence,34.7992544,-87.7193881
NA,22580,22580,"Forest City, NC",M2,Forest City,35.4027469,-81.9195825
