cbsafp,name,preference_points
37980,Philadelphia,100
35620,New York,95
42660,Seattle,85
41740,San Diego,80
47900,Washington,50
12060,Atlanta,50
16980,Chicago,45
38900,Portland,45
19740,Denver,35
45300,Tampa,35
14460,Boston,35
12420,Austin,35
33460,Minneapolis,30
36740,Orlando,30
27260,Jacksonville,25
35380,New Orleans,5
29820,Las Vegas,0
19100,Dallas,0
38060,Phoenix,0
19820,Detroit,0
26420,Houston,0
12580,Baltimore,0
16740,Charlotte,0
