usaf,wban,query,lat,lon,timezone_offset,timezone,country_iso,country,country_code,state,postcode,city
39000,NA,"54.417,-8.083",54.417,-8.083,0,GMT,GB,United Kingdom,gb,Northern Ireland,BT93 4AE,NA
061800,99999,"55.618,12.656",55.618,12.656,3600,CET,DK,Denmark,dk,Capital Region of Denmark,2791,NA
868870,99999,"-22.983,-43.183",-22.983,-43.183,-10800,-3,BR,Brazil,br,Rio de Janeiro,22070-900,Rio de Janeiro
467660,99999,"22.75,121.15",22.75,121.15,28800,CST,TW,Taiwan,tw,NA,950,NA
066800,99999,"47.25,9.35",47.25,9.35,3600,CET,CH,Switzerland,ch,Sankt Gallen,9057,NA
25990,NA,"57.067,18.217",57.067,18.217,3600,CET,SE,Sweden,se,Gotland County,NA,NA
251870,99999,"68.333,177.717",68.333,177.717,43200,12,RU,Russia,ru,Chukotka Autonomous Okrug,NA,NA
545640,99999,"0,0",0,0,NA,NA,NA,NA,NA,NA,NA,NA
039140,99999,"55.2,-6.667",55.2,-6.667,0,GMT,GB,United Kingdom,gb,Northern Ireland,BT55 7DA,NA
997310,99999,"33.87,-78.5",33.87,-78.5,NA,NA,US,United States of America,us,North Carolina,28468,NA
060530,99999,"57,9.3",57,9.3,3600,CET,DK,Denmark,dk,North Denmark Region,NA,NA
010920,99999,"70.7,30.083",70.7,30.083,NA,NA,NO,Norway,no,Finnmark,NA,NA
154220,99999,"44.417,26.1",44.417,26.1,7200,EET,RO,Romania,ro,Municipiul București,040213,NA
943390,99999,"-22.383,143.033",-22.383,143.033,36000,AEST,AU,Australia,au,Queensland,4735,NA
475200,99999,"38.75,140.317",38.75,140.317,32400,JST,JP,Japan,jp,Yamagata Prefecture,NA,Shinjo
728250,99999,"52.933,-66.867",52.933,-66.867,-14400,AST,CA,Canada,ca,Newfoundland and Labrador,A2V 2J6,NA
64760,NA,"50.036,5.404",50.036,5.404,3600,CET,BE,Belgium,be,Wallonia,6870,NA
034053,99999,"52.812,-4.124",52.812,-4.124,0,GMT,GB,United Kingdom,gb,Wales,LL45 2PJ,NA
406507,99999,"33.786,42.441",33.786,42.441,10800,3,IQ,Iraq,iq,Al Anbar,NA,NA
724087,99999,"40.1,-74.02",40.1,-74.02,-18000,EST,US,United States of America,us,New Jersey,8730,Brielle
690310,3125,"32.833,-114.4",32.833,-114.4,-25200,MST,US,United States of America,us,Arizona,NA,Yuma
836860,99999,"-21.817,-45.95",-21.817,-45.95,-10800,-3,BR,Brazil,br,Minas Gerais,37757-000,NA
691684,99999,"18.967,12.967",18.967,12.967,3600,WAT,NE,Niger,ne,NA,NA,NA
