usaf,wban,query,lat,lon,timezone_offset,timezone,country_iso,country,country_code,state,postcode,city
720295,53972,"32.0835,-97.0985",32.0835,-97.0985,-21600,CST,US,United States of America,us,Texas,NA,NA
720295,99999,"32.0835,-97.0985",32.0835,-97.0985,-21600,CST,US,United States of America,us,Texas,NA,NA
965950,99999,"-0.95,114.9",-0.95,114.9,25200,WIB,ID,Indonesia,id,Central Kalimantan,73811,NA
916700,99999,"-17.15,176.9",-17.15,176.9,43200,12,FJ,Fiji,fj,Western,NA,NA
27290,NA,"61.883,25.333",61.883,25.333,7200,EET,FI,Finland,fi,Western Finland,NA,NA
965970,99999,"-1.633,114.833",-1.633,114.833,25200,WIB,ID,Indonesia,id,Central Kalimantan,NA,NA
997268,99999,"46.5,-84.37",46.5,-84.37,-18000,EST,US,United States of America,us,Michigan,49783,Sault Ste. Marie
992290,99999,"41.85,-124.38",41.85,-124.38,-28800,PST,US,United States of America,us,California,NA,NA
710430,99999,"65.282,-126.798",65.282,-126.798,-25200,MST,CA,Canada,ca,Northwest Territories,X0E 0V0,NA
060480,99999,"56.717,10.117",56.717,10.117,3600,CET,DK,Denmark,dk,North Denmark Region,9560,NA
483815,99999,"16.95,103.983",16.95,103.983,25200,7,TH,Thailand,th,Sakon Nakhon Province,NA,NA
716740,99999,"52.55,-112.117",52.55,-112.117,-25200,MST,CA,Canada,ca,Alberta,NA,NA
292020,99999,"58.35,76.383",58.35,76.383,25200,7,RU,Russia,ru,Tomsk Oblast,NA,NA
694080,99999,"59.267,-129.8",59.267,-129.8,-28800,PST,CA,Canada,ca,British Columbia,NA,NA
10170,NA,"77.683,14.783",77.683,14.783,3600,CET,NO,Norway,no,NA,NA,NA
035350,99999,"52.483,-1.683",52.483,-1.683,0,GMT,GB,United Kingdom,gb,England,B46,North Warwickshire
114233,99999,"49.029,17.44",49.029,17.44,3600,CET,CZ,Czechia,cz,Central Moravia,68722,NA
937730,99999,"-44.3,171.233",-44.3,171.233,46800,NZDT,NZ,New Zealand,nz,Canterbury,NA,Timaru
106390,99999,"50.017,8.667",50.017,8.667,3600,CET,DE,Germany,de,Hesse,63303,NA
918040,99999,"-10.05,-161.1",-10.05,-161.1,-36000,-10,CK,Cook Islands,ck,NA,NA,Rakahanga
085680,99999,"40.417,-7.55",40.417,-7.55,0,WET,PT,Portugal,pt,Centro,NA,Manteigas Santa Maria
722687,93033,"32.334,-104.258",32.334,-104.258,-25200,MST,US,United States of America,us,New Mexico,88268,Carlsbad
29240,NA,"62.533,24.217",62.533,24.217,7200,EET,FI,Finland,fi,Western Finland,63920,NA
140050,99999,"46.333,13.567",46.333,13.567,3600,CET,SI,Slovenia,si,NA,5230,NA
720541,53806,"34.383,-89.5415",34.383,-89.5415,-21600,CST,US,United States of America,us,Mississippi,38655,Oxford
720541,99999,"34.383,-89.5415",34.383,-89.5415,-21600,CST,US,United States of America,us,Mississippi,38655,Oxford
518280,99999,"37.133,79.933",37.133,79.933,21600,XJT,CN,PRC,cn,Xinjiang,848000,Hotan/Hetian
085380,99999,"37,-8.95",37,-8.95,NA,NA,PT,Portugal,pt,Algarve,8650-356,NA
788078,99999,"8.367,-80.117",8.367,-80.117,-18000,EST,PA,Panama,pa,Provincia de Coclé,NA,NA
70440,NA,"49.65,0.15",49.65,0.15,NA,NA,FR,France,fr,Normandy,76280,NA
