usaf,lat,lon
011170,65.817,12.417
011210,66.367,12.617
011220,65.784,13.215
011240,64.167,12.467
011310,67.883,13.05
011320,65.167,13.367
011330,65.617,13.283
011340,65.183,13.417
011350,66.117,13.583
011370,66.933,13.45
011380,67.3,13.5
011390,67.65,12.717
011410,68.15,13.617
011430,68.05,16.083
011440,67.4,13.883
011450,68.35,13.967
011460,66.233,13.883
011470,65.833,14.183
011480,66.383,14.517
011490,66.333,14.1
011500,66.5,14.95
011501,65.683,14.167
011510,66.367,14.3
011520,67.269,14.365
011530,67.283,14.45
011540,68.583,14.3
011550,68.633,14.467
011560,68.6,14.433
011580,67.167,15.483
011600,68.15,14.65
011610,68.25,14.667
011620,68.583,15.017
011630,66.5,15.25
011650,67.833,14.783
011670,68.7,15.417
011680,68.65,15.283
011690,66.933,15.317
011691,66.967,15.317
011700,67.233,15.317
011720,68,15.617
011751,68.4,16
011760,68.567,16.267
011800,68.8,16.533
011820,68.583,16.583
011830,68.491,16.678
011840,68.933,16.683
011841,68.933,16.683
011890,68.483,16.883
011910,68.283,17.317
011920,68.417,17.65
011930,68.467,17.5
011940,68.467,17.5
011960,68.75,17.817
011980,68.783,19.7
011990,68.75,23.533
012030,62.033,4.983
012050,62.333,5.267
012070,62.1,5.583
012090,62.183,6.067
012091,62.183,6.05
012100,62.56,6.11
012120,62.867,6.533
012140,62.65,6.767
012150,62.62,7.23
012160,62.617,7.217
012161,62.617,7.167
012170,62.745,7.263
012180,62.233,7.417
012200,62.45,7.767
012210,63.05,9.083
012230,63.112,7.825
012240,62.467,6.217
012250,63.517,7.95
012270,62.717,8.783
012273,62.833,8.3
012280,63.85,8.467
012300,62.267,8.2
012310,62.233,8.367
012320,62.45,7.85
012330,62.083,9.117
012340,63.317,9.85
012350,62.083,9.133
012360,62.1,9.05
012370,63.517,9.117
012380,62.117,9.283
012390,62.217,9.55
012400,64.167,9.4
012410,63.699,9.604
012420,63.967,10.217
012430,63.333,9.65
012450,62.6,9.667
012480,63.85,9.733
012500,62.133,10
012520,62.817,10.017
012530,62.95,10.183
012540,62.983,10.55
012570,63.417,10.45
012580,63.417,10.433
012590,64.4,10.45
012620,64.8,10.55
012650,62.267,10.733
012700,63.483,10.883
012710,63.458,10.94
012720,63.567,10.7
012730,63.233,11.017
012740,63.2,11.117
012770,64.017,11.45
012771,63.717,11.233
012780,63.783,11.683
012800,64.133,11.333
012810,64.733,12.85
012820,64.85,11.233
012823,64.85,11.233
012870,62.683,11.817
012880,62.567,11.383
012890,62.583,11.35
012891,62.583,11.383
012900,64.467,11.583
012910,64.533,12.383
012920,63.417,11.7
012930,63.417,11.733
012950,64.55,12.15
012960,64.25,12.417
012980,64.45,13.717
013000,61.2,2.267
013005,61.25,1.85
013040,61.567,4.683
013060,60.75,4.717
013070,60.75,4.717
013080,61.3,5.05
013090,61.567,4.8
013100,61.584,5.025
013110,60.293,5.218
013140,60.517,5.717
013150,60.633,6.1
013160,60.4,5.317
013170,60.383,5.333
013180,61.783,6.183
013190,61.033,5.383
013200,61.833,6.117
013210,61.9,6.55
013220,61.467,5.917
013230,61.393,5.764
013250,60.833,5.95
013260,60.85,5.983
013270,60.383,5.967
013280,60.4,5.917
013290,60.35,6.267
013300,60.217,5.983
013320,61.43,6.77
013340,61.433,6.767
013360,60.65,6.217
013370,60.633,6.433
013380,61.167,6.65
013390,61.167,6.65
013400,60.42,7.28
013410,60.467,6.867
013420,60.317,6.65
013440,60.7,6.95
013450,60.717,7.217
013460,60.65,7.267
013470,61.156,7.137
013471,61.167,7.133
013500,60.6,7.533
013510,60.6,7.5
013520,60.183,7.483
013550,61.1,7.5
013560,61.517,7.9
013570,60.867,8.517
013580,60.85,8.6
013590,60.533,8.2
013591,60.517,7.867
013600,61.9,7.9
013610,62.017,7.667
013620,61.667,8.367
013640,61.183,8.117
013650,61.251,8.917
013660,61.567,8
013670,60.983,9.217
013671,61.233,8.933
013680,61.016,9.288
013690,60.917,9.283
013700,61.517,9.4
013710,61.117,9.067
013720,60.567,9.133
013730,60.567,9.133
013740,60.933,10.033
013743,61,9.3
013750,61.467,10.133
013755,61.033,2.033
013760,60.383,9.6
013780,61.1,10.467
013790,61.883,10.15
013800,61.65,10.117
