GEO.id,GEO.id2,GEO.display-label,rescen42010,respop72017
310M300US10180,10180,"Abilene, TX Metro Area",165252,170219
310M300US10420,10420,"Akron, OH Metro Area",703200,703505
310M300US10500,10500,"Albany, GA Metro Area",157308,151434
310M300US10540,10540,"Albany, OR Metro Area",116672,125047
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",870716,886188
310M300US10740,10740,"Albuquerque, NM Metro Area",887077,910726
310M300US10780,10780,"Alexandria, LA Metro Area",153922,153984
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",821173,840550
310M300US11020,11020,"Altoona, PA Metro Area",127089,123457
310M300US11100,11100,"Amarillo, TX Metro Area",251933,264925
310M300US11180,11180,"Ames, IA Metro Area",89542,97502
310M300US11260,11260,"Anchorage, AK Metro Area",380821,400888
310M300US11460,11460,"Ann Arbor, MI Metro Area",344791,367627
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",118572,114728
310M300US11540,11540,"Appleton, WI Metro Area",225666,236126
310M300US11700,11700,"Asheville, NC Metro Area",424858,456145
310M300US12020,12020,"Athens-Clarke County, GA Metro Area",192541,209271
310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5286728,5884736
310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",274549,269918
310M300US12220,12220,"Auburn-Opelika, AL Metro Area",140247,161604
310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",564873,600151
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",1716289,2115827
310M300US12540,12540,"Bakersfield, CA Metro Area",839631,893119
310M300US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",2710489,2808175
310M300US12620,12620,"Bangor, ME Metro Area",153923,151957
310M300US12700,12700,"Barnstable Town, MA Metro Area",215888,213444
310M300US12940,12940,"Baton Rouge, LA Metro Area",802484,834159
310M300US12980,12980,"Battle Creek, MI Metro Area",136146,134128
310M300US13020,13020,"Bay City, MI Metro Area",107771,104239
310M300US13140,13140,"Beaumont-Port Arthur, TX Metro Area",403190,412437
310M300US13220,13220,"Beckley, WV Metro Area",124898,118543
310M300US13380,13380,"Bellingham, WA Metro Area",201140,221404
310M300US13460,13460,"Bend-Redmond, OR Metro Area",157733,186875
310M300US13740,13740,"Billings, MT Metro Area",158934,170498
310M300US13780,13780,"Binghamton, NY Metro Area",251725,242217
310M300US13820,13820,"Birmingham-Hoover, AL Metro Area",1128047,1149807
310M300US13900,13900,"Bismarck, ND Metro Area",114778,132142
310M300US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",178237,182993
310M300US14010,14010,"Bloomington, IL Metro Area",186133,188232
310M300US14020,14020,"Bloomington, IN Metro Area",159549,167825
310M300US14100,14100,"Bloomsburg-Berwick, PA Metro Area",85562,84204
310M300US14260,14260,"Boise City, ID Metro Area",616561,709845
310M300US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4552402,4836531
310M300US14500,14500,"Boulder, CO Metro Area",294567,322514
310M300US14540,14540,"Bowling Green, KY Metro Area",158599,174835
310M300US14740,14740,"Bremerton-Silverdale, WA Metro Area",251133,266414
310M300US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",916829,949921
310M300US15180,15180,"Brownsville-Harlingen, TX Metro Area",406220,423725
310M300US15260,15260,"Brunswick, GA Metro Area",112370,118119
310M300US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135509,1136856
310M300US15500,15500,"Burlington, NC Metro Area",151131,162391
310M300US15540,15540,"Burlington-South Burlington, VT Metro Area",211261,218395
310M300US15680,15680,"California-Lexington Park, MD Metro Area",105151,112667
310M300US15940,15940,"Canton-Massillon, OH Metro Area",404422,399927
310M300US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",618754,739224
310M300US16020,16020,"Cape Girardeau, MO-IL Metro Area",96275,96782
310M300US16060,16060,"Carbondale-Marion, IL Metro Area",126575,125612
310M300US16180,16180,"Carson City, NV Metro Area",55274,54745
310M300US16220,16220,"Casper, WY Metro Area",75450,79547
310M300US16300,16300,"Cedar Rapids, IA Metro Area",257940,270293
310M300US16540,16540,"Chambersburg-Waynesboro, PA Metro Area",149618,154234
310M300US16580,16580,"Champaign-Urbana, IL Metro Area",231891,239124
310M300US16620,16620,"Charleston, WV Metro Area",227078,214406
310M300US16700,16700,"Charleston-North Charleston, SC Metro Area",664607,775831
310M300US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2217012,2525305
310M300US16820,16820,"Charlottesville, VA Metro Area",218705,233793
310M300US16860,16860,"Chattanooga, TN-GA Metro Area",528143,556548
310M300US16940,16940,"Cheyenne, WY Metro Area",91738,98327
310M300US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9461105,9533040
310M300US17020,17020,"Chico, CA Metro Area",220000,229294
310M300US17140,17140,"Cincinnati, OH-KY-IN Metro Area",2114580,2179082
310M300US17300,17300,"Clarksville, TN-KY Metro Area",260625,285042
310M300US17420,17420,"Cleveland, TN Metro Area",115788,122317
310M300US17460,17460,"Cleveland-Elyria, OH Metro Area",2077240,2058844
310M300US17660,17660,"Coeur d'Alene, ID Metro Area",138494,157637
310M300US17780,17780,"College Station-Bryan, TX Metro Area",228660,258044
310M300US17820,17820,"Colorado Springs, CO Metro Area",645613,723878
310M300US17860,17860,"Columbia, MO Metro Area",162642,178271
310M300US17900,17900,"Columbia, SC Metro Area",767598,825033
310M300US17980,17980,"Columbus, GA-AL Metro Area",294865,303811
310M300US18020,18020,"Columbus, IN Metro Area",76794,82040
310M300US18140,18140,"Columbus, OH Metro Area",1901974,2078725
310M300US18580,18580,"Corpus Christi, TX Metro Area",428185,454008
310M300US18700,18700,"Corvallis, OR Metro Area",85579,90951
310M300US18880,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",235865,271346
310M300US19060,19060,"Cumberland, MD-WV Metro Area",103299,98837
310M300US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6426214,7399662
310M300US19140,19140,"Dalton, GA Metro Area",142227,144440
310M300US19180,19180,"Danville, IL Metro Area",81625,77909
310M300US19300,19300,"Daphne-Fairhope-Foley, AL Metro Area",182265,212628
310M300US19340,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",379690,382263
310M300US19380,19380,"Dayton, OH Metro Area",799232,803416
310M300US19460,19460,"Decatur, AL Metro Area",153829,151867
