zip,lat,lon
00601,18.1806,-66.75
00602,18.3619,-67.1756
00603,18.4552,-67.1199
00606,18.1583,-66.9329
00610,18.2954,-67.1251
00612,18.4023,-66.7114
00616,18.4204,-66.672
00617,18.4451,-66.5597
00622,17.9912,-67.154
00623,18.0834,-67.1539
00624,18.0649,-66.7167
00627,18.4126,-66.8639
00631,18.1906,-66.832
00637,18.0767,-66.9474
00638,18.2959,-66.5156
00641,18.2631,-66.713
00646,18.4332,-66.2859
00647,17.9636,-66.9471
00650,18.3494,-66.5781
00652,18.4485,-66.5941
00653,17.985,-66.8865
00656,18.0535,-66.7929
00659,18.4072,-66.809
00660,18.1347,-67.1162
00662,18.4683,-67.0158
00664,18.2103,-66.5916
00667,18.0034,-67.0358
00669,18.2771,-66.8696
00670,18.2402,-66.9888
00674,18.4229,-66.4893
00676,18.3776,-67.0796
00677,18.3326,-67.227
00678,18.4341,-66.9274
00680,18.1821,-67.1325
00682,18.2215,-67.156
00683,18.1078,-67.0373
00685,18.3329,-66.9597
00687,18.319,-66.4206
00688,18.3823,-66.6264
00690,18.4955,-67.0987
00692,18.4102,-66.3366
00693,18.423,-66.3972
00694,18.4824,-66.3911
00698,18.0648,-66.8563
00703,18.2484,-66.1307
00704,17.9658,-66.2196
00705,18.129,-66.2667
00707,18.0141,-65.9208
00714,18.003,-66.0462
00715,18.0112,-66.5601
00716,17.992,-66.6059
00717,18.0032,-66.614
00718,18.232,-65.7596
00719,18.2899,-66.2534
00720,18.2179,-66.4281
00723,18.0435,-66.0155
00725,18.2188,-66.0424
00727,18.2153,-66.0736
00728,17.9899,-66.6641
00729,18.3236,-65.8832
00730,18.0308,-66.6168
00731,18.1099,-66.6356
00735,18.2526,-65.6825
00736,18.1036,-66.1517
00738,18.3045,-65.6987
00739,18.1772,-66.1606
00740,18.3312,-65.6341
00741,18.1639,-65.754
00745,18.3522,-65.8174
00751,18.0013,-66.2522
00754,18.1471,-65.9762
00757,17.9954,-66.3913
00765,18.1301,-65.4394
00766,18.1332,-66.4769
00767,18.0695,-65.8962
00769,18.1038,-66.3576
00771,18.1871,-65.8712
00772,18.439,-65.9052
00773,18.3429,-65.7231
00775,18.3266,-65.3077
00777,18.2241,-65.9085
00778,18.2641,-65.9785
00780,18.1028,-66.5681
00782,18.2257,-66.2216
00783,18.3039,-66.3262
00784,18.0107,-66.1336
00786,18.1554,-66.2299
00791,18.1368,-65.8215
00794,18.199,-66.3098
00795,18.0605,-66.5006
00801,18.3504,-64.9739
00802,18.3409,-64.9235
00820,17.7431,-64.6866
00823,17.7235,-64.7459
00824,17.7446,-64.6829
00830,18.3386,-64.7365
00831,18.3273,-64.7867
00840,17.7479,-64.8807
00841,17.7681,-64.8079
00850,17.7099,-64.7501
00851,17.7322,-64.7708
00901,18.4654,-66.1046
00906,18.4645,-66.095
00907,18.4526,-66.0778
00909,18.4416,-66.0671
00911,18.4512,-66.0562
00912,18.4453,-66.0601
00913,18.45,-66.0427
00915,18.4372,-66.0456
00917,18.4207,-66.0501
00918,18.421,-66.0658
00920,18.4143,-66.088
00921,18.3923,-66.0886
00923,18.409300000000002,-66.0389
00924,18.3992,-66.0125
00925,18.4003,-66.0506
00926,18.3454,-66.0515
00927,18.388,-66.0721
00934,18.4113,-66.1242
00936,18.3955,-66.0738
00949,18.4307,-66.2128
00950,18.4597,-66.2331
00951,18.4275,-66.2538
00952,18.4274,-66.182
00953,18.3607,-66.2515
00956,18.3211,-66.1704
00957,18.3684,-66.1877
00959,18.3918,-66.1546
00960,18.4169,-66.1458
00961,18.4133,-66.1646
00962,18.4446,-66.1488
00965,18.4338,-66.1148
00966,18.4015,-66.1176
00968,18.4061,-66.1012
00969,18.3681,-66.1081
00971,18.3189,-66.1192
00976,18.3362,-65.9941
00979,18.4444,-66.03
00982,18.4113,-65.992
00983,18.4178,-65.9758
00985,18.4108,-65.9479
00987,18.3382,-65.9411
01001,42.0624,-72.6258
01002,42.3641,-72.4587
01003,42.3899,-72.5241
01005,42.4188,-72.1066
01007,42.279,-72.4005
01008,42.1901,-72.9544
01009,42.212,-72.3414
01010,42.1282,-72.2054
01011,42.3003,-72.9687
01012,42.3754,-72.8582
01013,42.1549,-72.6028
01020,42.1726,-72.5621
01022,42.1977,-72.5427
01026,42.4655,-72.9183
01027,42.295,-72.7519
01028,42.0624,-72.4981
01029,42.1934,-73.0446
01030,42.0729,-72.687
01031,42.3294,-72.1982
01032,42.4576,-72.8148
01033,42.2449,-72.5001
01034,42.0987,-72.9616
01035,42.3565,-72.5686
01036,42.0629,-72.4173
01037,42.3727,-72.1954
01038,42.3855,-72.6069
01039,42.4043,-72.6889
01040,42.2117,-72.6424
01050,42.2868,-72.8697
01053,42.3563,-72.7136
01054,42.4689,-72.4846
01056,42.1836,-72.4578
01057,42.0936,-72.3215
01060,42.3215,-72.6306
01062,42.3283,-72.7039
01063,42.3189,-72.6385
01066,42.4069,-72.655
01068,42.3509,-72.0442
01069,42.1878,-72.3085
01070,42.5184,-72.919
01071,42.1601,-72.8739
01072,42.457,-72.4172
01073,42.2269,-72.7416
01074,42.3876,-72.0932
01075,42.2562,-72.581
01077,42.0526,-72.7774
01079,42.1979,-72.3297
01080,42.1857,-72.3616
01081,42.0613,-72.2344
01082,42.2935,-72.2786
01083,42.2036,-72.1946
01084,42.3924,-72.8822
01085,42.1535,-72.7716
01086,42.1304,-72.794
01088,42.3917,-72.6465
01089,42.1255,-72.6497
01092,42.1919,-72.2351
01093,42.4419,-72.6618
01094,42.3591,-72.1368
01095,42.1385,-72.4207
01096,42.3971,-72.7636
01097,42.178,-72.8326
01098,42.3943,-72.9431
01103,42.1041,-72.592
01104,42.134,-72.5654
01105,42.1,-72.5808
01106,42.0476,-72.5711
01107,42.1211,-72.6071
01108,42.0807,-72.5608
01109,42.1197,-72.5497
01118,42.0942,-72.5251
