"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00369650","1897","40.059833","-75.773667","378.0","WHITE HAVEN, PA US","191.8","","191.8","6","126","6","80","6","6","6","145","6","36","6","128","6","9","6","-21.7","6,0201,","54.9",",6,0513,","34.4","6,0710,","-0.6","6,0926","-3.9","6,1003","-4.4","6,1031","-6.7","6,1119","-13.3","6,1124","0.0","6,0427","-7.2","6,0421","-7.2","6,0421","-7.2","6,0421","-10.0","6,0307","","","","","1033.3",",6","8.37","6","14.26","6","2.47","6"
"USC00369650","1898","40.059833","-75.773667","378.0","WHITE HAVEN, PA US","364.6","","364.6","6","145","6","104","6","6","6","135","6","38","6","131","6","13","6","-24.4","6,0204,","54.6",",6,0817,","36.7","6,0703,","-2.2","6,1017","-2.2","6,1017","-4.4","6,1112","-10.0","6,1126","-10.0","6,1126","-1.1","6,0509","-5.0","6,0409","-5.0","6,0409","-8.9","6,0406","-8.9","6,0406","3591.9","","3591.9","6","1123.5",",6","9.29","6","14.61","6","3.97","6"
"USC00369650","1899","40.059833","-75.773667","378.0","WHITE HAVEN, PA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3915.5","","3915.5","","","","","","","","",""
"USC00369650","1907","40.059833","-75.773667","378.0","WHITE HAVEN, PA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3903.1","","3903.1","6","","","","","","","",""
"USC00369650","1915","40.059833","-75.773667","378.0","WHITE HAVEN, PA US","","","","","116","6","88","6","","","","","","","","","","","","","44.5",",6,0412,","","","","","","","","","","","","","","","","","","","","","","","","","","","1084.1",",6","","","","","",""
"USC00369650","1916","40.059833","-75.773667","378.0","WHITE HAVEN, PA US","","","","","121","6","92","6","","","","","","","","","","","","","58.4",",6,0726,","","","","","","","","","","","","","","","","","","","","","","","","","","","1009.3",",6","","","","","",""
"USC00369650","1917","40.059833","-75.773667","378.0","WHITE HAVEN, PA US","","","","","107","6","89","6","","","","","","","","","","","","","66.8",",6,0809,","","","","","","","","","","","","","","","","","","","","","","","","","","","1133.4",",6","","","","","",""
"USC00369650","1918","40.059833","-75.773667","378.0","WHITE HAVEN, PA US","","","","","108","6","92","6","","","","","","","","","","","","","38.1",",6,0814,","","","","","","","","","","","","","","","","","","","","","","","","","","","1095.1",",6","","","","","",""
"USC00369650","1919","40.059833","-75.773667","378.0","WHITE HAVEN, PA US","","","","","126","6","113","6","","","","","","","","","","","","","58.4",",6,0721,","","","","","","","","","","","","","","","","","","","","","","","","","","","1257.2",",6","","","","","",""
"USC00369650","1920","40.059833","-75.773667","378.0","WHITE HAVEN, PA US","","","","","126","6","109","6","","","","","","","","","","","","","44.5",",6,0305,","","","","","","","","","","","","","","","","","","","","","","","","","","","1129.0",",6","","","","","",""
"USC00369650","1921","40.059833","-75.773667","378.0","WHITE HAVEN, PA US","","","","","121","6","99","6","","","","","","","","","","","","","63.0",",6,0711,","","","","","","","","","","","","","","","","","","","","","","","","","","","1273.3",",6","","","","","",""
"USC00369650","1922","40.059833","-75.773667","378.0","WHITE HAVEN, PA US","","","","","101","6","87","6","","","","","","","","","","","","","47.5",",6,0604,","","","","","","","","","","","","","","","","","","","","","","","","","","","1021.8",",6","","","","","",""
"USC00369650","1923","40.059833","-75.773667","378.0","WHITE HAVEN, PA US","","","","","115","6","88","6","","","","","","","","","","","","","98.6",",6,0728,","","","","","","","","","","","","","","","","","","","","","","","","","","","1037.5",",6","","","","","",""
"USC00369650","1924","40.059833","-75.773667","378.0","WHITE HAVEN, PA US","","","","","99","6","88","6","","","","","","","","","","","","","84.3",",6,0930,","","","","","","","","","","","","","","","","","","","","","","","","","","","1086.4",",6","","","","","",""
