"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1MOSE0015","2009","36.5686","-93.5713","307.8","EMERALD BEACH 5.5 E, MO US","126","N","79","N","116.8",",N,1009,","1143.1",",N"
"US1MOSE0015","2010","36.5686","-93.5713","307.8","EMERALD BEACH 5.5 E, MO US","100","N","58","N","72.9",",N,0716,","1012.5",",N"
"US1MOSE0015","2012","36.5686","-93.5713","307.8","EMERALD BEACH 5.5 E, MO US","91","N","50","N","52.1",",N,1204,","735.0",",N"
"US1MOSE0015","2013","36.5686","-93.5713","307.8","EMERALD BEACH 5.5 E, MO US","114","N","72","N","80.0",",N,0808,","1239.5",",N"
"US1MOSE0015","2014","36.5686","-93.5713","307.8","EMERALD BEACH 5.5 E, MO US","98","N","65","N","55.1",",N,0606,","915.2",",N"
"US1MOSE0015","2015","36.5686","-93.5713","307.8","EMERALD BEACH 5.5 E, MO US","115","N","78","N","111.8",",N,1227,","1609.4",",N"
"US1MOSE0015","2016","36.5686","-93.5713","307.8","EMERALD BEACH 5.5 E, MO US","103","N","58","N","74.2",",N,0704,","848.8",",N"
