"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00023232","1959","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","","","705.8","","705.8","0","36","0","22","0","0","","0","0","0","0","11","0","0","0","244","0","71","0","-1.7","0,1230,+","0",",0,1231,+","0",",0,1231,+","38.9",",0,0918,","41.7","0,0711,+","0.0","0,1207","","","","","","","0.0","0,0209","","","","","","","1170.6","","1170.6","0","324.6",",0","","","0",",0","16.80","0","24.25","0","9.35","0","","","","","","","","","","","","","","","","","",""
"USW00023232","1960","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","","","820.7","","820.7","0","62","0","33","0","0","","0","0","0","0","14","0","0","0","213","0","92","0","-3.3","0,0102,","0",",0,1231,+","0",",0,1231,+","27.4",",0,1125,","43.9","0,0721,+","-1.1","0,1207","","","","","","","0.0","0,0117","-3.3","0,0102","","","","","1363.0","","1363.0","0","386.3",",0","","","0",",0","16.78","0","24.06","0","9.51","0","","","","","","","","","","","","","","","","","",""
"USW00023232","1961","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","","","803.8","","803.8","X","47","X","26","X","0","","0","X","0","X","18","X","1","X","211","X","94","X","-3.3","X,1117,+","0",",X,1231,+","0",",X,1231,+","48.5",",X,1202,","46.1","X,0615,","-3.3","0,1117","-3.3","0,1117","","","","","-0.6","0,0122","-3.3","0,0102","","","","","1502.5","","1502.5","X","336.2",",X","","","0",",X","16.12","X","23.53","X","8.71","X","","","","","","","","","","","","","","","","","",""
"USW00023232","1962","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","","","595.6","","595.6","0","41","0","28","0","0","","0","0","0","0","27","0","0","0","212","0","80","0","-4.4","0,1229,","0","T,0,0121,","0","T,0,0121,","95.8",",0,1013,","40.6","0,0620,","0.0","0,1224","-3.3","0,1226","-4.4","0,1229","","","-2.2","0,0227","-2.2","0,0227","","","","","1680.7","","1680.7","0","548.4",",0","","","0","T,0","15.58","0","22.75","0","8.41","0","","","","","","","","","","","","","","","","","",""
"USW00023232","1963","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","","","603.2","","603.2","0","63","0","37","0","0","","0","0","0","0","26","0","0","0","186","0","66","0","-5.0","0,0113,","0",",0,1231,+","0",",0,1231,+","53.1",",0,0130,","40.0","0,0926,+","-1.1","0,1210","-3.3","0,1211","","","","","-0.6","0,0315","-3.3","0,0121","-4.4","0,0117","","","1613.6","","1613.6","0","550.2",",0","","","0",",0","15.25","0","21.79","0","8.71","0","","","","","","","","","","","","","","","","","",""
"USW00023232","1964","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","","","654.0","","654.0","0","65","0","34","0","0","","0","0","0","0","19","0","0","0","208","0","81","0","-2.2","0,0113,","0",",0,1231,+","0","T,0,0121,","62.7",",0,0120,","41.1","0,0724,+","-1.1","0,1116","","","","","","","0.0","0,0307","-2.2","0,0113","","","","","1669.2","","1669.2","0","424.4",",0","","","0","T,0","15.88","0","23.36","0","8.41","0","","","","","","","","","","","","","","","","","",""
"USW00023232","1965","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","","","531.8","","531.8","0","56","0","36","0","0","","0","0","0","0","14","0","0","0","201","0","59","0","-4.4","0,1220,","0",",0,1231,+","0",",0,1231,+","23.6",",0,0105,","38.9","0,0715,","0.0","0,1214","-3.9","0,1215","-4.4","0,1220","","","0.0","0,0212","","","","","","","1540.4","","1540.4","0","350.7",",0","75.6","X","0",",0","15.34","0","22.22","0","8.46","0","208128",",X","","","","","","","315","X","","","","","","","18.8","X"
"USW00023232","1966","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","","","681.1","","681.1","0","46","0","28","0","0","","0","0","0","0","18","0","0","0","211","0","77","0","-2.2","0,1227,+","0",",0,1231,+","0",",0,1231,+","38.9",",0,1106,","41.7","0,0806,+","0.0","0,1224","-2.2","0,1227","","","","","-1.1","0,0304","-2.2","0,0303","","","","","1495.9","","1495.9","0","350.3",",0","80.9","X","0",",0","16.28","0","23.64","0","8.93","0","222630",",X","","","","","","","225","X","","","","","","","16.1","X"
"USW00023232","1967","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","","","810.4","","810.4","0","60","0","39","0","0","","0","0","0","0","25","0","0","0","193","0","97","0","-3.9","0,1216,","0",",0,1231,+","0",",0,1231,+","77.5",",0,0121,","41.7","0,0818,","-1.1","0,1202","-3.9","0,1216","","","","","0.0","0,0305","","","","","","","1705.4","","1705.4","0","498.6",",0","78.1","X","0",",0","15.86","0","23.08","0","8.63","0","213168",",X","","","","","","","135","X","","","","","","","25.9","X"
"USW00023232","1968","38.5069","-121.495","4.6","SACRAMENTO EXECUTIVE AIRPORT, CA US","","","663.2","","663.2","0","58","0","33","0","0","","0","0","0","0","16","0","0","0","208","0","76","0","-4.4","0,0104,+","0",",0,1231,+","0","T,0,1223,+","31.0",",0,0130,","41.7","0,0830,","-0.6","0,1128","-3.9","0,1221","","","","","-1.1","0,0112","-3.9","0,0105","-4.4","0,0104","","","1392.3","","1392.3","0","378.4",",0","78.3","X","0","T,0","16.04","0","23.21","0","8.86","0","216834",",X","","","","","","","360","X","","","","","","","17.0","X"
