"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00115917","1964","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","75","0","52","0","","","9","0","","","","","","","","","","","","","","","127",",0,0310,+","47.8",",0,1116,","","","","","","","","","","","","","","","","","","","","","715.5",",0","550",",0","","","","","",""
"USC00115917","1965","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","79","0","62","0","24","","9","0","","","","","","","","","","","","","102",",0,0305,+","76",",0,0304,+","47.8",",0,0602,","","","","","","","","","","","","","","","","","","","","","789.9",",0","437",",0","","","","","",""
"USC00115917","1966","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","73","0","65","0","7","","5","0","","","","","","","","","","","","","152",",0,0205,+","127",",0,0201,","83.1",",0,1208,","","","","","","","","","","","","","","","","","","","","","1018.3",",0","253",",0","","","","","",""
"USC00115917","1967","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","82","0","72","0","10","","6","0","","","","","","","","","","","","","76",",0,1231,+","64",",0,1228,","72.4",",0,0710,","","","","","","","","","","","","","","","","","","","","","1043.4",",0","215",",0","","","","","",""
"USC00115917","1968","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","83","0","71","0","27","","9","0","","","","","","","","","","","","","178",",0,0116,+","64",",0,0312,+","50.8",",0,0803,+","","","","","","","","","","","","","","","","","","","","","946.4",",0","342",",0","","","","","",""
"USC00115917","1969","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","75","0","71","0","22","","10","0","","","","","","","","","","","","","203",",0,0301,","152",",0,0228,","129.5",",0,0917,","","","","","","","","","","","","","","","","","","","","","1160.4",",0","583",",0","","","","","",""
"USC00115917","1970","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","61","0","57","0","33","","6","0","","","","","","","","","","","","","127",",0,0124,+","102",",0,0214,","71.1",",0,0419,","","","","","","","","","","","","","","","","","","","","","891.0",",0","330",",0","","","","","",""
"USC00115917","1971","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","60","0","58","0","7","","3","0","","","","","","","","","","","","","305",",0,0406,","305",",0,0406,","63.5",",0,1210,","","","","","","","","","","","","","","","","","","","","","878.7",",0","381",",0","","","","","",""
"USC00115917","1972","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","","","","","14","","8","0","","","","","","","","","","","","","76",",0,0105,","76",",0,1119,","","","","","","","","","","","","","","","","","","","","","","","","","303",",0","","","","","",""
"USC00115917","1973","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","85","0","81","0","16","","11","0","","","","","","","","","","","","","254",",0,1231,","254",",0,1231,","78.2",",0,0726,","","","","","","","","","","","","","","","","","","","","","1304.7",",0","721",",0","","","","","",""
"USC00115917","1975","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","82","0","72","0","17","","12","0","","","","","","","","","","","","","152",",0,1127,","152",",0,1127,","64.0",",0,0424,","","","","","","","","","","","","","","","","","","","","","988.2",",0","568",",0","","","","","",""
"USC00115917","1976","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","63","0","54","0","9","","7","0","","","","","","","","","","","","","127",",0,0316,","127",",0,0316,","83.3",",0,1024,","","","","","","","","","","","","","","","","","","","","","718.6",",0","342",",0","","","","","",""
"USC00115917","1977","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","89","0","77","0","49","","19","0","","","","","","","","","","","","","356",",0,0128,+","114",",0,0104,","73.2",",0,0328,","","","","","","","","","","","","","","","","","","","","","1156.7",",0","1019",",0","","","","","",""
"USC00115917","1978","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","86","0","75","0","","","","","","","","","","","","","","","","","","","","","45.5",",0,0618,","","","","","","","","","","","","","","","","","","","","","936.2",",0","","","","","","","",""
"USC00115917","1979","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","71","0","66","0","","","12","0","","","","","","","","","","","","","","","152",",0,0209,+","71.4",",0,0412,","","","","","","","","","","","","","","","","","","","","","891.2",",0","813",",0","","","","","",""
"USC00115917","1980","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","71","0","64","0","34","","14","0","","","","","","","","","","","","","152",",0,0209,","127",",0,1127,+","37.6",",0,0330,","","","","","","","","","","","","","","","","","","","","","669.0",",0","875",",0","","","","","",""
"USC00115917","1981","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","75","0","66","0","21","","7","0","","","","","","","","","","","","","178",",0,0212,+","127",",0,0210,","56.9",",0,0720,","","","","","","","","","","","","","","","","","","","","","922.9",",0","483",",0","","","","","",""
"USC00115917","1982","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","77","0","73","0","26","","6","0","","","","","","","","","","","","","432",",0,0210,+","279",",0,0131,","57.7",",0,1203,","","","","","","","","","","","","","","","","","","","","","1205.4",",0","610",",0","","","","","",""
"USC00115917","1983","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","71","0","65","0","","","9","0","","","","","","","","","","","","","","","102",",0,0418,","73.7",",0,1211,","","","","","","","","","","","","","","","","","","","","","1128.9",",0","482",",0","","","","","",""
"USC00115917","1984","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","89","0","81","0","","","8","0","","","","","","","","","","","","","","","140",",0,0313,","62.2",",0,0909,","","","","","","","","","","","","","","","","","","","","","1069.3",",0","418",",0","","","","","",""
"USC00115917","1985","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","90","0","85","0","","","9","0","","","","","","","","","","","","","","","102",",0,1220,","78.5",",0,1211,","","","","","","","","","","","","","","","","","","","","","1297.3",",0","419",",0","","","","","",""
"USC00115917","1986","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","63","0","62","0","3","","2","0","","","","","","","","","","","","","76",",0,0215,+","76",",0,0214,","68.8",",0,1004,","","","","","","","","","","","","","","","","","","","","","880.2",",0","101",",0","","","","","",""
"USC00115917","1987","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","64","0","60","0","28","","9","0","","","","","","","","","","","","","229",",0,0111,+","203",",0,0110,","63.8",",0,0414,","","","","","","","","","","","","","","","","","","","","","780.3",",0","649",",0","","","","","",""
"USC00115917","1988","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","61","0","58","0","","","6","0","","","","","","","","","","","","","","","152",",0,1228,","51.3",",0,1223,","","","","","","","","","","","","","","","","","","","","","893.9",",0","470",",0","","","","","",""
"USC00115917","1989","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","66","0","61","0","","","7","0","","","","","","","","","","","","","","","152",",0,0306,","55.6",",0,0909,","","","","","","","","","","","","","","","","","","","","","746.4",",0","405",",0","","","","","",""
"USC00115917","1990","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","82","0","74","0","12","","5","0","","","","","","","","","","","","","229",",0,0324,","216",",0,0324,","79.2",",0,0526,","","","","","","","","","","","","","","","","","","","","","1226.2",",0","648",",0","","","","","",""
"USC00115917","1991","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","68","0","63","0","36","","5","0","","","","","","","","","","","","","102",",0,0106,","56",",0,0314,","55.9",",0,0830,","","","","","","","","","","","","","","","","","","","","","816.4",",0","260",",0","","","","","",""
"USC00115917","1992","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","76","0","73","0","","","5","0","","","","","","","","","","","","","","","76",",0,1115,+","56.1",",0,0703,","","","","","","","","","","","","","","","","","","","","","894.7",",0","279",",0","","","","","",""
"USC00115917","1993","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","90","0","85","0","35","","10","0","","","","","","","","","","","","","229",",0,0226,","165",",0,0216,","68.6",",0,0923,","","","","","","","","","","","","","","","","","","","","","1243.0",",0","774",",0","","","","","",""
"USC00115917","1994","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","70","0","66","0","5","","3","0","","","","","","","","","","","","","102",",0,0118,+","102",",0,0117,","50.8",",0,0429,","","","","","","","","","","","","","","","","","","","","","958.3",",0","152",",0","","","","","",""
"USC00115917","1995","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","70","0","67","0","28","","7","0","","","","","","","","","","","","","127",",0,1221,","76",",0,0204,","67.3",",0,0307,","","","","","","","","","","","","","","","","","","","","","1022.7",",0","304",",0","","","","","",""
"USC00115917","1996","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","66","0","64","0","22","","9","0","","","","","","","","","","","","","203",",0,0107,+","102",",0,0103,","70.4",",0,0429,","","","","","","","","","","","","","","","","","","","","","980.4",",0","483",",0","","","","","",""
"USC00115917","1997","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","","","","","16","","7","0","","","","","","","","","","","","","178",",0,0116,","102",",0,0116,+","","","","","","","","","","","","","","","","","","","","","","","","","458",",0","","","","","",""
"USC00115917","1998","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","68","0","66","0","","","7","0","","","","","","","","","","","","","","","51",",0,1230,+","64.8",",0,0807,","","","","","","","","","","","","","","","","","","","","","1109.0",",0","240",",0","","","","","",""
"USC00115917","1999","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","61","0","59","0","15","","6","0","","","","","","","","","","","","","203",",0,0108,+","203",",0,0103,","54.9",",0,0207,","","","","","","","","","","","","","","","","","","","","","763.5",",0","406",",0","","","","","",""
"USC00115917","2000","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","68","0","55","0","22","","7","0","","","","","","","","","","","","","229",",0,1230,","178",",0,1213,","69.9",",0,0527,","","","","","","","","","","","","","","","","","","","","","1107.6",",0","673",",0","","","","","",""
"USC00115917","2001","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","88","0","67","0","14","","2","0","","","","","","","","","","","","","178",",0,0101,","25",",0,1214,+","42.4",",0,0604,","","","","","","","","","","","","","","","","","","","","","917.7",",0","63",",0","","","","","",""
"USC00115917","2002","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","73","0","66","0","","","4","0","","","","","","","","","","","","","","","127",",0,1225,","72.1",",0,0513,","","","","","","","","","","","","","","","","","","","","","1110.0",",0","320",",0","","","","","",""
"USC00115917","2003","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","69","0","57","0","","","8","0","","","","","","","","","","","","","","","102",",0,0102,","89.2",",0,1118,","","","","","","","","","","","","","","","","","","","","","1070.7",",0","368",",0","","","","","",""
"USC00115917","2005","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","78","0","64","0","","","7","0","","","","","","","","","","","","","","","89",",0,1209,","53.6",",0,0614,","","","","","","","","","","","","","","","","","","","","","927.0",",0","394",",0","","","","","",""
"USC00115917","2006","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","84","0","57","0","11","","4","0","","","","","","","","","","","","","152",",0,0321,","152",",0,0321,","64.0",",0,1017,","","","","","","","","","","","","","","","","","","","","","869.2",",0","292",",0","","","","","",""
"USC00115917","2007","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","90","0","64","0","15","","6","0","","","","","","","","","","","","","102",",0,1216,+","102",",0,0121,","46.7",",0,0625,","","","","","","","","","","","","","","","","","","","","","824.9",",0","383",",0","","","","","",""
"USC00115917","2008","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","","","","","5","","4","0","","","","","","","","","","","","","178",",0,0202,+","178",",0,0201,","","","","","","","","","","","","","","","","","","","","","","","","","341",",0","","","","","",""
"USC00115917","2010","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","101","0","71","0","","","5","0","","","","","","","","","","","","","","","71",",0,1225,+","79.5",",0,1125,","","","","","","","","","","","","","","","","","","","","","1132.1",",0","364",",0","","","","","",""
"USC00115917","2011","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","106","K","74","K","","","","","","","","","","","","","","","","","","","","","66.5",",K,0626,","","","","","","","","","","","","","","","","","","","","","1163.9",",K","","","","","","","",""
"USC00115917","2012","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","84","7","60","7","","","","","","","","","","","","","","","","","","","","","57.4",",7,0318,","","","","","","","","","","","","","","","","","","","","","900.7",",7","","","","","","","",""
"USC00115917","2013","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","83","7","67","7","","","","","","","","","","","","","","","","","","","","","80.8",",7,0419,","","","","","","","","","","","","","","","","","","","","","1084.1",",7","","","","","","","",""
"USC00115917","2014","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","95","7","66","7","","","","","","","","","","","","","","","","","","","","","54.6",",7,0902,","","","","","","","","","","","","","","","","","","","","","1095.9",",7","","","","","","","",""
"USC00115917","2015","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","98","7","79","7","","","","","","","","","","","","","","","","","","","","","140.0",",7,1227,","","","","","","","","","","","","","","","","","","","","","1482.4",",7","","","","","","","",""
"USC00115917","2016","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","85","7","61","7","","","","","","","","","","","","","","","","","","","","","53.3",",7,0816,","","","","","","","","","","","","","","","","","","","","","929.2",",7","","","","","","","",""
"USC00115917","2017","39.0719","-89.7008","210.3","MOUNT OLIVE 1 E, IL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1099.8",",7","","","","","","","",""
