"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023208","1959","38.66667","-121.4","23.5","SACRAMENTO MCCLELLAN AFB, CA US","856.3","","856.3","X","34","X","27","X","0","","0","X","0","X","5","X","0","X","247","X","75","X","-3.3","X,1213,","0",",X,1231,+","0",",X,1231,+","51.1",",X,0918,","41.1","X,0711,+","0.0","X,1208","-3.3","X,1213","","","-1.1","X,0103","","","","","999.8","","999.8","X","431.6",",X","0",",X","17.64","X","24.57","X","10.71","X","","","",""
"USW00023208","1960","38.66667","-121.4","23.5","SACRAMENTO MCCLELLAN AFB, CA US","884.5","","884.5","X","56","X","38","X","0","","0","X","0","X","12","X","0","X","208","X","81","X","-3.3","X,0101,","0",",X,1231,+","0",",X,1231,+","45.2",",X,0208,","42.2","X,0603,+","-1.1","X,1208","-2.8","X,1230","","","0.0","X,0116","-2.2","X,0103","","","1242.9","","1242.9","X","531.3",",X","0",",X","17.12","X","23.50","X","10.74","X","158","X","27.2","X"
"USW00023208","1961","38.66667","-121.4","23.5","SACRAMENTO MCCLELLAN AFB, CA US","802.2","","802.2","X","49","X","31","X","0","","0","X","0","X","17","X","1","X","200","X","82","X","-4.4","X,0102,","0",",X,1231,+","0",",X,1231,+","33.8",",X,1130,","43.3","X,0615,","0.0","X,1113","-2.8","X,1117","","","-0.6","X,0122","-4.4","X,0102","-4.4","X,0102","1546.2","","1546.2","X","376.3",",X","0",",X","16.01","X","22.57","X","9.45","X","315","X","19.0","X"
"USW00023208","1962","38.66667","-121.4","23.5","SACRAMENTO MCCLELLAN AFB, CA US","626.0","","626.0","X","41","X","29","X","0","","0","X","0","X","24","X","0","X","193","X","70","X","-4.4","X,1226,","0","T,X,0121,","3",",X,0121,","128.0",",X,0209,","38.9","X,0815,+","0.0","X,1129","-3.3","X,1225","-4.4","X,1226","-2.8","X,0227","-2.8","X,0227","","","1651.7","","1651.7","X","669.5",",X","3",",X","15.64","X","22.08","X","9.19","X","","","",""
"USW00023208","1963","38.66667","-121.4","23.5","SACRAMENTO MCCLELLAN AFB, CA US","638.4","","638.4","X","61","X","37","X","0","","0","X","0","X","27","X","0","X","172","X","63","X","-6.1","X,0114,","0",",X,1231,+","0",",X,1231,+","70.4",",X,0130,","39.4","X,0726,","-1.1","X,1210","-2.8","X,1211","","","-0.6","X,0125","-2.8","X,0123","-4.4","X,0117","1661.2","","1661.2","X","555.4",",X","0",",X","15.20","X","21.15","X","9.25","X","135","X","23.1","X"
"USW00023208","1964","38.66667","-121.4","23.5","SACRAMENTO MCCLELLAN AFB, CA US","647.9","","647.9","X","65","X","34","X","0","","0","X","0","X","26","X","0","X","195","X","66","X","-2.8","X,0307,","0",",X,1231,+","0","T,X,0120,","52.1",",X,1222,","40.0","X,0711,+","0.0","X,1116","","","","","0.0","X,0325","-2.8","X,0307","","","1780.8","","1780.8","X","381.1",",X","0","T,X","15.68","X","22.59","X","8.77","X","","","",""
"USW00023208","1965","38.66667","-121.4","23.5","SACRAMENTO MCCLELLAN AFB, CA US","518.7","","518.7","X","55","X","33","X","0","","0","X","0","X","17","X","0","X","190","X","53","X","-5.0","X,1217,","0",",X,1231,+","0",",X,1231,+","25.9",",X,1228,","38.9","X,0715,","-1.1","X,1128","-2.2","X,1215","-4.4","X,1216","-1.1","X,0212","-2.2","X,0101","","","1538.7","","1538.7","X","371.4",",X","0",",X","15.14","X","21.61","X","8.66","X","","","",""
"USW00023208","1966","38.66667","-121.4","23.5","SACRAMENTO MCCLELLAN AFB, CA US","737.1","","737.1","X","44","X","28","X","0","","0","X","0","X","29","X","0","X","210","X","74","X","-2.8","X,0303,+","0",",X,1231,+","0","T,X,1202,","34.5",",X,1106,","41.7","X,0614,","0.0","X,1124","-2.2","X,1227","","","-1.7","X,0304","-2.8","X,0303","","","1526.7","","1526.7","X","345.2",",X","0","T,X","16.39","X","23.33","X","9.45","X","140","X","21.6","X"
"USW00023208","1967","38.66667","-121.4","23.5","SACRAMENTO MCCLELLAN AFB, CA US","877.4","","877.4","X","63","X","42","X","0","","0","X","0","X","18","X","0","X","189","X","95","X","-2.8","X,1221,+","0",",X,1231,+","0","T,X,1217,+","69.3",",X,0121,","40.6","X,0818,+","0.0","X,1202","-2.8","X,1216","","","-0.6","X,0305","","","","","1735.5","","1735.5","X","504.9",",X","0","T,X","16.17","X","22.98","X","9.36","X","110","X","33.9","X"
"USW00023208","1968","38.66667","-121.4","23.5","SACRAMENTO MCCLELLAN AFB, CA US","787.0","","787.0","X","58","X","40","X","0","","0","X","0","X","12","X","0","X","216","X","82","X","-5.6","X,0105,","0",",X,1231,+","0","T,X,1220,+","30.2",",X,0130,","41.7","X,0705,","0.0","X,1203","-2.2","X,1221","","","-0.6","X,0112","-2.2","X,0111","-5.6","X,0105","1251.0","","1251.0","X","426.0",",X","0","T,X","16.78","X","23.48","X","10.09","X","130","X","20.6","X"
"USW00023208","1969","38.66667","-121.4","23.5","SACRAMENTO MCCLELLAN AFB, CA US","852.7","","852.7","X","66","X","44","X","0","","0","X","0","X","13","X","0","X","205","X","89","X","-2.2","X,0131,","0",",X,1231,+","0",",X,1231,+","36.8",",X,0113,","41.1","X,0803,","0.0","X,1118","","","","","-2.2","X,0131","-2.2","X,0131","","","1467.0","","1467.0","X","623.3",",X","0",",X","16.74","X","23.44","X","10.04","X","150","X","30.8","X"
"USW00023208","1970","38.66667","-121.4","23.5","SACRAMENTO MCCLELLAN AFB, CA US","866.7","","866.7","X","66","X","45","X","0","","0","X","0","X","9","X","0","X","205","X","98","X","-3.3","X,0106,+","0",",X,1231,+","0",",X,1231,+","55.9",",X,1128,","42.2","X,0704,","0.0","X,1224","","","","","0.0","X,0220","-3.3","X,0106","","","1330.5","","1330.5","X","538.2",",X","0",",X","17.06","X","23.88","X","10.25","X","","","",""
