"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00093205","2001","39.1019","-121.5677","18.9","MARYSVILLE YUBA CO AIRPORT, CA US","3.3","W","838.9","","838.9","W","75","W","44","W","","","0","W","18","W","0","W","217","W","98","W","-4.4","W,0117,","","","43.9",",W,1030,","41.7","W,0703,","0.0","W,1204","","","","","","","0.0","W,0403","-2.8","W,0131","-4.4","W,0117","","","","","","","564.3",",W","16.77","W","24.21","W","9.33","W","170","W","360","W","21.5","W","65.7","W"
"USW00093205","2002","39.1019","-121.5677","18.9","MARYSVILLE YUBA CO AIRPORT, CA US","3.1","W","748.6","","748.6","W","61","W","31","W","","","0","W","22","W","0","W","212","W","101","W","-3.3","W,0116,","","","54.6",",W,1107,","43.3","W,0710,","0.0","W,1127","","","","","","","0.0","W,0319","-2.2","W,0202","","","","","1447.9","","1447.9","W","480.4",",W","16.25","W","23.97","W","8.52","W","150","W","360","W","21.5","W","65.7","W"
"USW00093205","2003","39.1019","-121.5677","18.9","MARYSVILLE YUBA CO AIRPORT, CA US","3.0","W","875.0","","875.0","W","83","W","47","W","","","0","W","14","W","0","W","189","W","99","W","-3.3","W,1227,","","","28.2",",W,1108,","42.2","W,0727,","0.0","W,1104","-2.8","W,1123","","","","","0.0","W,0210","-2.2","W,0209","","","","","1468.9","","1468.9","W","491.1",",W","16.58","W","23.88","W","9.28","W","150","W","360","W","21.5","W","65.7","W"
"USW00093205","2004","39.1019","-121.5677","18.9","MARYSVILLE YUBA CO AIRPORT, CA US","3.2","W","824.0","","824.0","W","68","W","38","W","","","0","W","20","W","0","W","210","W","94","W","-2.8","W,1201,+","","","35.3",",W,0225,","41.1","W,0811,","0.0","W,1122","-2.8","W,1129","","","","","-0.6","W,0212","-2.8","W,0104","","","","","1301.2","","1301.2","W","485.1",",W","16.77","W","24.03","W","9.51","W","360","W","360","W","38.9","W","65.7","W"
"USW00093205","2005","39.1019","-121.5677","18.9","MARYSVILLE YUBA CO AIRPORT, CA US","3.0","B","746.3","","746.3","B","86","B","55","B","","","0","B","12","B","0","B","216","B","82","B","-3.3","B,1206,","","","51.3",",B,1231,","42.8","B,0716,","0.0","B,1127","-2.2","B,1205","","","","","-0.6","W,0113","","","","","","","1560.3","","1560.3","B","657.9",",B","16.45","B","23.66","B","9.24","B","360","B","","","22.8","B","",""
"USW00093205","2006","39.1019","-121.5677","18.9","MARYSVILLE YUBA CO AIRPORT, CA US","","","815.0","","815.0","M","92","A","48","A","","","0","M","24","M","0","M","198","M","96","M","-5.6","M,1219,","","","39.1",",A,0227,","44.4","M,0723,","0.0","M,1012","-2.2","M,1217","-5.6","M,1219","","","0.0","M,0311","-2.8","M,0216","","","","","1450.3","","1450.3","M","507.4",",A","16.35","M","23.67","M","9.02","M","","","","","","","",""
"USW00093205","2007","39.1019","-121.5677","18.9","MARYSVILLE YUBA CO AIRPORT, CA US","","","","","","","50","0","30","0","","","","","","","","","","","","","","","","","22.6",",0,0210,","","","","","","","","","","","","","","","","","","","1450.5","","1450.5","","319.0",",0","","","","","","","","","","","","","",""
"USW00093205","2008","39.1019","-121.5677","18.9","MARYSVILLE YUBA CO AIRPORT, CA US","2.9","W","857.4","","857.4","0","51","0","32","0","","","0","0","21","0","0","0","222","0","103","0","-5.0","0,1218,","","","47.2",",0,0104,","42.8","0,0708,","-0.6","0,1208","-2.8","0,1217","-5.0","0,1218","","","0.0","0,0420","-2.2","0,0119","","","","","","","","","389.5",",0","16.52","0","24.47","0","8.57","0","160","X","170","X","23.2","X","29.9","X"
"USW00093205","2009","39.1019","-121.5677","18.9","MARYSVILLE YUBA CO AIRPORT, CA US","2.8","W","868.3","","868.3","0","62","0","32","0","","","0","0","33","0","0","0","214","0","100","0","-6.7","0,1209,+","","","46.0",",0,0222,","43.9","0,0628,","0.0","0,1114","-2.2","0,1203","-6.7","0,1208","-6.7","0,1208","-0.6","0,0310","-2.8","0,0210","-4.4","0,0104","","","1413.7","","1413.7","0","417.2",",0","16.68","0","24.59","0","8.78","0","170","X","180","X","18.3","X","23.7","X"
"USW00093205","2010","39.1019","-121.5677","18.9","MARYSVILLE YUBA CO AIRPORT, CA US","3.0","W","696.2","","696.2","0","78","0","53","0","","","0","0","6","0","0","0","200","0","80","0","-1.7","0,1231,","","","33.0",",0,0119,","41.7","0,0825,","-0.6","0,1124","","","","","","","0.0","0,0313","","","","","","","1551.9","","1551.9","0","632.2",",0","16.31","0","23.20","0","9.43","0","160","X","160","X","20.1","X","25.9","X"
