"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00047813","1949","33.7869","-116.9583","475.5","SAN JACINTO RANGER STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","179.5",",0","","","","","","","",""
"USC00047813","1950","33.7869","-116.9583","475.5","SAN JACINTO RANGER STATION, CA US","","","","","23","0","16","0","","","","","","","","","","","","","","","","","","","","","15.5",",0,0129,","","","","","","","","","","","","","","","140.5",",0","","","","","","","",""
"USC00047813","1982","33.7869","-116.9583","475.5","SAN JACINTO RANGER STATION, CA US","","","","","51","0","27","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","50.3",",0,0317,","","","","","","","","","","","","","","","421.3",",0","0",",0","","","","","",""
"USC00047813","1983","33.7869","-116.9583","475.5","SAN JACINTO RANGER STATION, CA US","","","","","59","0","47","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","41.9",",0,0502,","","","","","","","","","","","","","","","589.3",",0","0",",0","","","","","",""
"USC00047813","1984","33.7869","-116.9583","475.5","SAN JACINTO RANGER STATION, CA US","","","","","39","0","22","0","0","","0","0","0","0","24","0","0","0","282","0","127","0","-2.8","0,1217,+","0",",0,1231,+","0",",0,1231,+","23.1",",0,0714,","43.3","0,0908,+","0.0","0,1121","-2.8","0,1126","0.0","0,0227","-2.2","0,0218","","","","","218.7",",0","0",",0","18.44","0","28.02","0","8.84","0"
"USC00047813","1986","33.7869","-116.9583","475.5","SAN JACINTO RANGER STATION, CA US","","","","","34","0","25","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","35.6",",0,0317,","","","","","","","","","","","","","","","337.8",",0","0",",0","","","","","",""
"USC00047813","1987","33.7869","-116.9583","475.5","SAN JACINTO RANGER STATION, CA US","","","","","41","0","24","0","0","","0","0","","","","","0","0","238","0","117","0","","","0",",0,1231,+","0",",0,1231,+","32.8",",0,0105,","41.7","0,0902,","","","","","","","","","","","","","301.9",",0","0",",0","","","26.67","0","",""
"USC00047813","1989","33.7869","-116.9583","475.5","SAN JACINTO RANGER STATION, CA US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","","","","","0",",0","","","","","",""
"USC00047813","1990","33.7869","-116.9583","475.5","SAN JACINTO RANGER STATION, CA US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","","","","","0",",0","","","","","",""
"USC00047813","1991","33.7869","-116.9583","475.5","SAN JACINTO RANGER STATION, CA US","","","","","31","0","22","0","0","","0","0","","","","","0","0","274","0","117","0","","","0",",0,1231,+","0",",0,1231,+","70.4",",0,0301,","42.8","0,0823,","","","","","","","","","970.4","","970.4","0","410.4",",0","0",",0","","","27.90","0","",""
