"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023109","1949","32.16667","-110.88333","824.2","DAVIS MONTHAN AFB, AZ US","1697.3","","1697.3","X","36","X","14","X","1","","2","X","0","X","28","X","0","X","284","X","139","X","-4.4","X,1221,","102",",X,1221,","64",",X,0125,","30.0",",X,0928,","41.1","X,0616,","0.0","X,1211","-3.9","X,1212","-4.4","X,1221","","","-1.1","X,0215","-3.3","X,0131","","","","","","","","","182.3",",X","89",",X","20.41","X","27.52","X","13.29","X","248","X","25.9","X"
"USW00023109","1950","32.16667","-110.88333","824.2","DAVIS MONTHAN AFB, AZ US","1722.3","","1722.3","X","25","X","16","X","0","","0","X","0","X","5","X","0","X","318","X","149","X","-6.1","X,0106,","0",",X,1231,+","0",",X,1231,+","36.1",",X,0730,","42.2","X,0901,","","","","","","","","","-1.7","X,0126","-6.1","X,0106","-6.1","X,0106","","","683.1","","683.1","X","211.7",",X","0",",X","21.52","X","29.09","X","13.95","X","225","X","25.0","X"
"USW00023109","1951","32.16667","-110.88333","824.2","DAVIS MONTHAN AFB, AZ US","1731.1","","1731.1","X","46","X","33","X","0","","2","X","0","X","11","X","0","X","273","X","145","X","-2.8","X,0102,","0",",X,1231,+","66",",X,0101,","48.0",",X,1030,","41.1","X,0721,+","0.0","X,1208","-2.2","X,1221","","","","","0.0","X,0304","-2.8","X,0102","","","","","674.1","","674.1","X","323.0",",X","91",",X","20.66","X","27.69","X","13.64","X","","","",""
"USW00023109","1952","32.16667","-110.88333","824.2","DAVIS MONTHAN AFB, AZ US","1931.2","","1931.2","X","47","X","30","X","0","","0","X","0","X","10","X","0","X","261","X","176","X","-3.3","X,0214,","0",",X,1231,+","0","T,X,0311,+","34.5",",X,0815,","42.8","X,0718,","-0.6","X,1224","","","","","","","-0.6","X,0322","-3.3","X,0214","","","","","968.6","","968.6","X","275.7",",X","0","T,X","20.80","X","28.13","X","13.46","X","","","",""
"USW00023109","1953","32.16667","-110.88333","824.2","DAVIS MONTHAN AFB, AZ US","1882.8","","1882.8","X","35","X","20","X","0","","0","X","0","X","16","X","0","X","299","X","150","X","-3.3","X,0221,","0",",X,1231,+","0","T,X,0308,+","25.9",",X,0714,","44.4","X,0630,","0.0","X,1119","","","","","","","0.0","X,0304","-3.3","X,0221","","","","","839.3","","839.3","X","196.3",",X","0","T,X","21.25","X","28.77","X","13.73","X","","","",""
"USW00023109","1954","32.16667","-110.88333","824.2","DAVIS MONTHAN AFB, AZ US","1937.7","","1937.7","X","40","X","22","X","0","","0","X","0","X","3","X","0","X","320","X","168","X","-3.9","X,1228,","0",",X,1231,+","0","T,X,0324,","26.2",",X,0803,","42.8","X,0620,","-3.9","X,1228","-3.9","X,1228","","","","","","","","","","","","","644.3","","644.3","X","228.5",",X","0","T,X","22.20","X","29.42","X","14.98","X","","","",""
"USW00023109","1955","32.16667","-110.88333","824.2","DAVIS MONTHAN AFB, AZ US","1636.7","","1636.7","X","34","X","19","X","0","","0","X","0","X","19","X","0","X","290","X","129","X","-5.0","X,0221,+","0",",X,1231,+","0","T,X,0218,+","24.1",",X,0731,","42.8","X,0709,","","","","","","","","","-0.6","X,0322","-4.4","X,0222","-4.4","X,0222","","","836.9","","836.9","X","188.9",",X","0","T,X","20.35","X","27.53","X","13.16","X","","","",""
"USW00023109","1956","32.16667","-110.88333","824.2","DAVIS MONTHAN AFB, AZ US","1755.8","","1755.8","X","27","X","16","X","0","","0","X","0","X","11","X","0","X","280","X","150","X","-3.3","X,0204,","0",",X,1231,+","0","T,X,0826,+","17.3",",X,0820,","41.7","X,0612,+","-2.2","X,1120","-2.2","X,1120","","","","","-0.6","X,0313","-3.3","X,0204","","","","","774.8","","774.8","X","144.2",",X","0","T,X","20.75","X","28.00","X","13.50","X","","","",""
"USW00023109","1957","32.16667","-110.88333","824.2","DAVIS MONTHAN AFB, AZ US","1599.4","","1599.4","X","53","X","28","X","0","","0","X","0","X","2","X","0","X","268","X","127","X","0.0","X,1203,+","0",",X,1231,+","0",",X,1231,+","27.4",",X,0831,","42.2","X,0624,","0.0","X,1123","","","","","","","","","","","","","","","739.6","","739.6","X","330.3",",X","0",",X","20.66","X","26.94","X","14.39","X","225","X","23.1","X"
"USW00023109","1958","32.16667","-110.88333","824.2","DAVIS MONTHAN AFB, AZ US","1778.6","","1778.6","X","54","X","27","X","0","","1","X","0","X","5","X","0","X","277","X","136","X","-3.3","X,1117,","0",",X,1231,+","168",",X,1116,","57.9",",X,0729,","42.8","X,0709,","-3.3","X,1117","-3.3","X,1117","","","","","-2.2","X,0123","-2.2","X,0123","","","","","946.8","","946.8","X","321.9",",X","168",",X","20.89","X","27.44","X","14.34","X","338","X","30.8","X"
