"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00093228","1999","37.6542","-122.115","13.1","HAYWARD AIR TERMINAL, CA US","3.3","W","129.9","","129.9","W","76","W","34","W","","","","","0","W","1","W","0","W","104","W","5","W","0.0","W,0108,","","","","","19.1",",W,0118,","34.4","W,0712,","","","0.0","W,0108","","","","","","","340.8",",W","","","14.20","W","18.53","W","9.88","W","290","W","280","W","14.8","W","17.4","W"
"USW00093228","2000","37.6542","-122.115","13.1","HAYWARD AIR TERMINAL, CA US","3.2","X","174.4","","174.4","0","75","0","45","0","","","","","0","0","0","0","0","0","120","0","7","0","1.1","0,0102,","","","","","53.8",",0,0213,","40.0","0,0614,","","","","","","","1296.2","","1296.2","0","523.1",",0","","","15.10","0","19.30","0","10.88","0","20","X","30","X","17.4","X","24.1","X"
"USW00093228","2001","37.6542","-122.115","13.1","HAYWARD AIR TERMINAL, CA US","3.3","X","164.8","","164.8","0","70","0","45","0","","","","","0","0","0","0","0","0","141","0","10","0","0.6","0,0117,","","","","","29.2",",0,1112,","36.7","0,0703,","","","","","","","1457.8","","1457.8","0","487.1",",0","","","15.04","0","19.46","0","10.63","0","270","X","280","X","17.0","X","21.5","X"
"USW00093228","2002","37.6542","-122.115","13.1","HAYWARD AIR TERMINAL, CA US","3.2","X","169.9","","169.9","0","49","0","32","0","","","","","0","0","1","0","0","0","128","0","10","0","0.0","0,0130,","","","","","38.9",",0,1213,","35.6","0,0809,+","","","0.0","0,0130","","","1406.4","","1406.4","0","379.8",",0","","","14.92","0","19.43","0","10.41","0","170","X","160","X","16.5","X","20.6","X"
"USW00093228","2003","37.6542","-122.115","13.1","HAYWARD AIR TERMINAL, CA US","3.2","X","253.9","","253.9","0","68","0","41","0","","","","","0","0","0","0","0","0","130","0","12","0","1.7","0,1227,+","","","","","40.6",",0,1229,","37.2","0,0626,","","","","","","","1294.6","","1294.6","0","387.6",",0","","","15.41","0","19.79","0","11.03","0","150","X","300","X","13.4","X","17.9","X"
"USW00093228","2004","37.6542","-122.115","13.1","HAYWARD AIR TERMINAL, CA US","3.2","X","220.1","","220.1","0","55","0","30","0","","","","","0","0","1","0","0","0","143","0","8","0","0.0","0,0104,","","","","","37.6",",0,1019,","35.6","0,0906,+","","","0.0","0,0104","","","1234.7","","1234.7","0","400.8",",0","","","15.43","0","19.71","0","11.14","0","150","X","150","X","15.6","X","19.7","X"
"USW00093228","2005","37.6542","-122.115","13.1","HAYWARD AIR TERMINAL, CA US","3.2","X","95.9","","95.9","0","84","0","56","0","","","","","0","0","0","0","0","0","117","0","2","0","1.1","0,0114,","","","","","39.9",",0,1231,","33.9","0,0723,","","","","","","","1337.3","","1337.3","0","545.0",",0","","","15.10","0","19.30","0","10.89","0","280","X","260","X","14.8","X","18.3","X"
"USW00093228","2006","37.6542","-122.115","13.1","HAYWARD AIR TERMINAL, CA US","3.1","W","190.1","","190.1","0","85","0","51","0","","","","","0","0","1","0","0","0","129","0","10","0","-0.6","0,1219,","","","","","34.0",",0,1212,","40.6","0,0722,","-0.6","0,1219","","","","","1319.3","","1319.3","0","471.4",",0","","","14.97","0","19.45","0","10.49","0","160","X","300","X","16.1","X","19.2","X"
"USW00093228","2007","37.6542","-122.115","13.1","HAYWARD AIR TERMINAL, CA US","2.9","W","123.1","","123.1","0","54","0","33","0","","","","","0","0","5","0","0","0","131","0","0","0","-2.2","0,0115,","","","","","28.7",",0,0210,","31.7","0,0905,+","","","-0.6","0,0116","-2.2","0,0115","1479.6","","1479.6","0","289.0",",0","","","14.56","0","19.28","0","9.84","0","10","X","360","X","13.4","X","17.4","X"
"USW00093228","2008","37.6542","-122.115","13.1","HAYWARD AIR TERMINAL, CA US","2.9","W","215.7","","215.7","0","53","0","30","0","","","","","0","0","0","0","0","0","130","0","14","0","0.6","0,0116,","","","","","48.8",",0,0104,","37.8","0,0620,","","","","","","","1579.5","","1579.5","0","315.4",",0","","","14.68","0","19.59","0","9.76","0","10","X","160","X","13.9","X","41.6","X"
