"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00046175","1922","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","","","","","35","6","25","6","","","","","0","6","2","6","","","","","","","-0.6","6,0121,","","","","","25.4",",6,0208,","","","","","-0.6","6,0121","","","","","248.4",",6","","","","","","","10.61","6"
"USC00046175","1923","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","","","","","26","6","19","6","","","","","","","","","","","","","","","","","","","","","44.5",",6,1227,","","","","","","","1173.4","","1173.4","6","174.1",",6","","","","","","","",""
"USC00046175","1925","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","105.1","","105.1","6","44","6","19","6","","","","","0","6","0","6","0","6","142","6","0","6","1.7","6,0113,","","","","","29.5",",6,1004,","28.9","6,0627,+","","","","","1341.0","","1341.0","6","160.7",",6","","","15.58","6","19.78","6","11.38","6"
"USC00046175","1926","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","115.0","","115.0","6","44","6","21","6","","","","","0","6","0","6","0","6","119","6","0","6","1.1","6,1227,","","","","","45.7",",6,0405,","31.1","6,0313,","","","","","685.9","","685.9","6","319.5",",6","","","16.58","6","20.14","6","13.01","6"
"USC00046175","1927","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","74.3","","74.3","6","45","6","22","6","","","","","0","6","0","6","0","6","96","6","0","6","3.9","6,1220,","","","","","73.4",",6,0215,","31.1","6,1117,","","","","","1156.7","","1156.7","6","408.6",",6","","","15.36","6","18.72","6","11.99","6"
"USC00046175","1928","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","983.7","","983.7","","","","","","","","","","",""
"USC00046175","1930","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","185.6","","185.6","6","","","","","","","","","0","6","0","6","0","6","191","6","1","6","1.7","6,0108,","","","","","","","34.4","6,1005,","","","","","","","","","","","","","16.36","6","21.04","6","11.67","6"
"USC00046175","1931","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","378.3","","378.3","6","","","","","","","","","0","6","0","6","0","6","218","6","0","6","2.2","6,1213,+","","","","","","","30.0","6,1001,+","","","","","628.8","","628.8","6","","","","","17.26","6","21.69","6","12.83","6"
"USC00046175","1932","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","36.1","","36.1","6","","","","","","","","","0","6","0","6","0","6","142","6","0","6","0.6","6,0203,+","","","","","","","28.9","6,0226,","","","","","1183.2","","1183.2","6","","","","","15.20","6","19.59","6","10.80","6"
"USC00046175","1933","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","56.1","","56.1","6","","","","","","","","","0","6","0","6","0","6","100","6","0","6","1.7","6,0104,+","","","","","","","30.6","6,1113,","","","","","1307.5","","1307.5","6","","","","","14.64","6","19.06","6","10.22","6"
"USC00046175","1934","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","211.5","","211.5","0","","","","","","","","","0","0","0","0","0","0","211","0","0","0","2.8","0,0121,","","","","","","","31.1","0,0917,","","","","","883.1","","883.1","0","","","","","17.01","0","21.23","0","12.78","0"
"USC00046175","1935","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","172.6","","172.6","0","49","0","24","0","","","","","0","0","0","0","0","0","161","0","0","0","1.1","0,0226,+","","","","","47.0",",0,0105,","30.6","0,1018,","","","","","947.3","","947.3","0","303.1",",0","","","15.96","0","20.19","0","11.74","0"
"USC00046175","1937","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","175.6","","175.6","0","36","0","22","0","","","","","0","0","3","0","0","0","176","0","0","0","-1.7","0,0122,","","","","","76.2",",0,0214,","28.9","0,0913,","","","-1.1","0,0123","992.4","","992.4","0","331.6",",0","","","15.95","0","20.10","0","11.80","0"
"USC00046175","1938","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","","","","","42","0","26","0","","","","","","","","","","","","","","","","","","","","","50.8",",0,1218,","","","","","","","879.7","","879.7","0","474.3",",0","","","","","","","",""
"USC00046175","1939","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","","","","","31","0","21","0","","","","","","","","","","","","","","","","","","","","","70.4",",0,0925,","","","","","","","","","","","252.0",",0","","","","","","","",""
"USC00046175","1940","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","129.1","","129.1","0","51","0","30","0","","","","","0","0","0","0","0","0","208","0","0","0","1.7","0,0312,","","","","","50.0",",0,1224,","30.6","0,0413,+","","","","","661.3","","661.3","0","436.8",",0","","","16.77","0","21.17","0","12.37","0"
"USC00046175","1942","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","132.4","","132.4","0","33","0","17","0","","","","","0","0","1","0","0","0","184","0","0","0","0.0","0,0215,","","","","","20.8",",0,0315,","31.1","0,1016,","","","0.0","0,0215","940.8","","940.8","0","170.8",",0","","","16.06","0","20.65","0","11.46","0"
"USC00046175","1943","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","169.8","","169.8","0","51","0","35","0","","","","","0","0","0","0","0","0","191","0","0","0","1.7","0,0119,","","","","","68.3",",0,0122,","29.4","0,0518,","","","","","797.5","","797.5","0","461.0",",0","","","16.65","0","20.93","0","12.37","0"
"USC00046175","1944","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","75.4","","75.4","0","49","0","26","0","","","","","0","0","0","0","0","0","131","0","0","0","2.8","0,0216,","","","","","84.3",",0,0223,","27.2","0,1122,","","","","","921.1","","921.1","0","422.2",",0","","","15.82","0","19.86","0","11.78","0"
"USC00046175","1945","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","229.6","","229.6","0","40","0","27","0","0","","0","0","0","0","0","0","0","0","145","0","1","0","1.7","0,1203,","0",",0,1231,+","0",",0,1231,+","45.7",",0,1223,","32.8","0,1103,","","","","","1089.3","","1089.3","0","307.2",",0","0",",0","15.94","0","20.23","0","11.65","0"
"USC00046175","1946","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","235.2","","235.2","0","36","0","19","0","0","","0","0","0","0","0","0","0","0","164","0","0","0","2.2","0,0206,+","0",",0,1231,+","0",",0,1231,+","36.1",",0,1113,","29.4","0,0930,","","","","","960.5","","960.5","0","292.8",",0","0",",0","16.36","0","20.36","0","12.36","0"
"USC00046175","1947","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","232.0","","232.0","0","34","0","14","0","0","","0","0","0","0","0","0","0","0","185","0","0","0","3.3","0,1230,+","0",",0,1231,+","0",",0,1231,+","12.7",",0,0209,","29.4","0,0325,","","","","","858.3","","858.3","0","109.0",",0","0",",0","16.61","0","20.83","0","12.40","0"
"USC00046175","1949","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","184.9","","184.9","0","50","0","29","0","0","","0","0","0","0","1","0","0","0","168","0","0","0","0.0","0,0105,","0",",0,1231,+","0","T,0,0110,","25.9",",0,1219,","31.1","0,0622,","","","0.0","0,0105","1216.6","","1216.6","0","270.4",",0","0","T,0","15.57","0","19.72","0","11.43","0"
"USC00046175","1950","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","120.4","","120.4","0","32","0","14","0","0","","0","0","0","0","1","0","0","0","134","0","2","0","0.0","0,0106,","0",",0,1231,+","0",",0,1231,+","24.6",",0,0207,","35.0","0,1013,","","","0.0","0,0106","1176.0","","1176.0","0","172.4",",0","0",",0","15.65","0","19.38","0","11.93","0"
"USC00046175","1952","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","100.4","","100.4","0","51","0","33","0","0","","0","0","0","0","0","0","0","0","125","0","0","0","1.7","0,0104,","0",",0,1231,+","0",",0,1231,+","61.5",",0,0118,","27.2","0,1104,","","","","","1156.8","","1156.8","0","498.8",",0","0",",0","15.18","0","19.28","0","11.08","0"
"USC00046175","1953","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","191.5","","191.5","0","20","0","11","0","0","","0","0","0","0","0","0","0","0","174","0","2","0","0.6","0,0302,","0",",0,1231,+","0",",0,1231,+","17.8",",0,1114,","33.9","0,1004,","","","","","1155.7","","1155.7","0","90.6",",0","0",",0","15.96","0","20.96","0","10.96","0"
"USC00046175","1954","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","143.0","","143.0","0","29","0","18","0","0","","0","0","0","0","0","0","0","0","111","0","0","0","0.6","0,1229,","0",",0,1231,+","0",",0,1231,+","42.7",",0,0213,","31.7","0,0207,","","","","","1108.5","","1108.5","0","237.6",",0","0",",0","15.50","0","19.23","0","11.76","0"
"USC00046175","1955","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","91.9","","91.9","0","36","0","23","0","0","","0","0","0","0","1","0","0","0","81","0","1","0","-0.6","0,0109,","0",",0,1231,+","0","T,0,0116,","22.4",",0,0110,","34.4","0,0831,","","","-0.6","0,0109","1289.8","","1289.8","0","213.8",",0","0","T,0","14.77","0","18.39","0","11.15","0"
"USC00046175","1956","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","106.6","","106.6","0","16","0","10","0","0","","0","0","0","0","0","0","0","0","122","0","0","0","1.7","0,0217,+","0",",0,1231,+","0",",0,1231,+","78.0",",0,0126,","29.4","0,1110,","","","","","1371.1","","1371.1","0","229.0",",0","0",",0","15.32","0","19.24","0","11.40","0"
"USC00046175","1957","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","198.4","","198.4","0","44","0","27","0","0","","0","0","0","0","0","0","0","0","139","0","0","0","2.8","0,0128,","0",",0,1231,+","0",",0,1231,+","21.3",",0,1215,","30.6","0,0618,","","","","","996.2","","996.2","0","270.7",",0","0",",0","16.21","0","19.72","0","12.70","0"
"USC00046175","1958","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","208.1","","208.1","0","38","0","23","0","0","","0","0","0","0","0","0","0","0","166","0","2","0","1.1","0,1117,","0",",0,1231,+","0",",0,1231,+","62.7",",0,0407,","33.3","0,0815,","","","","","835.2","","835.2","0","401.5",",0","0",",0","16.68","0","20.63","0","12.74","0"
"USC00046175","1959","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","","","","","21","0","15","0","0","","0","0","0","0","0","0","","","","","","","2.2","0,0213,","0",",0,1231,+","0",",0,1231,+","22.9",",0,0216,","","","","","","","817.6","","817.6","0","144.1",",0","0",",0","","","","","12.99","0"
"USC00046175","1960","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","139.3","","139.3","0","31","0","14","0","0","","0","0","0","0","1","0","0","0","132","0","0","0","0.0","0,0102,","0",",0,1231,+","0",",0,1231,+","41.7",",0,0427,","30.0","0,0402,","","","0.0","0,0102","","","","","201.8",",0","0",",0","15.76","0","19.53","0","11.99","0"
"USC00046175","1961","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","121.0","","121.0","0","20","0","11","0","0","","0","0","0","0","0","0","0","0","109","0","1","0","2.8","0,1230,","0",",0,1231,+","0",",0,1231,+","36.3",",0,1202,","33.9","0,1015,","","","","","1075.0","","1075.0","0","129.7",",0","0",",0","15.48","0","19.38","0","11.59","0"
"USC00046175","1962","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","53.2","","53.2","0","30","0","19","0","0","","0","0","0","0","0","0","0","0","74","0","0","0","0.6","0,0115,","0",",0,1231,+","0",",0,1231,+","59.2",",0,0208,","28.9","0,0128,","","","","","1322.1","","1322.1","0","247.6",",0","0",",0","15.02","0","18.47","0","11.58","0"
"USC00046175","1963","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","169.9","","169.9","0","33","0","21","0","0","","0","0","0","0","0","0","0","0","143","0","1","0","0.6","0,0113,","0",",0,1231,+","0",",0,1231,+","79.2",",0,1120,","34.4","0,0927,","","","","","1126.7","","1126.7","0","345.2",",0","0",",0","16.01","0","19.94","0","12.08","0"
"USC00046175","1964","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","123.7","","123.7","0","34","0","14","0","0","","0","0","0","0","0","0","0","0","115","0","0","0","2.8","0,1120,+","0",",0,1231,+","0",",0,1231,+","24.4",",0,1227,","31.7","0,1020,","","","","","1095.5","","1095.5","0","154.6",",0","0",",0","15.40","0","19.20","0","11.59","0"
"USC00046175","1965","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","129.8","","129.8","0","43","0","29","0","0","","0","0","0","0","0","0","0","0","95","0","3","0","2.2","0,0212,+","0",",0,1231,+","0",",0,1231,+","47.5",",0,0401,","35.6","0,1021,","","","","","1151.7","","1151.7","0","434.8",",0","0",",0","15.60","0","19.35","0","11.84","0"
"USC00046175","1966","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","164.6","","164.6","0","21","0","10","0","0","","0","0","0","0","0","0","0","0","134","0","1","0","2.2","0,0103,","0",",0,1231,+","0",",0,1231,+","55.9",",0,1205,","32.2","0,1101,","","","","","1018.8","","1018.8","0","222.9",",0","0",",0","16.01","0","19.73","0","12.29","0"
"USC00046175","1967","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","240.1","","240.1","0","37","0","22","0","0","","0","0","0","0","0","0","0","0","132","0","0","0","2.2","0,0107,","0",",0,1231,+","0",",0,1231,+","57.4",",0,1121,","30.6","0,1030,","","","","","1124.2","","1124.2","0","308.6",",0","0",",0","16.01","0","19.82","0","12.19","0"
"USC00046175","1968","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","167.6","","167.6","0","24","0","13","0","0","","0","0","0","0","0","0","0","0","134","0","0","0","0.6","0,1221,","0",",0,1231,+","0",",0,1231,+","32.0",",0,0308,","31.1","0,0923,","","","","","851.3","","851.3","0","112.7",",0","0",",0","16.22","0","19.82","0","12.63","0"
"USC00046175","1969","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","133.6","","133.6","0","47","0","28","0","0","","0","0","0","0","0","0","0","0","134","0","0","0","0.6","0,0131,","0",",0,1231,+","0",",0,1231,+","97.0",",0,0224,","29.4","0,0104,","","","","","1027.4","","1027.4","0","491.7",",0","0",",0","16.04","0","19.76","0","12.32","0"
"USC00046175","1970","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","122.0","","122.0","0","33","0","21","0","0","","0","0","0","0","0","0","0","0","124","0","1","0","2.2","0,0219,","0",",0,1231,+","0",",0,1231,+","55.6",",0,1219,","33.3","0,0927,","","","","","947.0","","947.0","0","301.8",",0","0",",0","15.77","0","19.67","0","11.88","0"
"USC00046175","1971","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","250.3","","250.3","0","32","0","18","0","0","","0","0","0","0","5","0","0","0","144","0","1","0","-1.1","0,0106,+","0",",0,1231,+","0",",0,1231,+","28.4",",0,1224,","33.9","0,1004,","0.0","0,1030","-0.6","0,0204","1210.2","","1210.2","0","185.4",",0","0",",0","15.38","0","19.52","0","11.24","0"
"USC00046175","1972","33.6025","-117.8803","3.0","NEWPORT BEACH HARBOR, CA US","184.4","","184.4","0","26","0","13","0","0","","0","0","0","0","0","0","0","0","131","0","1","0","1.1","0,0105,","0",",0,1231,+","0",",0,1231,+","38.1",",0,1116,","32.8","0,1006,","","","","","1243.9","","1243.9","0","127.1",",0","0",",0","15.77","0","19.55","0","11.99","0"
