"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00382580","1902","34.35","-82.366667","216.7","DUE WEST, SC US","0","6","49","6","-8.3","6,1227,","-3.3","6,1128","-3.3","6,1128","-5.6","6,1226","-8.3","6,1227","-3.9","6,0319","-3.9","6,0319","-5.6","6,0218","-7.8","6,0205","","","","","11.93","6"
"USC00382580","1907","34.35","-82.366667","216.7","DUE WEST, SC US","","","","","","","","","","","","","","","","","","","","","","","1274.5","","1274.5","6","",""
