"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00012842","1950","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1877.3","","1877.3","0","106","0","68","0","0","","0","0","0","0","1","0","0","0","329","0","103","0","-0.6","0,1126,","0",",0,1231,+","0",",0,1231,+","93.0",",0,0905,","36.7","0,0626,+","-0.6","0,1126","","","","","","","","","","","","","184.0","","184.0","0","1428.3",",0","","","0",",0","22.64","0","28.08","0","17.20","0","","","","","","","","","","","","","","","","","",""
"USW00012842","1951","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1911.4","","1911.4","0","93","0","61","0","0","","0","0","0","0","1","0","0","0","330","0","118","0","-0.6","0,0203,","0",",0,1231,+","0","T,0,0202,","82.6",",0,0407,","36.7","0,0624,","","","","","","","","","-0.6","0,0203","","","","","388.0","","388.0","0","1113.7",",0","","","0","T,0","22.73","0","28.14","0","17.32","0","","","","","","","","","270","X","","","","","","","25.0","X"
"USW00012842","1952","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1747.5","","1747.5","0","104","0","67","0","0","","0","0","0","0","0","0","0","0","324","0","93","0","1.7","0,1217,+","0",",0,1231,+","0","T,0,0701,","56.6",",0,0326,","36.7","0,0626,","","","","","","","","","","","","","","","250.7","","250.7","0","1152.9",",0","","","0","T,0","22.24","0","27.44","0","17.04","0","","","","","","","","","","","","","","","","","",""
"USW00012842","1953","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1817.0","","1817.0","0","117","0","80","0","0","","0","0","0","0","0","0","0","0","328","0","59","0","2.2","0,1218,","0",",0,1231,+","0",",0,1231,+","83.8",",0,0321,","36.1","0,0602,","","","","","","","","","","","","","","","302.7","","302.7","0","1453.1",",0","","","0",",0","22.59","0","27.42","0","17.76","0","","","","","","","","","360","X","","","","","","","26.8","X"
"USW00012842","1954","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1724.4","","1724.4","0","127","0","83","0","0","","0","0","0","0","0","0","0","0","314","0","62","0","1.7","0,1220,+","0",",0,1231,+","0","T,0,0814,","88.6",",0,1114,","34.4","0,0820,+","","","","","","","","","","","","","","","304.7","","304.7","0","1097.8",",0","","","0","T,0","21.96","0","27.20","0","16.71","0","","","","","","","","","315","X","","","","","","","32.6","X"
"USW00012842","1955","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1663.3","","1663.3","0","107","0","75","0","0","","0","0","0","0","1","0","0","0","321","0","63","0","-0.6","0,0213,","0",",0,1231,+","0",",0,1231,+","72.1",",0,0701,","33.3","0,0824,+","","","","","","","","","-0.6","0,0213","","","","","422.4","","422.4","0","1240.3",",0","","","0",",0","21.90","0","27.21","0","16.59","0","","","","","","","","","90","X","","","","","","","21.6","X"
"USW00012842","1956","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1732.6","","1732.6","0","90","0","48","0","0","","0","0","0","0","1","0","0","0","321","0","62","0","0.0","0,0114,","0",",0,1231,+","0",",0,1231,+","48.0",",0,0508,","34.4","0,0721,","","","","","","","","","0.0","0,0114","","","","","376.1","","376.1","0","734.3",",0","","","0",",0","22.05","0","27.47","0","16.62","0","","","","","","","","","293","X","","","","","","","21.6","X"
"USW00012842","1957","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1775.8","","1775.8","0","130","0","84","0","0","","0","0","0","0","2","0","0","0","336","0","52","0","-3.3","0,1213,","0",",0,1231,+","0",",0,1231,+","136.7",",0,0725,","33.9","0,0615,+","-2.8","0,1212","-2.8","0,1212","","","","","","","","","","","225.6","","225.6","0","1789.5",",0","","","0",",0","22.53","0","27.48","0","17.59","0","","","","","","","","","180","X","","","","","","","23.1","X"
"USW00012842","1958","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1857.9","","1857.9","0","131","0","96","0","0","","0","0","0","0","6","0","0","0","296","0","111","0","-4.4","0,0204,","0",",0,1231,+","0",",0,1231,+","68.3",",0,0226,","35.6","0,0902,+","","","","","","","","","-0.6","0,0221","-4.4","0,0204","-4.4","0,0204","578.6","","578.6","0","1474.7",",0","","","0",",0","21.94","0","26.93","0","16.96","0","","","","","","","","","270","X","","","","","","","26.7","X"
"USW00012842","1959","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1985.9","","1985.9","0","145","0","99","0","0","","0","0","0","0","3","0","0","0","321","0","104","0","-1.7","0,1130,","0",",0,1231,+","0",",0,1231,+","71.6",",0,0617,","35.0","0,0725,+","-1.7","0,1130","","","","","","","0.0","0,0117","","","","","260.8","","260.8","0","1945.9",",0","","","0",",0","22.96","0","27.89","0","18.02","0","","","","","","","","","90","X","","","","","","","27.8","X"
"USW00012842","1960","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1849.8","","1849.8","0","103","0","69","0","0","","0","0","0","0","5","0","0","0","316","0","81","0","-1.1","0,0124,","0",",0,1231,+","0",",0,1231,+","230.4",",0,0729,","36.1","0,0828,+","0.0","0,1213","","","","","","","-1.1","0,0124","","","","","394.9","","394.9","0","1663.0",",0","","","0",",0","22.22","0","27.39","0","17.04","0","","","","","","","","","360","X","","","","","","","33.4","X"
"USW00012842","1961","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1907.2","","1907.2","0","101","0","54","0","0","","0","0","0","0","1","0","0","0","326","0","99","0","-0.6","0,0122,","0",",0,1231,+","0",",0,1231,+","56.6",",0,0203,","36.1","0,0814,","","","","","","","","","-0.6","0,0122","","","","","355.3","","355.3","0","890.5",",0","","","0",",0","22.72","0","28.08","0","17.36","0","","","","","","","","","315","X","","","","","","","28.3","X"
"USW00012842","1962","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1724.7","","1724.7","0","97","0","66","0","0","","0","0","0","0","4","0","0","0","318","0","78","0","-7.8","0,1213,","0",",0,1231,+","0",",0,1231,+","103.1",",0,0920,","35.0","0,0830,+","-2.2","0,1212","-2.2","0,1212","-7.8","0,1213","-7.8","0,1213","-1.7","0,0113","","","","","295.8","","295.8","0","1057.5",",0","","","0",",0","21.94","0","27.11","0","16.78","0","","","","","","","","","45","X","","","","","","","25.2","X"
"USW00012842","1963","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1734.8","","1734.8","0","111","0","69","0","0","","0","0","0","0","1","0","0","0","297","0","74","0","-0.6","0,1219,","0",",0,1231,+","0",",0,1231,+","96.8",",0,1110,","35.6","0,0901,+","-0.6","0,1219","","","","","","","","","","","","","472.7","","472.7","0","1103.6",",0","","","0",",0","21.65","0","27.02","0","16.29","0","","","","","","","","","315","X","","","","","","","29.8","X"
"USW00012842","1964","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1742.5","","1742.5","0","105","0","72","0","0","","0","0","0","0","4","0","0","0","318","0","81","0","-2.8","0,0115,","0",",0,1231,+","0",",0,1231,+","102.6",",0,0726,","36.1","0,0714,+","0.0","0,1201","","","","","","","-2.8","0,0115","-2.8","0,0115","","","510.1","","510.1","0","1472.0",",0","","","0",",0","22.06","0","27.53","0","16.59","0","","","","","","","","","315","X","","","","","","","35.0","X"
"USW00012842","1965","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1690.2","","1690.2","0","98","0","71","0","0","","0","0","0","0","3","0","0","0","331","0","69","0","-1.7","0,0118,","0",",0,1231,+","0","T,0,0117,","58.9",",0,0731,","35.0","0,0606,+","0.0","0,1201","","","","","","","-0.6","0,0129","","","","","313.6","","313.6","0","1086.9",",0","63.3","X","0","T,0","22.01","0","27.50","0","16.54","0","169104",",X","270","X","","","","","225","X","18.3","X","","","","","25.2","X"
"USW00012842","1966","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1696.5","","1696.5","0","93","0","61","0","0","","0","0","0","0","6","0","0","0","312","0","75","0","-4.4","0,0131,","0",",0,1231,+","0",",0,1231,+","74.2",",0,0608,","35.0","0,0901,+","-0.6","0,1225","","","","","","","-2.2","0,0206","-2.2","0,0206","-4.4","0,0131","433.3","","433.3","0","916.3",",0","65.8","X","0",",0","21.63","0","26.96","0","16.29","0","176094",",X","120","X","","","","","90","X","20.6","X","","","","","28.8","X"
"USW00012842","1967","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1713.0","","1713.0","0","80","0","57","0","0","","0","0","0","0","3","0","0","0","333","0","66","0","-2.8","0,0226,","0",",0,1231,+","0",",0,1231,+","82.6",",0,0812,","35.6","0,0601,+","-1.1","0,1224","","","","","","","-2.8","0,0226","-2.8","0,0226","","","355.0","","355.0","0","1000.5",",0","63.4","X","0",",0","22.21","0","27.78","0","16.63","0","167418",",X","140","X","","","","","135","X","13.0","X","","","","","19.0","X"
"USW00012842","1968","27.96194","-82.5403","5.8","TAMPA INTERNATIONAL AIRPORT, FL US","","","1591.7","","1591.7","0","104","0","60","0","0","","0","0","0","0","3","0","0","0","297","0","61","0","-2.8","0,1217,","0",",0,1231,+","0",",0,1231,+","63.2",",0,1018,","35.0","0,0822,+","-1.7","0,1216","-2.8","0,1217","","","","","-0.6","0,0126","","","","","468.9","","468.9","0","999.8",",0","70.2","X","0",",0","20.97","0","26.54","0","15.40","0","185808",",X","190","X","","","","","180","X","16.5","X","","","","","22.6","X"
