"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00014756","1948","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","169.7","","169.7","0","143","0","87","0","37","","11","0","0","0","101","0","30","0","88","0","3","0","-15.0","0,0130,","152",",0,0125,+","152",",0,0114,","77.5",",0,1024,","35.0","0,0828,","-1.7","0,1022","-2.8","0,1218","-6.1","0,1219","-7.8","0,1224","-11.7","0,1226","0.0","X,0504","-2.8","X,0411","-8.3","X,0314","-8.3","X,0314","-9.4","X,0306","","","","","1315.3",",0","","","886",",0","9.42","0","13.23","0","5.61","0","","","","","","","","","","","","","",""
"USW00014756","1949","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","260.7","","260.7","0","117","0","73","0","3","","3","0","0","0","78","0","7","0","94","0","2","0","-8.9","0,1210,+","102",",0,0127,","145",",0,0126,","33.0",",0,1026,","33.3","0,0810,","0.0","0,1106","-3.3","0,1122","-6.7","0,1123","-6.7","0,1123","-8.9","0,1210","-1.1","0,0418","-4.4","0,0321","-4.4","0,0321","-7.8","0,0320","-8.9","0,0212","3002.3","","3002.3","0","858.0",",0","","","315",",0","10.78","0","14.53","0","7.02","0","","","","","","","","","","","","","",""
"USW00014756","1950","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","112.0","","112.0","0","133","0","78","0","7","","5","0","0","0","88","0","15","0","79","0","0","0","-16.1","0,1227,","102",",0,1226,","102",",0,0408,","60.2",",0,0911,","27.2","0,0910,+","-2.2","0,1123","-2.2","0,1123","-6.1","0,1219","-7.2","0,1220","-16.1","0,1227","0.0","0,0423","-2.2","0,0413","-6.7","0,0319","-6.7","0,0319","-9.4","0,0305","3225.6","","3225.6","0","1045.4",",0","","","453",",0","9.62","0","13.30","0","5.94","0","","","","","","","","","","","","","",""
"USW00014756","1951","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","171.8","","171.8","0","124","0","83","0","7","","8","0","0","0","80","0","12","0","100","0","0","0","-11.7","0,0209,+","279",",0,0204,","206",",0,0203,","64.5",",0,1005,","28.9","0,0625,","0.0","0,1118","-2.2","0,1120","-5.0","0,1121","-8.9","0,1216","-8.9","0,1216","-1.7","0,0327","-3.3","0,0323","-4.4","0,0310","-8.9","0,0210","-8.9","0,0210","3049.3","","3049.3","0","1020.3",",0","","","684",",0","10.53","0","14.31","0","6.74","0","","","","","","","","","","","","","",""
"USW00014756","1952","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","223.4","","223.4","0","109","0","71","0","24","","9","0","0","0","90","0","6","0","97","0","0","0","-11.7","0,0131,","508",",0,0301,+","378",",0,0227,","55.1",",0,1222,","31.7","0,0723,+","-2.2","0,1109","-2.2","0,1109","-4.4","0,1220","-6.7","0,1227","-10.6","0,1228","-1.1","0,0410","-2.2","0,0320","-4.4","0,0316","-7.2","0,0304","-11.7","0,0131","3083.9","","3083.9","0","1040.5",",0","","","1300",",0","10.33","0","14.08","0","6.57","0","","","","","","","","","","","","","",""
"USW00014756","1953","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","144.3","","144.3","0","128","0","86","0","3","","2","0","0","0","66","0","9","0","80","0","0","0","-10.0","0,0202,","25",",0,0212,+","51",",0,0212,","80.5",",0,0407,","30.0","0,0830,","0.0","0,1129","-7.8","0,1217","-7.8","0,1217","-7.8","0,1217","-8.9","0,1218","-2.2","0,0322","-2.2","0,0322","-8.9","0,0311","-8.9","0,0311","-8.9","0,0311","3063.3","","3063.3","0","1523.5",",0","","","98",",0","10.63","0","14.10","0","7.15","0","","","","","","","","","","","","","",""
"USW00014756","1954","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","99.0","","99.0","0","139","0","80","0","15","","5","0","0","0","99","0","11","0","82","0","0","0","-16.7","0,0213,","229",",0,1222,","224",",0,1221,","48.3",",0,0515,","27.2","0,0627,","-3.3","0,1110","-3.3","0,1110","-5.6","0,1207","-7.2","0,1222","","","-2.8","0,0410","-2.8","0,0410","-6.7","0,0404","-6.7","0,0404","-12.8","0,0214","3098.4","","3098.4","0","1050.3",",0","","","813",",0","9.81","0","13.32","0","6.30","0","","","","","","","","","","","","","",""
"USW00014756","1955","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","168.0","","168.0","0","116","0","75","0","18","","9","0","0","0","110","0","25","0","74","0","0","0","-16.1","0,1221,","127",",0,0204,","185",",0,0404,","67.1",",0,1016,","30.6","0,0802,","0.0","0,1023","-2.2","0,1121","-4.4","0,1123","-7.8","0,1207","-15.6","0,1220","0.0","0,0408","-2.8","0,0329","-5.6","0,0320","-7.2","0,0308","-9.4","0,0214","3285.8","","3285.8","0","925.7",",0","","","717",",0","9.19","0","12.52","0","5.86","0","","","","","","","","","","","","","",""
"USW00014756","1956","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","101.7","","101.7","0","133","0","89","0","19","","12","0","0","0","94","0","16","0","80","0","0","0","-11.1","0,1230,","127",",0,0321,+","284",",0,0319,","85.6",",0,0807,","30.6","0,0616,","-1.7","0,1110","-5.0","0,1111","-5.0","0,1111","-7.2","0,1219","-11.1","0,1230","-1.7","0,0413","-5.6","0,0329","-5.6","0,0329","-6.7","0,0325","-10.0","0,0222","3523.1","","3523.1","0","1148.6",",0","","","1080",",0","9.35","0","12.88","0","5.83","0","","","","","","","","","","","","","",""
"USW00014756","1957","41.25306","-70.06083","13.7","NANTUCKET MEMORIAL AIRPORT, MA US","","","175.3","","175.3","0","119","0","81","0","16","","6","0","0","0","95","0","12","0","99","0","0","0","-14.4","0,0115,","127",",0,0202,","259",",0,0320,","60.5",",0,0320,","30.0","0,0616,","-2.2","0,1111","-2.2","0,1111","-5.0","0,1127","-7.2","0,1213","","","-1.1","0,0517","-2.2","0,0318","-6.1","0,0306","-8.3","0,0203","-11.1","0,0120","3245.1","","3245.1","0","959.2",",0","","","797",",0","10.10","0","13.85","0","6.34","0","","","","","","","","","","","","","",""
