"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013930","1955","38.71667","-93.55","265.2","WHITEMAN AFB, MO US","857.7","","857.7","X","81","X","50","X","15","","8","X","3","X","105","X","29","X","191","X","53","X","-18.9","X,0212,","127",",X,0322,","124",",X,0321,","129.3",",X,0829,","38.9","X,0730,","-2.2","X,1102","-2.2","X,1102","-4.4","X,1103","-9.4","X,1116","-9.4","X,1116","-5.0","X,0328","-5.0","X,0328","-5.0","X,0328","-6.7","X,0327","-16.1","X,0326","2515.2","","2515.2","X","873.3",",X","476",",X","13.28","X","18.95","X","7.60","X","","","",""
"USW00013930","1956","38.71667","-93.55","265.2","WHITEMAN AFB, MO US","990.3","","990.3","X","76","X","45","X","17","","7","X","0","X","104","X","23","X","194","X","69","X","-16.7","X,0131,","203",",X,0203,+","185",",X,0201,","45.0",",X,0428,","38.9","X,0804,","-2.8","X,1108","-2.8","X,1108","-5.6","X,1116","-7.2","X,1122","-9.4","X,1209","-1.7","X,0424","-4.4","X,0330","-4.4","X,0330","-7.8","X,0313","-9.4","X,0228","2820.3","","2820.3","X","506.8",",X","619",",X","13.86","X","19.77","X","7.95","X","","","",""
"USW00013930","1957","38.71667","-93.55","265.2","WHITEMAN AFB, MO US","741.8","","741.8","X","99","X","67","X","12","","5","X","0","X","92","X","16","X","166","X","32","X","-16.1","X,0114,","102",",X,0412,","94",",X,0411,","96.3",",X,1023,","36.7","X,0803,+","-1.1","X,1025","-3.3","X,1026","-6.7","X,1122","-6.7","X,1122","-8.9","X,1130","0.0","X,0414","-2.8","X,0413","-5.6","X,0412","-8.3","X,0308","-12.8","X,0130","2524.9","","2524.9","X","874.7",",X","302",",X","12.96","X","17.95","X","7.97","X","45","X","22.1","X"
"USW00013930","1958","38.71667","-93.55","265.2","WHITEMAN AFB, MO US","680.5","","680.5","X","97","X","68","X","25","","9","X","2","X","102","X","36","X","178","X","15","X","-20.0","X,0216,","330",",X,0122,","254",",X,0121,","41.4",",X,0916,","35.0","X,0829,","-1.7","X,1118","-7.2","X,1126","-7.2","X,1126","-7.2","X,1126","-10.6","X,1130","-0.6","X,0328","-3.9","X,0321","-5.6","X,0303","-10.6","X,0220","-10.6","X,0220","2897.4","","2897.4","X","824.4",",X","861",",X","12.22","X","17.24","X","7.20","X","","","",""
"USW00013930","1959","38.71667","-93.55","265.2","WHITEMAN AFB, MO US","827.8","","827.8","X","108","X","61","X","18","","3","X","3","X","97","X","22","X","169","X","34","X","-21.7","X,0104,","229",",X,0101,","112",",X,0121,","43.9",",X,0521,","35.0","X,0906,+","0.0","X,1027","-6.1","X,1105","-6.1","X,1105","-8.9","X,1106","-8.9","X,1106","-0.6","X,0409","-4.4","X,0322","-4.4","X,0322","-11.7","X,0220","-11.7","X,0220","2651.7","","2651.7","X","852.1",",X","298",",X","12.98","X","18.13","X","7.84","X","248","X","35.5","X"
"USW00013930","1960","38.71667","-93.55","265.2","WHITEMAN AFB, MO US","740.5","","740.5","X","110","X","71","X","47","","16","X","3","X","111","X","41","X","181","X","34","X","-20.6","X,0305,","330",",X,0317,+","140",",X,0302,","80.3",",X,0415,","36.1","X,0902,","-2.2","X,1020","-2.2","X,1020","-7.2","X,1110","-7.2","X,1110","-8.9","X,1201","-2.2","X,0410","-2.2","X,0410","-7.2","X,0325","-7.2","X,0325","-12.2","X,0312","3056.9","","3056.9","X","1038.9",",X","1080",",X","12.22","X","17.33","X","7.11","X","338","X","20.0","X"
"USW00013930","1961","38.71667","-93.55","265.2","WHITEMAN AFB, MO US","590.1","","590.1","X","116","X","81","X","27","","8","X","4","X","110","X","22","X","152","X","22","X","-20.6","X,1213,","152",",X,1223,","135",",X,0409,","122.9",",X,0913,","37.8","X,0902,","0.0","X,1020","-2.8","X,1103","-4.4","X,1128","-8.9","X,1210","-8.9","X,1210","-0.6","X,0416","-2.8","X,0402","-5.0","X,0225","-9.4","X,0219","-9.4","X,0219","2743.3","","2743.3","X","1385.9",",X","572",",X","11.89","X","17.18","X","6.60","X","","","",""
"USW00013930","1962","38.71667","-93.55","265.2","WHITEMAN AFB, MO US","811.5","","811.5","X","105","X","63","X","26","","9","X","11","X","106","X","30","X","178","X","41","X","-23.9","X,0111,+","229",",X,0121,+","104",",X,0105,","57.7",",X,0320,","41.1","X,0819,","-0.6","X,1025","-2.8","X,1104","-5.0","X,1105","-8.9","X,1206","-8.9","X,1206","-2.8","X,0416","-2.8","X,0416","-5.6","X,0317","-6.7","X,0316","-11.1","X,0306","3004.7","","3004.7","X","711.1",",X","547",",X","12.47","X","18.18","X","6.77","X","","","",""
"USW00013930","1963","38.71667","-93.55","265.2","WHITEMAN AFB, MO US","849.8","","849.8","X","89","X","44","X","26","","3","X","20","X","107","X","43","X","195","X","44","X","-23.3","X,0123,","102",",X,1214,+","58",",X,1211,","58.4",",X,0427,","37.8","X,0719,","-3.9","X,1102","-3.9","X,1102","-4.4","X,1123","-7.2","X,1209","-8.9","X,1210","-2.8","X,0322","-2.8","X,0322","-8.3","X,0301","-8.3","X,0301","-16.1","X,0226","2873.8","","2873.8","X","738.3",",X","214",",X","12.64","X","18.51","X","6.77","X","","","",""
"USW00013930","1964","38.71667","-93.55","265.2","WHITEMAN AFB, MO US","746.1","","746.1","X","102","X","66","X","19","","","","1","X","112","X","17","X","181","X","38","X","-18.9","X,1218,","152",",X,0216,","","","48.0",",X,0527,","40.0","X,0803,","-1.1","X,1009","-3.3","X,1020","-10.0","X,1120","-10.0","X,1120","-10.0","X,1120","-1.7","X,0409","-8.9","X,0330","-8.9","X,0330","-8.9","X,0330","-8.9","X,0330","2782.7","","2782.7","X","882.2",",X","","","12.85","X","18.67","X","7.04","X","200","X","33.4","X"
