"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00051816","1945","37.13333","-106.03333","2410.1","CONEJOS 3 NNW, CO US","11.6","","11.6","6","","","","","","","33","6","237","6","28","6","117","6","0","6","-28.9","6,0129,","","","","","30.0","6,0906,","-3.3","6,0913","-3.3","6,0913","-4.4","6,0928","-13.9","6,1024","-13.9","6,1024","-0.6","6,0630","-3.3","6,0618","-4.4","6,0521","-8.9","6,0426","-8.9","6,0426","","","","","","","","","4.74","6","14.10","6","-4.61","6","48057","6"
"USC00051816","1946","37.13333","-106.03333","2410.1","CONEJOS 3 NNW, CO US","12.0","","12.0","6","55","6","25","6","","","33","6","227","6","25","6","126","6","0","6","-27.8","6,0113,","","","30.2",",6,0716,","31.1","6,0718,","-0.6","6,0910","-2.2","6,0920","-5.6","6,1008","-11.1","6,1012","-11.1","6,1012","-0.6","6,0620","-2.8","6,0601","-5.6","6,0530","-6.7","6,0529","-8.9","6,0411","4765.8","","4765.8","6","194.9",",6","","","5.70","6","15.10","6","-3.70","6","47750","6"
"USC00051816","1947","37.13333","-106.03333","2410.1","CONEJOS 3 NNW, CO US","21.9","","21.9","6","64","6","36","6","","","25","6","204","6","30","6","132","6","0","6","-25.6","6,0116,","","","25.4",",6,0419,","31.1","6,0802,","-1.7","6,0912","-3.3","6,0914","-5.0","6,1024","-8.9","6,1025","-8.9","6,1025","0.0","6,0622","-5.0","6,0429","-5.0","6,0429","-7.8","6,0417","-9.4","6,0416","4448.8","","4448.8","6","245.5",",6","","","5.67","6","14.62","6","-3.29","6","46808","6"
"USC00051816","1948","37.13333","-106.03333","2410.1","CONEJOS 3 NNW, CO US","11.6","","11.6","0","","","","","","","41","0","206","0","54","0","125","0","0","0","-40.0","0,0128,","","","","","31.1","0,0815,","0.0","0,0929","-4.4","0,1006","-4.4","0,1006","-7.8","0,1007","-10.0","0,1017","-3.9","6,0513","-3.9","6,0513","-5.0","6,0510","-7.2","6,0414","-10.0","6,0401","5081.1","","5081.1","0","","","","","4.59","0","13.56","0","-4.38","0","",""
"USC00051816","1949","37.13333","-106.03333","2410.1","CONEJOS 3 NNW, CO US","2.3","","2.3","0","76","0","26","0","13","0","37","0","207","0","44","0","124","0","0","0","-34.4","0,0130,","102",",0,0129,+","17.8",",0,0712,","28.9","0,0830,+","0.0","0,0919","-2.2","0,1002","-6.1","0,1010","-8.9","0,1011","-8.9","0,1011","-1.1","0,0602","-2.2","0,0508","-5.6","0,0501","-8.9","0,0421","-8.9","0,0421","4729.3","","4729.3","0","224.6",",0","807",",0","5.14","0","14.21","0","-3.94","0","",""
"USC00051816","1950","37.13333","-106.03333","2410.1","CONEJOS 3 NNW, CO US","2.8","","2.8","0","45","0","17","0","4","0","15","0","222","0","14","0","139","0","0","0","-29.4","0,0106,","76",",0,0312,+","17.8",",0,0806,","30.0","0,0627,","0.0","0,0917","-2.2","0,0924","-5.0","0,1002","-12.2","0,1103","-12.2","0,1103","0.0","0,0610","-2.8","0,0609","-6.1","0,0526","-6.7","0,0510","-8.9","0,0506","4382.2","","4382.2","0","144.8",",0","326",",0","6.58","0","16.41","0","-3.25","0","",""
"USC00051816","1951","37.13333","-106.03333","2410.1","CONEJOS 3 NNW, CO US","","","","","44","0","20","0","18","0","","","","","30","0","134","0","3","0","","","102",",0,1205,","16.0",",0,1230,","32.8","0,0709,+","","","","","","","","","","","","","","","","","","","","","","","","","165.5",",0","1022",",0","","","15.12","0","","","66452","0"
"USC00051816","1952","37.13333","-106.03333","2410.1","CONEJOS 3 NNW, CO US","7.9","","7.9","0","73","0","31","0","24","0","59","0","216","0","66","0","139","0","0","0","-27.8","0,1228,+","114",",0,0118,+","20.3",",0,0729,","30.0","0,0825,+","0.0","0,0913","-3.9","0,1006","-8.3","0,1007","-8.3","0,1007","-10.0","0,1015","-0.6","0,0523","-2.2","0,0511","-4.4","0,0418","-6.7","0,0416","-9.4","0,0327","4849.7","","4849.7","0","282.1",",0","1575",",0","4.70","0","13.75","0","-4.36","0","57304","0"
"USC00051816","1953","37.13333","-106.03333","2410.1","CONEJOS 3 NNW, CO US","39.3","","39.3","0","41","0","23","0","6","0","31","0","225","0","28","0","142","0","4","0","-27.2","0,0304,","102",",0,1119,","17.3",",0,0706,","35.6","0,0808,","-0.6","0,0904","-2.2","0,0929","-4.4","0,1004","-7.8","0,1025","-10.6","0,1108","0.0","0,0604","-2.2","0,0519","-4.4","0,0514","-8.9","0,0512","-8.9","0,0512","4653.8","","4653.8","0","162.6",",0","339",",0","6.06","0","15.58","0","-3.47","0","51046","0"
"USC00051816","1954","37.13333","-106.03333","2410.1","CONEJOS 3 NNW, CO US","","","","","52","0","25","0","","","","","","","","","","","","","","","","","27.9",",0,0806,","","","","","","","","","","","","","","","","","","","","","","","","","","","207.5",",0","","","","","","","","","",""
