"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00053854","2008","33.46167","-80.85806","60.0","ORANGEBURG MUNICIPAL AIRPORT, SC US","2.8","W","1182.0","","1182.0","W","150","W","71","W","0","W","39","W","0","W","248","W","78","W","-7.7","W,0104,","73.9",",W,1024,","37.2","W,0721,","-0.5","W,1029","-3.2","W,1119","-4.9","W,1122","","","-0.5","W,0325","-2.7","W,0309","-5.5","W,0121","-7.7","W,0104","","","1124.7","","1124.7","W","1061.2",",W","18.13","W","24.50","W","11.76","W","290","W","270","W","15.7","W","20.1","W"
"USW00053854","2009","33.46167","-80.85806","60.0","ORANGEBURG MUNICIPAL AIRPORT, SC US","2.4","W","1176.0","","1176.0","W","142","W","68","W","0","W","37","W","0","W","240","W","77","W","-8.2","W,0205,+","51.3",",W,0517,","37.8","W,0627,","0.0","W,1128","-2.7","W,1230","","","","","0.0","W,0408","-2.7","W,0305","-4.9","W,0304","-8.2","W,0205","","","1299.6","","1299.6","W","1168.3",",W","17.91","W","23.88","W","11.94","W","250","W","260","W","16.5","W","21.5","W"
"USW00053854","2010","33.46167","-80.85806","60.0","ORANGEBURG MUNICIPAL AIRPORT, SC US","2.2","W","1370.5","","1370.5","W","114","W","59","W","0","W","68","W","0","W","246","W","106","W","-8.2","W,1215,+","61.2",",W,0117,","38.3","W,0708,","-0.5","W,1107","-2.7","W,1202","-4.9","W,1206","-7.1","W,1207","-1.0","W,0308","-2.7","W,0307","-4.9","W,0114","-8.2","W,0111","","","1474.5","","1474.5","W","975.3",",W","17.70","W","24.16","W","11.23","W","270","W","330","W","14.3","W","31.7","W"
"USW00053854","2011","33.46167","-80.85806","60.0","ORANGEBURG MUNICIPAL AIRPORT, SC US","2.3","W","1355.6","","1355.6","W","112","W","66","W","0","W","39","W","1","W","262","W","106","W","-7.7","W,0114,","90.4",",W,0726,","38.9","W,0803,+","-1.6","W,1112","","","","","","","-1.0","W,0312","-3.2","W,0212","-6.6","W,0123","-7.7","W,0114","","","1411.6","","1411.6","W","937.7",",W","18.64","W","25.33","W","11.96","W","230","W","30","W","19.7","W","26.8","W"
"USW00053854","2012","33.46167","-80.85806","60.0","ORANGEBURG MUNICIPAL AIRPORT, SC US","2.2","W","1260.4","","1260.4","W","118","W","69","W","0","W","25","W","0","W","262","W","59","W","-7.1","W,0104,","83.3",",W,0529,","39.4","W,0630,","0.0","W,1101","-2.7","W,1223","","","","","-0.5","W,0221","-6.6","W,0213","-6.6","W,0213","-7.1","W,0104","","","997.0","","997.0","W","1085.2",",W","18.95","W","25.14","W","12.75","W","20","W","260","W","15.7","W","21.9","W"
"USW00053854","2013","33.46167","-80.85806","60.0","ORANGEBURG MUNICIPAL AIRPORT, SC US","2.3","W","1118.6","","1118.6","W","115","W","77","W","0","W","28","W","0","W","245","W","40","W","-3.8","W,1114,+","90.4",",W,0819,","35.6","W,0613,","-2.1","W,1113","-3.8","W,1114","","","","","0.0","W,0329","-3.8","W,0218","","","","","","","1235.0","","1235.0","W","1394.1",",W","18.01","W","23.72","W","12.29","W","260","W","250","W","16.5","W","22.8","W"
"USW00053854","2014","33.46167","-80.85806","60.0","ORANGEBURG MUNICIPAL AIRPORT, SC US","2.6","W","1218.6","","1218.6","W","118","W","76","W","0","W","39","W","3","W","239","W","73","W","-9.9","W,0125,+","106.4",",W,0721,","37.2","W,0822,","0.0","W,1103","-3.8","W,1118","-5.5","W,1119","","","-1.0","W,0327","-5.5","W,0131","-5.5","W,0131","-7.1","W,0130","-9.9","W,0125","1320.7","","1320.7","W","1200.8",",W","17.82","W","23.86","W","11.78","W","290","W","290","W","14.3","W","19.7","W"
"USW00053854","2015","33.46167","-80.85806","60.0","ORANGEBURG MUNICIPAL AIRPORT, SC US","2.6","W","1357.3","","1357.3","W","127","W","81","W","0","W","29","W","1","W","267","W","82","W","-8.8","W,0220,","165.4",",W,1003,","38.9","W,0617,","0.0","W,1124","","","","","","","-1.6","W,0307","-8.8","W,0220","-8.8","W,0220","-8.8","W,0220","","","1314.6","","1314.6","W","1410.6",",W","19.17","W","24.93","W","13.40","W","220","W","270","W","17.0","W","22.4","W"
"USW00053854","2016","33.46167","-80.85806","60.0","ORANGEBURG MUNICIPAL AIRPORT, SC US","2.6","W","1409.3","","1409.3","W","97","W","57","W","0","W","29","W","0","W","256","W","95","W","-4.3","W,0120,","148.3",",W,0902,","38.3","W,0708,","0.0","W,1121","-2.7","W,1211","","","","","-1.0","W,0227","-3.2","W,0214","","","","","","","923.3","","923.3","W","1146.1",",W","19.09","W","25.06","W","13.13","W","230","W","","","17.4","W","27.3","W"
"USW00053854","2017","33.46167","-80.85806","60.0","ORANGEBURG MUNICIPAL AIRPORT, SC US","2.6","W","1311.7","","1311.7","W","100","W","60","W","0","W","22","W","0","W","268","W","74","W","-4.9","W,0109,+","95.5",",W,0911,","36.1","W,0823,+","-0.5","W,1120","-3.2","W,1230","","","","","-2.7","W,0317","-2.7","W,0317","-4.9","W,0109","","","","","927.0","","927.0","W","1011.4",",W","19.21","W","25.27","W","13.16","W","300","W","300","W","17.0","W","27.7","W"
