"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00014804","1897","42.6083","-82.8183","176.8","MOUNT CLEMENS SELFRIDGE FIELD, MI US","","","","","","","","","","","","","7","6","145","6","49","6","138","6","16","6","-26.1","6,0125,","","","","","","","38.3","6,0704,","-1.7","6,0921","-2.2","6,1107","-5.0","6,1117","-6.7","6,1118","-8.9","6,1123","-1.7","6,0526","-2.2","6,0427","-8.3","6,0420","-8.3","6,0420","-12.2","6,0316","","","","","","","","","8.50","6","14.52","6","2.49","6","","","",""
"USW00014804","1898","42.6083","-82.8183","176.8","MOUNT CLEMENS SELFRIDGE FIELD, MI US","378.5","","378.5","6","65","6","58","6","","","","","4","6","148","6","47","6","147","6","28","6","-22.2","6,0203,","","","","","68.6",",6,0906,","37.8","6,0822,","-0.6","6,1016","-2.2","6,1027","-6.7","6,1112","-6.7","6,1112","-11.1","6,1123","-1.7","6,0506","-2.2","6,0427","-5.6","6,0406","-8.9","6,0405","-8.9","6,0405","3550.1","","3550.1","6","851.2",",6","","","8.92","6","15.03","6","2.81","6","","","",""
"USW00014804","1899","42.6083","-82.8183","176.8","MOUNT CLEMENS SELFRIDGE FIELD, MI US","390.3","","390.3","6","57","6","45","6","","","","","17","6","145","6","55","6","149","6","29","6","-26.7","6,0211,","","","","","76.2",",6,0618,","36.7","6,0820,","-1.1","6,0927","-2.2","6,0930","-4.4","6,1001","-9.4","6,1205","-9.4","6,1205","-1.1","6,0416","-3.9","6,0410","-5.6","6,0405","-6.7","6,0403","-10.6","6,0329","3907.9","","3907.9","6","673.5",",6","","","8.67","6","14.68","6","2.66","6","","","",""
"USW00014804","1900","42.6083","-82.8183","176.8","MOUNT CLEMENS SELFRIDGE FIELD, MI US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3854.8","","3854.8","6","","","","","","","","","","","","","",""
"USW00014804","1906","42.6083","-82.8183","176.8","MOUNT CLEMENS SELFRIDGE FIELD, MI US","372.3","","372.3","6","113","6","71","6","26","","7","6","5","6","158","6","44","6","143","6","18","6","-22.2","6,0202,","51",",6,1227,+","76",",6,0319,","52.3",",6,0729,","35.6","6,0721,","-1.1","6,1010","-3.9","6,1011","-5.6","6,1102","-8.3","6,1114","-10.6","6,1203","0.0","6,0529","-2.2","6,0508","-5.6","6,0401","-13.9","6,0325","-13.9","6,0325","","","","","723.8",",6","387",",6","8.82","6","14.74","6","2.90","6","","","",""
"USW00014804","1907","42.6083","-82.8183","176.8","MOUNT CLEMENS SELFRIDGE FIELD, MI US","","","","","106","6","72","6","48","","14","6","12","6","185","6","","","","","","","-25.0","6,0222,","178",",6,1225,","102",",6,1111,+","38.1",",6,0711,","","","-0.6","6,1009","-2.8","6,1014","-5.6","6,1020","-6.7","6,1023","-9.4","6,1114","-0.6","6,0528","-2.8","6,0511","-5.0","6,0427","-6.7","6,0415","-10.0","6,0402","4054.0","","4054.0","6","723.1",",6","734",",6","","","","","1.41","6","","","",""
"USW00014804","1908","42.6083","-82.8183","176.8","MOUNT CLEMENS SELFRIDGE FIELD, MI US","314.6","","314.6","6","83","6","65","6","59","","8","6","8","6","166","6","42","6","141","6","16","6","-27.2","6,0209,","203",",6,0211,+","152",",6,0201,","49.5",",6,0812,","36.7","6,0803,","0.0","6,1002","-2.8","6,1012","-4.4","6,1104","-6.7","6,1111","-9.4","6,1114","-1.1","6,0506","-2.8","6,0503","-8.3","6,0404","-8.3","6,0404","-9.4","6,0325","","","","","686.8",",6","550",",6","8.52","6","14.77","6","2.27","6","","","",""
"USW00014804","1909","42.6083","-82.8183","176.8","MOUNT CLEMENS SELFRIDGE FIELD, MI US","","","","","96","6","68","6","42","","12","6","","","","","39","6","129","6","9","6","","","305",",6,0217,+","254",",6,0216,","94.0",",6,0729,","35.0","6,0825,","","","","","","","","","","","","","","","","","","","","","3764.2","","3764.2","6","766.3",",6","1057",",6","","","13.97","6","","","","","",""
"USW00014804","1910","42.6083","-82.8183","176.8","MOUNT CLEMENS SELFRIDGE FIELD, MI US","","","","","96","6","69","6","79","","12","6","","","","","","","","","","","","","254",",6,1208,","127",",6,1210,","26.7",",6,0502,","","","","","","","","","","","","","","","","","","","","","","","","","","","609.6",",6","932",",6","","","","","","","","","",""
"USW00014804","1911","42.6083","-82.8183","176.8","MOUNT CLEMENS SELFRIDGE FIELD, MI US","","","","","94","6","67","6","31","","8","6","","","","","","","","","","","","","178",",6,0106,","203",",6,0204,","57.2",",6,1211,","","","","","","","","","","","","","","","","","","","","","","","","","","","949.4",",6","612",",6","","","","","","","","","",""
