"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013988","1934","39.1208","-94.5969","226.2","KANSAS CITY DOWNTOWN AIRPORT, MO US","","","1252.2","","1252.2","X","96","X","57","X","16","","7","X","2","X","102","X","21","X","192","X","80","X","-25.0","X,0227,","127",",X,0225,","102",",X,1130,","48.3",",X,1121,","43.9","X,0810,","0.0","X,1028","-2.2","X,1101","-5.6","X,1123","-8.3","X,1206","-13.9","X,1207","-1.7","X,0331","-3.3","X,0328","-4.4","X,0327","-10.0","X,0318","-10.0","X,0318","","","","","690.3",",X","","","422",",X","14.73","X","20.80","X","8.65","X","","","","","","","","","","","","","","","","","",""
"USW00013988","1935","39.1208","-94.5969","226.2","KANSAS CITY DOWNTOWN AIRPORT, MO US","","","926.5","","926.5","X","115","X","63","X","1","","2","X","2","X","98","X","20","X","161","X","63","X","-21.1","X,0121,","25",",X,1115,","28",",X,1115,","46.5",",X,0901,","40.0","X,0811,+","-0.6","X,1006","-2.2","X,1101","-6.7","X,1202","-6.7","X,1202","-12.8","X,1220","0.0","X,0416","-3.9","X,0317","-8.9","X,0307","-8.9","X,0307","-8.9","X,0307","2561.8","","2561.8","X","860.4",",X","","","88",",X","13.30","X","18.42","X","8.17","X","","","","","","","","","","","","","","","","","",""
"USW00013988","1936","39.1208","-94.5969","226.2","KANSAS CITY DOWNTOWN AIRPORT, MO US","","","1324.7","","1324.7","X","84","X","40","X","25","","5","X","20","X","116","X","35","X","185","X","90","X","-22.2","X,0127,","76",",X,0218,+","74",",X,0208,","43.2",",X,0901,","45.0","X,0814,","0.0","X,1022","-3.3","X,1102","-6.7","X,1103","-6.7","X,1103","-13.3","X,1206","-4.4","X,0407","-4.4","X,0407","-4.4","X,0407","-8.9","X,0403","-8.9","X,0403","3128.5","","3128.5","X","547.0",",X","","","434",",X","13.73","X","19.78","X","7.68","X","","","","","","","","","","","","","","","","","",""
"USW00013988","1937","39.1208","-94.5969","226.2","KANSAS CITY DOWNTOWN AIRPORT, MO US","","","1036.7","","1036.7","X","92","X","47","X","45","","9","X","0","X","121","X","40","X","179","X","68","X","-17.2","X,0109,+","127",",X,0115,+","56",",X,1118,","44.2",",X,0107,","40.0","X,0803,","-1.7","X,1014","-4.4","X,1023","-4.4","X,1023","-7.8","X,1117","-8.9","X,1119","-0.6","X,0410","-2.2","X,0328","-5.6","X,0327","-8.3","X,0228","-10.6","X,0225","2931.8","","2931.8","X","631.2",",X","","","395",",X","12.60","X","17.91","X","7.28","X","","","","","","","","","","","","","","","","","",""
"USW00013988","1938","39.1208","-94.5969","226.2","KANSAS CITY DOWNTOWN AIRPORT, MO US","","","1100.3","","1100.3","X","96","X","53","X","9","","4","X","0","X","95","X","17","X","194","X","67","X","-16.7","X,0131,","203",",X,0408,","178",",X,0408,","64.8",",X,0821,","39.4","X,0810,","0.0","X,1106","-2.8","X,1107","-4.4","X,1108","-7.2","X,1122","-10.6","X,1124","-1.1","X,0409","-2.2","X,0408","-6.1","X,0225","-7.8","X,0220","-10.0","X,0219","2625.3","","2625.3","X","939.9",",X","","","362",",X","14.78","X","20.59","X","8.97","X","","","","","","","","","","","","","","","","","",""
"USW00013988","1939","39.1208","-94.5969","226.2","KANSAS CITY DOWNTOWN AIRPORT, MO US","","","1121.0","","1121.0","X","95","X","54","X","15","","5","X","2","X","90","X","15","X","189","X","68","X","-18.3","X,0210,","127",",X,0123,","117",",X,0123,","118.4",",X,0415,","41.7","X,0903,","-1.1","X,1030","-2.2","X,1031","-5.6","X,1103","-6.7","X,1221","-13.9","X,1229","-2.8","X,0412","-2.8","X,0412","-5.6","X,0317","-7.2","X,0315","-11.1","X,0301","2482.9","","2482.9","X","882.1",",X","","","419",",X","14.52","X","20.40","X","8.63","X","","","","","","","","","","","","","","","","","",""
"USW00013988","1940","39.1208","-94.5969","226.2","KANSAS CITY DOWNTOWN AIRPORT, MO US","","","871.6","","871.6","X","96","X","58","X","38","","7","X","12","X","110","X","42","X","182","X","42","X","-24.4","X,0118,","203",",X,0109,","102",",X,0106,","49.0",",X,0417,","38.9","X,0729,+","-0.6","X,1106","-7.8","X,1111","-7.8","X,1111","-7.8","X,1111","-10.6","X,1112","-5.0","X,0412","-5.0","X,0412","-5.0","X,0412","-6.7","X,0324","-12.2","X,0225","2987.6","","2987.6","X","827.3",",X","","","562",",X","12.41","X","17.71","X","7.11","X","","","","","","","","","","","","","","","","","",""
"USW00013988","1941","39.1208","-94.5969","226.2","KANSAS CITY DOWNTOWN AIRPORT, MO US","","","974.3","","974.3","X","113","X","69","X","16","","9","X","0","X","96","X","19","X","186","X","53","X","-15.0","X,0118,","127",",X,0126,+","114",",X,0125,","76.5",",X,1006,","39.4","X,0723,","-1.7","X,1028","-2.8","X,1108","-5.0","X,1123","-8.3","X,1210","","","-2.8","X,0329","-2.8","X,0329","-4.4","X,0325","-8.9","X,0317","-8.9","X,0317","2598.7","","2598.7","X","1184.8",",X","","","606",",X","14.05","X","19.05","X","9.05","X","","","","","","","","","","","","","","","","","",""
"USW00013988","1942","39.1208","-94.5969","226.2","KANSAS CITY DOWNTOWN AIRPORT, MO US","","","879.2","","879.2","X","112","X","66","X","9","","4","X","3","X","98","X","23","X","176","X","44","X","-21.1","X,0104,","203",",X,1205,","216",",X,1205,","61.2",",X,0406,","37.8","X,0731,","-0.6","X,1025","-2.8","X,1026","-7.8","X,1129","-7.8","X,1129","-10.0","X,1201","-1.7","X,0331","-2.2","X,0329","-8.3","X,0228","-8.3","X,0228","-8.9","X,0225","2495.0","","2495.0","X","1042.3",",X","","","403",",X","13.24","X","18.20","X","8.29","X","","","","","","","","","","","","","","","","","",""
"USW00013988","1943","39.1208","-94.5969","226.2","KANSAS CITY DOWNTOWN AIRPORT, MO US","","","879.8","","879.8","X","100","X","58","X","15","","11","X","5","X","116","X","26","X","174","X","50","X","-25.0","X,0119,","102",",X,1229,+","104",",X,1228,","47.8",",X,0608,","39.4","X,0723,","0.0","X,1015","-2.2","X,1107","-4.4","X,1108","-6.7","X,1116","-8.9","X,1213","0.0","X,0415","-3.9","X,0322","-6.7","X,0320","-6.7","X,0320","-10.0","X,0308","2811.4","","2811.4","X","696.0",",X","","","520",",X","12.78","X","18.24","X","7.31","X","","","","","","","","","","","","","","","","","",""
