"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00003889","1981","37.59139","-83.31444","416.1","JACKSON JULIAN CARROLL AIRPORT, KY US","","","575.3","","575.3","0","135","0","85","0","23","","7","0","2","0","88","0","19","0","177","0","4","0","-20.0","0,0212,","76",",0,1217,+","74",",0,1217,","66.5",",0,0606,","32.8","0,0805,+","-0.6","0,1023","-3.3","0,1024","-5.0","0,1206","-6.7","0,1216","-8.9","0,1218","0.0","0,0323","-2.2","0,0321","-6.1","0,0320","-12.2","0,0213","-12.2","0,0213","","","","","1009.1",",0","447",",0","12.80","0","17.99","0","7.61","0","","","","","","","","","","","","","","","","","",""
"USW00003889","1982","37.59139","-83.31444","416.1","JACKSON JULIAN CARROLL AIRPORT, KY US","","","628.8","","628.8","0","148","0","105","0","18","","10","0","4","0","80","0","12","0","187","0","8","0","-26.1","0,0117,","127",",0,0213,+","127",",0,0307,","62.5",",0,0805,","33.9","0,0726,","0.0","0,1024","-3.3","0,1105","-4.4","0,1106","-6.7","0,1212","-10.6","0,1213","-0.6","0,0410","-6.7","0,0407","-6.7","0,0407","-6.7","0,0407","-11.7","0,0210","2468.5","","2468.5","0","1252.0",",0","595",",0","13.74","0","18.94","0","8.54","0","","","200","X","","","","","","","13.4","X","","","","","",""
"USW00003889","1983","37.59139","-83.31444","416.1","JACKSON JULIAN CARROLL AIRPORT, KY US","","","641.5","","641.5","0","148","0","90","0","13","","6","0","4","0","82","0","17","0","169","0","22","0","-24.4","0,1225,","51",",0,0206,","58",",0,0211,","43.2",",0,0811,","35.6","0,0821,","-2.2","0,1112","-2.2","0,1112","-4.4","0,1207","-8.9","0,1219","-8.9","0,1219","-2.8","0,0420","-2.8","0,0420","-4.4","0,0419","-7.2","0,0226","-10.0","0,0120","2374.5","","2374.5","0","976.4",",0","387",",0","12.84","0","17.83","0","7.85","0","","","180","X","","","","","180","X","17.9","X","","","","","25.2","X"
"USW00003889","1984","37.59139","-83.31444","416.1","JACKSON JULIAN CARROLL AIRPORT, KY US","3.4","X","602.2","","602.2","0","139","0","91","0","16","","6","0","1","0","77","0","17","0","172","0","7","0","-22.2","0,0121,","152",",0,0119,","104",",0,0118,","61.5",",0,0506,","32.8","0,0612,","-1.1","0,1103","-3.3","0,1113","-5.0","0,1120","-6.7","0,1121","-13.9","0,1206","-0.6","0,0331","-7.2","0,0312","-7.2","0,0312","-7.2","0,0312","-12.2","0,0309","2687.1","","2687.1","0","1225.8",",0","380",",0","13.36","0","18.42","0","8.30","0","","","280","X","","","","","270","X","13.0","X","","","","","21.6","X"
"USW00003889","1985","37.59139","-83.31444","416.1","JACKSON JULIAN CARROLL AIRPORT, KY US","3.4","X","558.8","","558.8","0","142","0","89","0","45","","8","0","2","0","87","0","33","0","188","0","2","0","-27.8","0,0121,+","356",",0,0215,+","305",",0,0212,","70.4",",0,0730,","34.4","0,0715,","0.0","0,1108","-7.8","0,1202","-7.8","0,1202","-7.8","0,1202","-11.1","0,1203","-3.3","0,0410","-3.3","0,0410","-4.4","0,0409","-12.2","0,0216","-12.2","0,0216","2405.2","","2405.2","0","1251.4",",0","959",",0","12.96","0","17.87","0","8.06","0","","","330","X","","","","","180","X","14.3","X","","","","","26.7","X"
"USW00003889","1986","37.59139","-83.31444","416.1","JACKSON JULIAN CARROLL AIRPORT, KY US","3.1","X","775.5","","775.5","0","141","0","86","0","14","","6","0","1","0","79","0","10","0","189","0","28","0","-18.9","0,0128,","229",",0,0215,","112",",0,0214,","87.6",",0,1108,","35.6","0,0726,+","-8.9","0,1113","-8.9","0,1113","-8.9","0,1113","-8.9","0,1113","-8.9","0,1113","-3.9","0,0423","-3.9","0,0423","-6.1","0,0322","-8.9","0,0321","-8.9","0,0321","2230.7","","2230.7","0","956.4",",0","538",",0","14.15","0","19.55","0","8.75","0","","","220","X","","","","","","","12.5","X","","","","","",""
"USW00003889","1987","37.59139","-83.31444","416.1","JACKSON JULIAN CARROLL AIRPORT, KY US","3.3","X","699.2","","699.2","0","136","0","87","0","19","","9","0","0","0","86","0","12","0","187","0","15","0","-15.6","0,0127,","279",",0,0405,","208",",0,0403,","49.0",",0,1225,","34.4","0,0822,","-0.6","0,1004","-3.3","0,1022","-4.4","0,1112","-6.7","0,1121","","","-1.1","0,0405","-3.3","0,0404","-4.4","0,0401","-6.7","0,0210","-10.0","0,0209","2370.4","","2370.4","0","986.3",",0","1009",",0","13.82","0","19.26","0","8.38","0","","","250","X","","","","","270","X","13.0","X","","","","","21.6","X"
"USW00003889","1988","37.59139","-83.31444","416.1","JACKSON JULIAN CARROLL AIRPORT, KY US","3.3","X","717.0","","717.0","0","117","0","69","0","9","","5","0","0","0","86","0","18","0","172","0","39","0","-17.2","0,0106,","76",",0,0110,+","56",",0,0107,","46.5",",0,0923,","38.3","0,0818,+","-1.1","0,1013","-2.2","0,1014","-6.7","0,1202","-6.7","0,1202","-8.9","0,1211","-1.7","0,0322","-2.8","0,0319","-5.6","0,0317","-7.8","0,0316","-10.0","0,0221","2425.1","","2425.1","0","1144.9",",0","308",",0","13.42","0","19.38","0","7.45","0","","","270","X","","","","","180","X","14.3","X","","","","","26.7","X"
"USW00003889","1989","37.59139","-83.31444","416.1","JACKSON JULIAN CARROLL AIRPORT, KY US","3.0","X","586.9","","586.9","0","162","0","110","0","21","","9","0","5","0","92","0","23","0","176","0","4","0","-25.0","0,1222,","76",",0,1228,+","79",",0,0222,","69.1",",0,0305,","33.3","0,0726,+","-0.6","0,1009","-3.3","0,1104","-5.6","0,1117","-6.7","0,1124","-16.1","0,1215","0.0","0,0507","-2.8","0,0411","-4.4","0,0322","-9.4","0,0225","-9.4","0,0225","2363.6","","2363.6","0","1608.2",",0","499",",0","12.92","0","18.27","0","7.57","0","","","210","X","","","","","225","X","10.3","X","","","","","22.6","X"
"USW00003889","1990","37.59139","-83.31444","416.1","JACKSON JULIAN CARROLL AIRPORT, KY US","3.4","X","633.7","","633.7","0","141","0","82","0","2","","3","0","0","0","57","0","4","0","194","0","16","0","-11.7","0,1225,+","25",",0,0320,+","48",",0,0108,","79.5",",0,1218,","36.1","0,0709,","-0.6","0,1026","-2.2","0,1108","-6.7","0,1205","-6.7","0,1205","-11.7","0,1224","-0.6","0,0418","-3.9","0,0407","-4.4","0,0321","-11.7","0,0226","-11.7","0,0226","2285.3","","2285.3","0","1395.1",",0","166",",0","14.78","0","20.31","0","9.24","0","","","100","X","","","","","","","11.2","X","","","","","",""
