"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00417468","1928","31.3","-96.7","131.1","REAGAN, TX US","55","0","44","0","0","","0","0","0","T,0,0414,+","0","T,0,0414,+","67.3",",0,1216,","697.4",",0","0","T,0"
"USC00417468","1930","31.3","-96.7","131.1","REAGAN, TX US","58","0","50","0","1","","1","0","51",",0,0117,","51",",0,0117,","130.8",",0,0510,","969.5",",0","64",",0"
"USC00417468","1931","31.3","-96.7","131.1","REAGAN, TX US","73","0","48","0","0","","0","0","0",",0,1231,+","0","T,0,0302,","56.4",",0,0208,","919.6",",0","0","T,0"
