"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA006057590","1958","46.5333","-84.3333","212.0","SAULT STE MARIE 2, ON CA","48.8","","48.8","C","158","C","91","C","","","36","C","35","C","173","C","79","C","60","C","0","C","-29.4","C,0212,","","","203",",C,1216,+","41.9",",C,0704,","31.1","C,0811,","-3.3","C,1005","-3.3","C,1005","-6.1","C,1124","-8.3","C,1125","-10.6","C,1127","0.0","C,0606","-2.8","C,0510","-6.1","C,0502","-8.3","C,0409","-13.9","C,0309","","","","","793.0",",C","2609",",C","4.37","C","9.13","C","-0.38","C"
"CA006057590","1959","46.5333","-84.3333","212.0","SAULT STE MARIE 2, ON CA","","","","","177","C","93","C","","","33","C","","","","","","","","","","","","","","","203",",C,0315,","56.9",",C,0920,","","","","","","","","","","","","","","","","","","","","","","","5327.3","","5327.3","","1106.8",",C","2412",",C","","","","","",""
"CA006057590","1960","46.5333","-84.3333","212.0","SAULT STE MARIE 2, ON CA","58.2","","58.2","C","178","C","96","C","","","29","C","22","C","170","C","106","C","81","C","0","C","-26.1","C,1223,","","","152",",C,0107,","43.7",",C,0506,","31.1","C,0907,","0.0","C,0930","-5.0","C,1024","-5.0","C,1024","-6.7","C,1025","-10.0","C,1201","0.0","C,0513","-3.9","C,0428","-8.9","C,0419","-8.9","C,0419","-8.9","C,0419","","","","","1039.0",",C","2413",",C","4.56","C","9.29","C","-0.17","C"
"CA006057590","1961","46.5333","-84.3333","212.0","SAULT STE MARIE 2, ON CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5075.7","","5075.7","C","","","","","","","","","",""
"CA006057590","1965","46.5333","-84.3333","212.0","SAULT STE MARIE 2, ON CA","","","","","","","","","","","53","C","","","","","","","","","","","","","","","152",",C,0212,+","","","","","","","","","","","","","","","","","","","","","","","","","5229.2","","5229.2","","","","3546",",C","","","","","",""
"CA006057590","1966","46.5333","-84.3333","212.0","SAULT STE MARIE 2, ON CA","","","","","191","C","95","C","","","28","C","","","","","","","","","","","","","","","191",",C,1104,","33.5",",C,1122,","","","","","","","","","","","","","","","","","","","","","","","","","","","951.3",",C","2470",",C","","","","","",""
"CA006057590","1967","46.5333","-84.3333","212.0","SAULT STE MARIE 2, ON CA","","","","","167","C","98","C","","","40","C","","","","","","","","","","","","","","","193",",C,1106,","50.3",",C,0807,","","","","","","","","","","","","","","","","","","","","","","","5012.5","","5012.5","C","901.4",",C","2843",",C","","","","","",""
"CA006057590","1969","46.5333","-84.3333","212.0","SAULT STE MARIE 2, ON CA","","","","","","","","","","","26","C","","","","","","","","","","","","","","","145",",C,0117,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2112",",C","","","","","",""
"CA006057590","1971","46.5333","-84.3333","212.0","SAULT STE MARIE 2, ON CA","","","","","","","","","","","37","C","","","","","","","","","","","","","","","254",",C,1227,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3291",",C","","","","","",""
"CA006057590","1972","46.5333","-84.3333","212.0","SAULT STE MARIE 2, ON CA","","","","","","","","","","","57","C","","","","","","","","","","","","","","","356",",C,0125,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4922",",C","","","","","",""
