"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00117377","1958","42.3","-88.98333","267.9","ROCKFORD 6 ENE, IL US","71","0","47","0","","","","","47.8",",0,0703,","561.3",",0"
"USC00117377","1959","42.3","-88.98333","267.9","ROCKFORD 6 ENE, IL US","97","0","63","0","","","","","61.0",",0,0718,","995.0",",0"
"USC00117377","1960","42.3","-88.98333","267.9","ROCKFORD 6 ENE, IL US","","","","","","","","","","","902.5",",0"
"USC00117377","1961","42.3","-88.98333","267.9","ROCKFORD 6 ENE, IL US","","","","","","","","","","","835.4",",0"
"USC00117377","1963","42.3","-88.98333","267.9","ROCKFORD 6 ENE, IL US","78","0","49","0","","","","","56.4",",0,0430,","677.0",",0"
"USC00117377","1965","42.3","-88.98333","267.9","ROCKFORD 6 ENE, IL US","111","0","74","0","","","","","49.5",",0,0123,","998.4",",0"
"USC00117377","1966","42.3","-88.98333","267.9","ROCKFORD 6 ENE, IL US","82","0","50","0","","","","","30.5",",0,1109,","650.1",",0"
"USC00117377","1967","42.3","-88.98333","267.9","ROCKFORD 6 ENE, IL US","106","0","64","0","","","","","55.6",",0,0611,","757.3",",0"
"USC00117377","1968","42.3","-88.98333","267.9","ROCKFORD 6 ENE, IL US","99","0","51","0","","","","","85.6",",0,0817,","841.1",",0"
"USC00117377","1969","42.3","-88.98333","267.9","ROCKFORD 6 ENE, IL US","91","0","55","0","","","","","82.3",",0,0608,","858.3",",0"
"USC00117377","1971","42.3","-88.98333","267.9","ROCKFORD 6 ENE, IL US","86","0","51","0","","","","","49.3",",0,1215,","650.9",",0"
"USC00117377","1973","42.3","-88.98333","267.9","ROCKFORD 6 ENE, IL US","112","0","77","0","48","","229",",0,1220,+","88.6",",0,0421,","1087.8",",0"
"USC00117377","1975","42.3","-88.98333","267.9","ROCKFORD 6 ENE, IL US","","","","","68","","203",",0,0308,+","","","",""
"USC00117377","1976","42.3","-88.98333","267.9","ROCKFORD 6 ENE, IL US","71","0","44","0","83","","127",",0,0101,","67.1",",0,0305,","573.2",",0"
"USC00117377","1977","42.3","-88.98333","267.9","ROCKFORD 6 ENE, IL US","104","0","63","0","","","","","60.2",",0,0718,","818.9",",0"
"USC00117377","1978","42.3","-88.98333","267.9","ROCKFORD 6 ENE, IL US","90","0","59","0","","","","","122.4",",0,0702,","938.9",",0"
"USC00117377","1980","42.3","-88.98333","267.9","ROCKFORD 6 ENE, IL US","99","0","63","0","","","","","38.4",",0,0727,","784.2",",0"
"USC00117377","1983","42.3","-88.98333","267.9","ROCKFORD 6 ENE, IL US","115","0","73","0","","","","","56.6",",0,0522,","794.3",",0"
