"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00314679","1911","35.216667","-81.35","304.8","KINGS MOUNTAIN, NC US","","","","","","","","","0","6","56","6","","","","","","","-7.2","6,1229,+","","","","","-2.2","6,1103","-2.2","6,1103","-5.0","6,1113","-7.2","6,1206","-1.1","6,0401","-5.0","6,0317","-5.0","6,0317","-6.7","6,0222","","","","","","","","","","","9.94","6"
"USC00314679","1913","35.216667","-81.35","304.8","KINGS MOUNTAIN, NC US","901.5","","901.5","6","99","6","77","6","0","6","42","6","0","6","202","6","59","6","-6.7","6,0213,","61.0",",6,0314,","39.4","6,0719,","-0.6","6,1021","-2.2","6,1101","-6.1","6,1111","","","-1.1","6,0328","-2.2","6,0317","-5.0","6,0214","-6.7","6,0213","","","","","1149.4",",6","16.22","6","22.18","6","10.26","6"
"USC00314679","1914","35.216667","-81.35","304.8","KINGS MOUNTAIN, NC US","","","","","95","6","80","6","","","","","3","6","199","6","61","6","","","71.1",",6,1015,","38.3","6,0726,+","","","","","","","","","","","","","","","","","1782.7","","1782.7","6","1171.4",",6","","","21.62","6","",""
