"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00330600","1912","40.91667","-81.0","348.1","BELOIT, OH US","","","","","18","6","146","6","67","6","136","6","9","6","-31.1","6,0113,","","","35.6","6,0715,+","0.0","6,0928","-2.2","6,1016","-4.4","6,1104","-7.8","6,1128","-11.1","6,1209","-1.1","6,0608","-3.3","6,0428","-5.6","6,0408","-13.3","6,0325","-13.3","6,0325","","","7.65","6","13.24","6","2.05","6"
"USC00330600","1913","40.91667","-81.0","348.1","BELOIT, OH US","101","6","74","6","","","","","","","","","","","","","35.1",",6,0527,+","","","","","","","","","","","","","","","","","","","","","","","979.9",",6","","","","","",""
"USC00330600","1914","40.91667","-81.0","348.1","BELOIT, OH US","","","","","16","6","140","6","64","6","137","6","21","6","-27.8","6,0225,","","","35.6","6,0624,","0.0","6,0910","-2.2","6,0927","-5.6","6,1110","-8.9","6,1117","-8.9","6,1117","0.0","6,0516","-3.3","6,0502","-4.4","6,0413","-10.0","6,0409","-10.0","6,0409","","","8.10","6","13.85","6","2.35","6"
"USC00330600","1915","40.91667","-81.0","348.1","BELOIT, OH US","","","","","8","6","147","6","55","6","117","6","2","6","-25.6","6,0130,","","","33.3","6,0716,","0.0","6,0928","-4.4","6,1010","-4.4","6,1010","-6.7","6,1110","-8.9","6,1201","-2.2","6,0527","-2.2","6,0527","-5.6","6,0415","-7.8","6,0414","-8.9","6,0404","","","7.98","6","13.21","6","2.75","6"
"USC00330600","1917","40.91667","-81.0","348.1","BELOIT, OH US","","","","","17","6","164","6","62","6","113","6","7","6","-25.6","6,0212,","","","35.6","6,0731,","0.0","6,0925","-3.3","6,1009","-4.4","6,1011","-8.9","6,1105","-8.9","6,1105","0.0","6,0526","-3.3","6,0514","-6.7","6,0416","-6.7","6,0416","-8.9","6,0409","","","6.74","6","12.23","6","1.25","6"
