"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00296912","2001","35.33417","-106.44167","1734.3","PLACITAS 2 N, NM US","17","","6","0","102",",0,0116,","102",",0,0127,+","427",",0"
"USC00296912","2002","35.33417","-106.44167","1734.3","PLACITAS 2 N, NM US","","","4","0","","","140",",0,0130,","265",",0"
