"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00469036","1948","39.26667","-80.43333","328.9","UPPER DAVISSON RUN, WV US","161","0","100","0","","","","","65.8",",0,0412,","1393.8",",0"
"USC00469036","1951","39.26667","-80.43333","328.9","UPPER DAVISSON RUN, WV US","103","0","95","0","","","","","50.8",",0,0613,","1311.7",",0"
"USC00469036","1952","39.26667","-80.43333","328.9","UPPER DAVISSON RUN, WV US","70","0","63","0","2","","25",",0,1215,+","45.0",",0,0812,","881.4",",0"
