"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000TLIN","2003","26.535","-98.0858","4.6","LINN SAN MANUEL TEXAS, TX US","2300.9","","2300.9","U","0","U","8","U","0","U","322","U","151","U","-2.8","U,1218,","42.2","U,0808,","-1.1","U,1129","-2.2","U,1217","","","0.0","U,0117","","","","","","","","","","","23.33","U","29.64","U","17.03","U"
"USR0000TLIN","2005","26.535","-98.0858","4.6","LINN SAN MANUEL TEXAS, TX US","2432.2","","2432.2","U","0","U","0","U","0","U","328","U","194","U","0.6","U,1129,","41.7","U,0928,+","","","","","","","","","","","","","","","310.2","","310.2","U","24.13","U","31.11","U","17.14","U"
"USR0000TLIN","2006","26.535","-98.0858","4.6","LINN SAN MANUEL TEXAS, TX US","2488.6","","2488.6","U","0","U","7","U","0","U","339","U","197","U","-3.3","U,0212,","42.2","U,0510,","-2.8","U,1201","-2.8","U,1201","","","-0.6","U,0213","-3.3","U,0212","","","","","329.9","","329.9","U","24.19","U","30.99","U","17.40","U"
"USR0000TLIN","2007","26.535","-98.0858","4.6","LINN SAN MANUEL TEXAS, TX US","2262.9","","2262.9","U","0","U","7","U","0","U","323","U","172","U","-2.8","U,0305,","37.8","U,0808,+","-1.7","U,1216","-2.2","U,1217","","","0.0","U,0306","-2.8","U,0305","","","","","417.8","","417.8","U","23.36","U","29.91","U","16.82","U"
"USR0000TLIN","2008","26.535","-98.0858","4.6","LINN SAN MANUEL TEXAS, TX US","2281.4","","2281.4","U","0","U","9","U","0","U","339","U","165","U","-3.9","U,0103,","40.6","U,0410,+","0.0","U,1116","","","","","-1.7","U,0201","-3.9","U,0103","","","","","337.2","","337.2","U","23.58","U","30.42","U","16.74","U"
"USR0000TLIN","2009","26.535","-98.0858","4.6","LINN SAN MANUEL TEXAS, TX US","2452.0","","2452.0","U","0","U","9","U","0","U","330","U","190","U","-3.3","U,1205,+","41.7","U,0707,","-2.2","U,1204","-2.2","U,1204","","","-2.8","U,0302","-2.8","U,0302","","","","","334.0","","334.0","U","23.98","U","31.09","U","16.86","U"
"USR0000TLIN","2010","26.535","-98.0858","4.6","LINN SAN MANUEL TEXAS, TX US","2096.3","","2096.3","U","0","U","14","U","0","U","318","U","169","U","-6.7","U,0109,","40.0","U,0824,+","0.0","U,1106","-2.2","U,1127","","","0.0","U,0322","-5.0","U,0110","-5.0","U,0110","-6.7","U,0109","533.3","","533.3","U","22.67","U","29.64","U","15.69","U"
"USR0000TLIN","2011","26.535","-98.0858","4.6","LINN SAN MANUEL TEXAS, TX US","2511.1","","2511.1","U","0","U","18","U","1","U","330","U","204","U","-5.0","U,0211,","41.7","U,0903,","-2.8","U,1111","-2.8","U,1111","-4.4","U,1128","-1.1","U,0213","-5.0","U,0211","-5.0","U,0211","","","435.4","","435.4","U","23.95","U","31.37","U","16.53","U"
"USR0000TLIN","2012","26.535","-98.0858","4.6","LINN SAN MANUEL TEXAS, TX US","2633.2","","2633.2","U","0","U","4","U","0","U","342","U","204","U","-2.8","U,0103,","42.2","U,0626,","0.0","U,1221","","","","","-2.2","U,0113","-2.2","U,0113","","","","","335.5","","335.5","U","24.84","U","31.69","U","18.00","U"
"USR0000TLIN","2013","26.535","-98.0858","4.6","LINN SAN MANUEL TEXAS, TX US","2296.5","","2296.5","U","0","U","5","U","0","U","327","U","169","U","-2.2","U,1216,","41.7","U,0806,+","-0.6","U,1128","-2.2","U,1216","","","0.0","U,0117","","","","","","","277.3","","277.3","U","23.41","U","29.87","U","16.94","U"
