"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00093114","1946","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","","","280.9","","280.9","X","38","X","23","X","","","","","0","X","8","X","0","X","183","X","5","X","-1.7","X,0212,+","","","","","27.9",",X,1114,","33.3","X,1024,","","","","","-0.6","X,0214","1252.7","","1252.7","X","249.8",",X","","","15.63","X","21.37","X","9.89","X","","","",""
"USW00093114","1947","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1109.8","","1109.8","X","","","","","","","","","","","","","",""
"USW00093114","1969","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","952.0","","952.0","X","","","","","","","","","","","","","",""
"USW00093114","1970","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","","","476.2","","476.2","X","24","X","14","X","0","","0","X","0","X","0","X","0","X","215","X","14","X","1.1","X,0108,+","0",",X,1231,+","0",",X,1231,+","29.7",",X,0210,","38.3","X,0927,+","","","","","","","","","","","211.5",",X","0",",X","17.30","X","22.40","X","12.20","X","","","",""
"USW00093114","1971","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","","","460.8","","460.8","X","26","X","15","X","0","","0","X","0","X","1","X","0","X","173","X","12","X","-1.1","X,1029,","0",",X,1231,+","0",",X,1231,+","22.1",",X,0102,","38.9","X,0912,","-1.1","X,1029","","","","","1130.6","","1130.6","X","148.8",",X","0",",X","16.11","X","21.31","X","10.91","X","","","",""
"USW00093114","1972","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","","","438.5","","438.5","X","29","X","9","X","0","","0","X","0","X","1","X","0","X","216","X","14","X","-1.7","X,0105,","0",",X,1231,+","0",",X,1231,+","32.5",",X,1114,","36.1","X,0730,+","","","","","-1.7","X,0105","1089.0","","1089.0","X","132.2",",X","0",",X","16.86","X","22.37","X","11.37","X","","","",""
"USW00093114","1973","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","","","236.3","","236.3","X","47","X","24","X","0","","0","X","0","X","4","X","0","X","197","X","13","X","-1.1","X,0106,","0",",X,1231,+","0",",X,1231,+","27.7",",X,0116,","37.2","X,0927,","","","","","0.0","X,0127","1167.6","","1167.6","X","283.2",",X","0",",X","15.69","X","21.54","X","9.84","X","50","X","25.2","X"
"USW00093114","1974","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","","","387.5","","387.5","X","40","X","21","X","0","","0","X","0","X","1","X","0","X","219","X","6","X","0.0","X,0103,","0",",X,1231,+","0","T,X,0104,","43.2",",X,1204,","36.1","X,1016,","","","","","0.0","X,0103","1015.4","","1015.4","X","309.7",",X","0","T,X","16.79","X","22.27","X","11.31","X","50","X","26.7","X"
"USW00093114","1975","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","","","302.9","","302.9","X","37","X","22","X","0","","0","X","0","X","1","X","0","X","202","X","6","X","0.0","X,0128,","0",",X,1231,+","0",",X,1231,+","32.5",",X,0408,","38.3","X,0923,","","","","","0.0","X,0128","1063.3","","1063.3","X","210.0",",X","0",",X","16.13","X","21.60","X","10.66","X","60","X","24.7","X"
"USW00093114","1976","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","","","544.4","","544.4","X","37","X","17","X","0","","0","X","0","X","2","X","0","X","270","X","14","X","-0.6","X,0103,","0",",X,1231,+","0",",X,1231,+","41.1",",X,0910,","38.9","X,0627,","","","","","-0.6","X,0103","887.9","","887.9","X","222.9",",X","0",",X","17.82","X","23.76","X","11.89","X","70","X","28.3","X"
"USW00093114","1977","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","","","413.6","","413.6","X","37","X","23","X","0","","0","X","0","X","0","X","0","X","254","X","5","X","3.3","X,0306,+","0",",X,1231,+","0",",X,1231,+","50.0",",X,0508,","35.6","X,0907,","","","","","","","731.4","","731.4","X","293.8",",X","0",",X","17.49","X","23.37","X","11.60","X","310","X","19.0","X"
"USW00093114","1978","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","","","597.8","","597.8","X","62","X","46","X","0","","0","X","0","X","1","X","0","X","235","X","20","X","-2.2","X,1209,","0",",X,1231,+","0",",X,1231,+","43.7",",X,0905,","40.0","X,0924,","-2.2","X,1209","-2.2","X,1209","","","603.6","","603.6","X","655.1",",X","0",",X","17.90","X","23.55","X","12.26","X","170","X","22.6","X"
"USW00093114","1979","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","","","613.0","","613.0","X","42","X","26","X","0","","0","X","0","X","2","X","0","X","275","X","28","X","-0.6","X,0129,","0",",X,1231,+","0",",X,1231,+","38.9",",X,0327,","39.4","X,0612,","0.0","X,1215","","","-0.6","X,0129","864.7","","864.7","X","307.1",",X","0",",X","17.86","X","24.39","X","11.33","X","220","X","23.1","X"
"USW00093114","1980","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","","","532.4","","532.4","X","44","X","25","X","0","","0","X","0","X","0","X","0","X","277","X","18","X","1.1","X,1119,","0",",X,1231,+","0",",X,1231,+","65.0",",X,0128,","37.8","X,0730,+","","","","","","","606.7","","606.7","X","462.8",",X","0",",X","18.26","X","24.41","X","12.10","X","","","",""
"USW00093114","1981","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","","","765.4","","765.4","X","33","X","20","X","0","","0","X","0","X","0","X","0","X","294","X","28","X","1.7","X,1223,","0",",X,1231,+","0",",X,1231,+","28.4",",X,1128,","41.7","X,0616,","","","","","","","545.2","","545.2","X","223.6",",X","0",",X","18.86","X","25.30","X","12.43","X","","","",""
"USW00093114","1982","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","","","551.8","","551.8","X","52","X","20","X","0","","0","X","0","X","0","X","0","X","265","X","26","X","1.7","X,1226,+","0","T,X,0318,","0","T,X,1109,","78.7",",X,1109,","39.4","X,0902,","","","","","","","682.7","","682.7","X","377.0",",X","0","T,X","17.82","X","23.93","X","11.71","X","260","X","25.7","X"
"USW00093114","1983","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","","","826.6","","826.6","X","71","X","51","X","0","","0","X","0","X","1","X","0","X","274","X","38","X","0.0","X,0102,","0",",X,1231,+","0",",X,1231,+","103.6",",X,0301,","40.0","X,0806,","","","","","0.0","X,0102","664.7","","664.7","X","663.4",",X","0",",X","18.87","X","24.70","X","13.03","X","","","",""
"USW00093114","1984","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","","","890.3","","890.3","X","34","X","18","X","0","","0","X","0","X","0","X","0","X","294","X","32","X","2.2","X,1224,+","0",",X,1231,+","0",",X,1231,+","23.9",",X,1218,","42.2","X,0908,+","","","","","","","554.6","","554.6","X","169.0",",X","0",",X","18.98","X","25.27","X","12.68","X","","","",""
"USW00093114","1985","33.7","-117.83333","17.1","TUSTIN MCAF, CA US","","","636.7","","636.7","X","28","X","16","X","0","","0","X","0","X","0","X","0","X","268","X","32","X","0.6","X,0201,","0",",X,1231,+","0",",X,1231,+","37.1",",X,1129,","44.4","X,0701,","","","","","","","817.8","","817.8","X","159.2",",X","0",",X","18.03","X","24.49","X","11.57","X","","","",""
