"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00384449","2013","33.2845","-79.6963","10.7","JAMESTOWN, SC US","1119.6","","1119.6","7","121","7","89","7","0","7","68","7","0","7","249","7","70","7","-5.6","7,0219,+","59.7",",7,0815,","36.1","7,0813,+","0.0","7,1109","-4.4","7,1114","-4.4","7,1114","-1.7","7,0330","-2.8","7,0305","-5.6","7,0219","","","","","1591.2",",7","17.89","7","24.74","7","11.05","7"
"USC00384449","2014","33.2845","-79.6963","10.7","JAMESTOWN, SC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1362.8","","1362.8","7","","","","","","","",""
"USC00384449","2016","33.2845","-79.6963","10.7","JAMESTOWN, SC US","1342.5","","1342.5","7","94","7","78","7","0","7","52","7","0","7","265","7","96","7","-6.1","7,0121,+","152.4",",7,1009,","38.3","7,0709,","-1.1","7,1120","-3.3","7,1210","","","0.0","7,0229","-2.2","7,0216","-4.4","7,0211","930.9","","930.9","7","1525.9",",7","19.04","7","25.98","7","12.09","7"
"USC00384449","2017","33.2845","-79.6963","10.7","JAMESTOWN, SC US","","","","","","","","","0","7","35","7","","","","","","","-6.1","7,0110,+","","","","","-1.1","7,1120","-2.8","7,1210","","","-0.6","7,0321","-3.9","7,0318","-5.6","7,0317","","","","","1269.2",",7","","","","","12.14","7"
