"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00516228","1915","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1598.7","","1598.7","6","298","6","165","6","","","0","6","0","6","0","6","360","6","0","6","10.6","6,0126,","","","126.2",",6,0427,","31.7","6,0920,+","","","8.3","","8.3","6","2224.5",",6","","","22.67","6","26.64","6","18.70","6","",""
"USC00516228","1916","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1551.4","","1551.4","6","324","6","162","6","","","0","6","0","6","0","6","361","6","0","6","12.2","6,0217,","","","201.9",",6,0119,","30.0","6,1010,+","","","2.0","","2.0","6","2379.1",",6","","","22.57","6","26.09","6","19.04","6","",""
"USC00516228","1917","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1617.5","","1617.5","6","308","6","143","6","","","0","6","0","6","0","6","364","6","0","6","11.1","6,0216,+","","","214.9",",6,0320,","31.1","6,1014,+","","","2.7","","2.7","6","2174.3",",6","","","22.75","6","26.87","6","18.64","6","",""
"USC00516228","1918","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1526.2","","1526.2","6","305","6","158","6","","","0","6","0","6","0","6","361","6","1","6","11.1","6,0121,","","","196.3",",6,0404,","32.2","6,0829,","","","1.7","","1.7","6","3103.4",",6","","","22.51","6","26.12","6","18.90","6","",""
"USC00516228","1919","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1547.9","","1547.9","6","255","6","120","6","","","0","6","0","6","0","6","363","6","0","6","11.1","6,0325,+","","","159.8",",6,1008,","31.1","6,1009,+","","","2.5","","2.5","6","1598.9",",6","","","22.56","6","26.63","6","18.50","6","",""
"USC00516228","1920","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","","","","","278","6","126","6","","","0","6","0","6","","","","","","","12.2","6,0119,+","","","80.3",",6,1213,","","","","","","","","","1630.8",",6","","","","","","","18.86","6","",""
"USC00516228","1921","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","","","","","","","","","","","0","6","0","6","0","6","357","6","0","6","12.2","6,0401,+","","","","","30.0","6,1011,+","10521.3","6","","","","","","","","","22.46","6","26.00","6","18.92","6","26492","6"
"USC00516228","1922","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1382.3","","1382.3","6","290","6","144","6","","","0","6","0","6","0","6","362","6","0","6","11.7","6,0112,","","","68.1",",6,0419,","29.4","6,1012,+","10741.4","6","1.9","","1.9","6","1516.8",",6","","","22.12","6","25.64","6","18.59","6","25476","6"
"USC00516228","1925","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1427.4","","1427.4","6","","","","","","","0","6","0","6","0","6","363","6","0","6","12.8","6,0315,+","","","","","29.4","6,1028,+","","","","","","","","","","","22.25","6","25.69","6","18.80","6","",""
"USC00516228","1926","21.36667","-157.76667","75.9","MAUNAWILI RANCH, HI US","1565.2","","1565.2","6","264","6","131","6","","","0","6","0","6","0","6","363","6","0","6","12.2","6,0405,","","","108.0",",6,1025,","31.1","6,0303,","11020.3","6","3.3","","3.3","6","1557.7",",6","","","22.62","6","26.39","6","18.85","6","19580","6"
