"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00048713","1944","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","50","6","43","6","","","","","","","","","","","","","","","","","","","","","119.1",",6,1110,","","","","","","","","","","","","","","","806.5",",6","","","","","","","",""
"USC00048713","1945","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","","","","","","","0","6","","","","","","","","","","","","","","","0",",6,1231,+","","","","","","","","","","","","","","","","","","","0",",6","","","","","",""
"USC00048713","1946","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","","","","","","","1","6","","","","","","","","","","","","","","","76",",6,0204,","","","","","","","","","","","","","","","","","","","76",",6","","","","","",""
"USC00048713","1947","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","","","","","","","0","6","","","","","","","","","","","","","","","5",",6,0128,","","","","","","","","","","","","","","","","","","","5",",6","","","","","",""
"USC00048713","1948","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","","","","","","","2","0","","","","","","","","","","","","","","","127",",0,0205,","","","","","","","","","","","","","","","","","","","165",",0","","","","","",""
"USC00048713","1949","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","55","0","40","0","5","","3","0","","","","","","","","","","","","","102",",0,0124,","51",",0,0203,+","46.2",",0,0303,","","","","","","","","","","","","","","","528.0",",0","160",",0","","","","","",""
"USC00048713","1950","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","73","0","59","0","1","","0","0","","","","","","","","","","","","","25",",0,0102,","20",",0,0102,","103.6",",0,1119,","","","","","","","","","","","","","","","1172.9",",0","38",",0","","","","","",""
"USC00048713","1952","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","75","0","60","0","3","","2","0","","","","","","","","","","","","","51",",0,0307,","46",",0,0307,","38.9",",0,0307,","","","","","","","","","","","","","","","804.2",",0","97",",0","","","","","",""
"USC00048713","1953","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","62","0","41","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","51.1",",0,1204,","","","","","","","","","","","","","","","518.1",",0","0",",0","","","","","",""
"USC00048713","1954","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","65","0","46","0","1","","0","0","","","","","","","","","","","","","25",",0,0317,","13",",0,0317,","51.3",",0,1210,","","","","","","","","","","","","","","","699.4",",0","18",",0","","","","","",""
"USC00048713","1956","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","61","0","42","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","34.3",",0,0223,","","","","","","","","","","","","","","","535.3",",0","0",",0","","","","","",""
"USC00048713","1960","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","55","0","42","0","0","","0","0","","","","","","","","","","","","","0","T,0,0114,","0","T,0,0114,","45.2",",0,1126,","","","","","","","","","","","","","","","640.5",",0","0","T,0","","","","","",""
"USC00048713","1964","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","74","0","55","0","1","","1","0","","","","","","","","","","","","","25",",0,1231,","25",",0,1231,","99.1",",0,1223,","","","","","","","","","","","","","","","930.0",",0","25",",0","","","","","",""
"USC00048713","1965","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","64","0","42","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","37.1",",0,1114,","","","","","","","","","","","","","","","630.0",",0","0",",0","","","","","",""
"USC00048713","1967","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","64","0","54","0","1","","1","0","","","","","","","","","","","","","51",",0,1218,","102",",0,1218,","79.5",",0,0122,","","","","","","","","","","","","","","","928.8",",0","102",",0","","","","","",""
"USC00048713","1968","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","60","0","45","0","3","","3","0","","","","","","","","","","","","","25",",0,1220,+","76",",0,0131,","66.8",",0,1103,","","","","","","","","","","","","","","","726.5",",0","152",",0","","","","","",""
"USC00048713","1969","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","75","0","55","0","2","","2","0","","","","","","","","","","","","","25",",0,0223,+","25",",0,0223,+","77.2",",0,1106,","","","","","","","","","","","","","","","1035.3",",0","50",",0","","","","","",""
"USC00048713","1970","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","76","0","59","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","60.5",",0,1129,","","","","","","","","","","","","","","","974.0",",0","0",",0","","","","","",""
"USC00048713","1971","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","64","0","45","0","","","","","","","","","","","","","","","","","","","","","63.5",",0,0326,","","","","","","","","","","","","","","","582.2",",0","","","","","","","",""
"USC00048713","1972","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","60","0","41","0","","","","","","","","","","","","","","","","","","","","","39.6",",0,1104,","","","","","","","","","","","","","","","553.3",",0","","","","","","","",""
"USC00048713","1976","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","43","0","23","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","37.3",",0,0815,","","","","","","","","","","","","","","","258.5",",0","0",",0","","","","","",""
"USC00048713","1977","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","45","0","35","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","54.1",",0,1215,","","","","","","","","","","","","","","","441.9",",0","0",",0","","","","","",""
"USC00048713","1978","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","68","0","57","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","45.5",",0,0305,","","","","","","","","","","","","","","","903.1",",0","0",",0","","","","","",""
"USC00048713","1999","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","50","0","38","0","","","0","0","","","","","","","","","","","","","","","0",",0,1231,+","55.1",",0,0209,","","","","","","","","","","","","","","","671.4",",0","0",",0","","","","","",""
"USC00048713","2000","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","673.2","","673.2","0","74","0","57","0","0","","0","0","0","0","5","0","0","0","169","0","61","0","-1.1","0,0306,","0",",0,1231,+","0",",0,1231,+","64.8",",0,0124,","40.0","0,0802,","","","","","","","-1.1","0,0306","","","","","985.1",",0","0",",0","15.63","0","21.81","0","9.44","0"
"USC00048713","2001","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","","","","","56","0","48","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","36.8",",0,1229,","","","","","","","","","","","","","","","678.0",",0","0",",0","","","","","",""
