"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"USC00365435","1948","41.85","-78.75","647.1","MARSHBURG, PA US","1201.5",",0"
"USC00365435","1949","41.85","-78.75","647.1","MARSHBURG, PA US","1029.2",",0"
