"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00044259","1907","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","2142.2","","2142.2","6","","","","","","","","","0","6","7","6","0","6","331","6","161","6","-1.1","6,1211,+","","","","","","","48.9","6,0705,","","","-1.1","6,1211","","","","","","","0.0","6,0117","","","","","","","","","617.4","","617.4","6","","","","","","","","","22.86","6","30.99","6","14.74","6","",""
"USC00044259","1908","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","2148.5","","2148.5","6","","","","","","","","","0","6","13","6","0","6","314","6","171","6","-3.3","6,1220,","","","","","","","45.6","6,0708,+","","","0.0","6,1129","-3.3","6,1220","","","","","-1.1","6,0217","","","","","","","","","536.1","","536.1","6","","","","","","","","","22.64","6","30.96","6","14.31","6","",""
"USC00044259","1910","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","","","","","5","6","3","6","","","","","","","","","","","","","","","","","","","","","6.9",",6,0101,","","","","","","","","","","","","","","","","","","","","","","","696.1","","696.1","6","","","","","19.0",",6","","","","","","","","","",""
"USC00044259","1911","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","2163.8","","2163.8","6","","","","","","","","","0","6","29","6","0","6","310","6","178","6","-8.3","6,1228,+","","","","","","","47.2","6,0715,","","","-4.4","6,1129","-4.4","6,1129","-4.4","6,1129","-8.3","6,1226","-0.6","6,0222","-3.3","6,0103","","","","","","","","","","","","","","","","","","","22.35","6","30.95","6","13.74","6","",""
"USC00044259","1912","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","631.2","","631.2","6","","","","","","","","","","","","","","","",""
"USC00044259","1913","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","2099.7","","2099.7","6","10","6","8","6","","","","","0","6","16","6","0","6","313","6","178","6","-8.9","6,0108,","","","","","10.2",",6,0913,","47.2","6,0711,","","","","","","","","","","","0.0","6,0316","-5.6","6,0122","-5.6","6,0122","-8.9","6,0108","-8.9","6,0108","","","","","","","","","49.6",",6","","","22.17","6","30.68","6","13.65","6","",""
"USC00044259","1914","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","2290.8","","2290.8","6","15","6","7","6","","","","","0","6","8","6","0","6","321","6","181","6","-1.7","6,1215,","","","","","18.5",",6,0127,","47.2","6,0803,","","","0.0","6,1210","","","","","","","0.0","6,0131","","","","","","","","","457.5","","457.5","6","","","","","69.6",",6","","","23.26","6","31.36","6","15.16","6","",""
"USC00044259","1915","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","2134.1","","2134.1","6","","","","","","","","","0","6","14","6","0","6","312","6","172","6","-2.8","6,1217,","","","","","","","48.9","6,0819,","","","0.0","6,1112","-2.8","6,1217","","","","","-0.6","6,0120","","","","","","","","","615.4","","615.4","6","","","","","","","","","22.40","6","30.87","6","13.93","6","",""
"USC00044259","1916","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","2167.1","","2167.1","6","","","","","","","","","0","6","20","6","0","6","310","6","186","6","-6.1","6,1210,","","","","","","","46.1","6,0615,","","","-3.3","6,1208","-3.3","6,1208","-6.1","6,1210","","","-1.1","6,0202","-3.9","6,0112","","","","","","","557.7","","557.7","6","","","","","","","","","22.50","6","31.04","6","13.96","6","",""
"USC00044259","1917","33.7086","-116.2152","-6.4","INDIO FIRE STATION, CA US","2240.0","","2240.0","6","","","","","","","","","0","6","19","6","0","6","325","6","176","6","-2.8","6,0304,","","","","","","","48.9","6,0617,+","","","-1.7","6,1208","","","","","","","-0.6","6,0316","-2.8","6,0304","","","","","","","816.8","","816.8","6","","","","","","","","","22.72","6","31.63","6","13.80","6","",""
