"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00040607","1933","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","38","6","26","6","","","","","","","","","","","","","","","","","","","","","60.5",",6,0116,","","","","","","","","","","","","","","","","","","","","","","","","","","","442.4",",6","","","","","","","","","",""
"USC00040607","1934","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","27","6","22","6","","","","","","","","","","","","","","","","","","","","","61.2",",6,1214,","","","","","","","","","","","","","","","","","","","","","","","","","","","386.3",",6","","","","","","","","","",""
"USC00040607","1935","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","34","6","28","6","","","","","","","","","","","","","","","","","","","","","59.2",",6,0813,","","","","","","","","","","","","","","","","","","","","","","","","","","","460.7",",6","","","","","","","","","",""
"USC00040607","1936","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","41","6","41","6","","","","","","","","","","","","","","","","","","","","","76.2",",6,1228,","","","","","","","","","","","","","","","","","","","","","","","","","","","744.1",",6","","","","","","","","","",""
"USC00040607","1937","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","42","6","40","6","","","","","","","","","","","","","","","","","","","","","158.8",",6,0207,","","","","","","","","","","","","","","","","","","","","","","","","","","","707.1",",6","","","","","","","","","",""
"USC00040607","1938","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","43","6","41","6","","","","","","","","","","","","","","","","","","","","","158.8",",6,0303,","","","","","","","","","","","","","","","","","","","","","","","","","","","833.9",",6","","","","","","","","","",""
"USC00040607","1940","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","40","6","37","6","","","","","","","","","","","","","","","","","","","","","64.8",",6,1224,","","","","","","","","","","","","","","","","","","","","","","","","","","","604.1",",6","","","","","","","","","",""
"USC00040607","1941","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","68","6","58","6","","","","","","","","","","","","","","","","","","","","","41.9",",6,0221,","","","","","","","","","","","","","","","","","","","","","","","","","","","884.7",",6","","","","","","","","","",""
"USC00040607","1942","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","31","6","25","6","","","","","","","","","","","","","","","","","","","","","52.1",",6,0810,","","","","","","","","","","","","","","","","","","","","","","","","","","","346.4",",6","","","","","","","","","",""
"USC00040607","1943","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","40","6","35","6","","","","","","","","","","","","","","","","","","","","","135.9",",6,0123,","","","","","","","","","","","","","","","","","","","","","","","","","","","790.0",",6","","","","","","","","","",""
"USC00040607","1944","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","43","6","37","6","","","","","","","","","","","","","","","","","","","","","100.3",",6,1112,","","","","","","","","","","","","","","","","","","","","","","","","","","","566.5",",6","","","","","","","","","",""
"USC00040607","1945","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","39","6","33","6","","","0","6","","","","","","","","","","","","","","","0",",6,1231,+","86.4",",6,1223,","","","","","","","","","","","","","","","","","","","","","","","","","","","615.9",",6","0",",6","","","","","","","",""
"USC00040607","1946","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","44","6","36","6","","","0","6","","","","","","","","","","","","","","","0",",6,1231,+","54.6",",6,1114,","","","","","","","","","","","","","","","","","","","","","","","","","","","582.0",",6","0",",6","","","","","","","",""
"USC00040607","1947","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","28","6","19","6","","","","","","","","","","","","","","","","","","","","","61.0",",6,1205,","","","","","","","","","","","","","","","","","","","","","","","","","","","207.6",",6","","","","","","","","","",""
"USC00040607","1949","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","52","0","38","0","","","","","","","","","","","","","","","","","","","","","58.2",",0,1219,","","","","","","","","","","","","","","","","","","","","","","","","","","","479.0",",0","","","","","","","","","",""
"USC00040607","1950","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","28","0","22","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","41.9",",0,0324,","","","","","","","","","","","","","","","","","","","","","","","","","","","343.7",",0","0",",0","","","","","","","",""
"USC00040607","1951","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","42","0","30","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","69.3",",0,1230,","","","","","","","","","","","","","","","","","","","","","","","","","","","441.5",",0","0",",0","","","","","","","",""
"USC00040607","1952","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","42","0","35","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","49.5",",0,0316,","","","","","","","","","","","","","","","","","","","","","","","","","","","618.4",",0","0",",0","","","","","","","",""
