"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0016A10S","1999","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","","","","","165","T","165","T","","","","","","","","","","","","","","","","","66.0",",T,0114,","","","","","","","","","","","","","","","","","","","","","","","5841.6","","5841.6","T","1847.9",",T","","","","","",""
"USS0016A10S","2000","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","","","","","153","T","153","T","","","","","","","","","","","","","","","","","48.3",",T,0612,","","","","","","","","","","","","","","","","","","","","","","","","","","","1138.0",",T","","","","","",""
"USS0016A10S","2001","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","24.2","","24.2","T","144","T","144","T","228","","0","T","211","T","119","T","24","T","0","T","-17.7","T,0216,+","2210",",T,1217,+","73.7",",T,1201,","26.6","T,0816,","-0.1","T,1007","-2.6","T,1011","-5.0","T,1024","-7.4","T,1125","-9.8","T,1209","-1.1","T,0625","-2.5","T,0612","-5.0","T,0529","-7.0","T,0414","-10.8","T,0412","","","","","1196.7",",T","2.80","T","6.07","T","-0.46","T"
"USS0016A10S","2002","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","20.1","","20.1","T","137","T","137","T","252","","2","T","193","T","112","T","15","T","0","T","-18.4","T,0321,","3277",",T,0318,","68.6",",T,1214,","27.7","T,0713,","-2.3","T,0930","-2.3","T,0930","-6.7","T,1011","-6.7","T,1011","-9.1","T,1028","-1.4","T,0608","-4.1","T,0523","-7.1","T,0508","-7.1","T,0508","-11.3","T,0402","5582.3","","5582.3","T","1253.1",",T","2.87","T","6.02","T","-0.28","T"
"USS0016A10S","2003","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","39.2","","39.2","T","153","T","153","T","246","","1","T","199","T","107","T","37","T","0","T","-18.1","T,0223,","3454",",T,0326,","40.6",",T,1205,","26.6","T,0815,","0.0","T,0917","-3.3","T,1024","-9.4","T,1029","-9.4","T,1029","-9.4","T,1029","-4.0","T,0519","-4.0","T,0519","-5.5","T,0517","-10.1","T,0308","-10.1","T,0308","5356.2","","5356.2","T","1273.1",",T","3.74","T","6.93","T","0.55","T"
"USS0016A10S","2004","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","25.5","","25.5","T","153","T","153","T","251","","4","T","180","T","82","T","24","T","0","T","-25.2","T,0105,","3480",",T,0305,","50.8",",T,1210,","26.7","T,0717,","-1.7","T,1018","-5.0","T,1023","-5.0","T,1023","-6.7","T,1031","-9.3","T,1120","-0.6","T,0615","-3.8","T,0512","-5.2","T,0401","-7.8","T,0319","-8.9","T,0205","5289.8","","5289.8","T","1318.8",",T","3.72","T","6.82","T","0.62","T"
"USS0016A10S","2005","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","8.5","","8.5","T","130","T","130","T","225","","4","T","169","T","85","T","15","T","0","T","-21.4","T,0114,","2616",",T,0401,","55.9",",T,0327,","25.4","T,0621,","0.0","T,1001","-2.9","T,1027","-4.6","T,1102","-8.8","T,1114","-10.0","T,1127","-0.1","T,0523","-4.6","T,0429","-4.6","T,0429","-7.4","T,0331","-11.3","T,0324","5365.3","","5365.3","T","1095.2",",T","3.30","T","6.41","T","0.19","T"
"USS0016A10S","2006","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","37.7","","37.7","T","147","T","147","T","253","","4","T","196","T","92","T","38","T","0","T","-26.7","T,0217,","4623",",T,0309,","73.7",",T,1107,","28.6","T,0722,","-0.4","T,0914","-2.7","T,1025","-11.2","T,1029","-11.2","T,1029","-11.2","T,1029","-0.9","T,0527","-4.5","T,0509","-4.5","T,0509","-6.8","T,0417","-10.7","T,0313","5468.1","","5468.1","T","1606.2",",T","3.81","T","7.30","T","0.31","T"
"USS0016A10S","2007","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","35.7","","35.7","T","135","T","135","T","263","","3","T","182","T","96","T","30","T","0","T","-21.0","T,0111,","3708",",T,0228,","119.4",",T,1203,","28.5","T,0713,","-0.1","T,0928","-3.0","T,1020","-4.4","T,1026","-7.0","T,1114","-8.9","T,1120","-0.6","T,0528","-2.7","T,0505","-7.0","T,0411","-7.0","T,0411","-9.6","T,0403","5354.3","","5354.3","T","1189.4",",T","3.43","T","6.64","T","0.22","T"
"USS0016A10S","2008","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","19.3","","19.3","T","152","T","152","T","240","","10","T","197","T","109","T","21","T","0","T","-27.4","T,1214,","4674",",T,0329,","43.2",",T,1227,","27.6","T,0817,","-1.0","T,0923","-3.7","T,1008","-5.2","T,1011","-7.0","T,1105","-8.9","T,1202","-0.6","T,0611","-3.4","T,0610","-5.2","T,0501","-7.7","T,0422","-12.0","T,0420","5676.4","","5676.4","T","1267.9",",T","2.54","T","5.92","T","-0.84","T"
"USS0016A10S","2009","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","11.4","","11.4","T","148","T","148","T","259","","9","T","212","T","123","T","29","T","0","T","-23.0","T,1207,","3480",",T,0403,","50.8",",T,1026,+","25.3","T,0801,","-1.3","T,0930","-2.6","T,1005","-5.4","T,1008","-10.0","T,1009","-10.0","T,1009","-0.8","T,0607","-2.7","T,0513","-5.1","T,0430","-6.7","T,0424","-11.1","T,0326","5698.7","","5698.7","T","1222.2",",T","2.75","T","5.93","T","-0.43","T"
"USS0016A10S","2010","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","1.6","","1.6","T","173","T","173","T","244","","5","T","194","T","93","T","10","T","0","T","-26.1","T,1123,","2921",",T,0411,+","48.3",",T,0329,","23.1","T,0726,","0.0","T,1011","-2.4","T,1025","-5.4","T,1109","-7.0","T,1119","-13.8","T,1120","-2.2","T,0524","-2.2","T,0524","-5.5","T,0506","-9.0","T,0410","-9.0","T,0410","5528.3","","5528.3","T","1453.5",",T","3.22","T","6.14","T","0.30","T"
"USS0016A10S","2011","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","8.7","","8.7","T","173","T","173","T","262","","8","T","203","T","114","T","19","T","0","T","-23.9","T,0225,","4674",",T,0421,","111.8",",T,1122,","24.1","T,0828,","-0.7","T,1013","-3.1","T,1024","-4.5","T,1026","-7.3","T,1105","-10.8","T,1114","-0.3","T,0528","-3.2","T,0504","-4.9","T,0429","-9.3","T,0418","-9.3","T,0418","5871.9","","5871.9","T","1391.9",",T","2.46","T","5.65","T","-0.72","T"
"USS0016A10S","2012","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","21.6","","21.6","T","175","T","175","T","256","","0","T","191","T","103","T","25","T","0","T","-15.4","T,0228,","5613",",T,0401,","109.2",",T,1119,","26.7","T,0708,","-0.9","T,0911","-2.8","T,1002","-4.5","T,1025","-8.0","T,1108","-11.4","T,1109","-0.1","T,0609","-4.5","T,0511","-4.5","T,0511","-9.1","T,0406","-9.1","T,0406","5546.0","","5546.0","T","2101.6",",T","3.64","T","6.95","T","0.34","T"
"USS0016A10S","2013","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","21.1","","21.1","T","154","T","154","T","","","6","T","190","T","95","T","32","T","0","T","-25.3","T,1207,","","","73.7",",T,0928,","26.5","T,0702,+","-0.7","T,0930","-2.2","T,1010","-6.2","T,1027","-8.2","T,1028","-13.1","T,1120","-0.3","T,0524","-3.0","T,0523","-5.8","T,0501","-7.2","T,0430","-9.8","T,0415","5257.0","","5257.0","T","1216.3",",T","3.61","T","6.91","T","0.32","T"
"USS0016A10S","2014","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","33.4","","33.4","T","153","T","153","T","","","10","T","179","T","86","T","25","T","0","T","-27.4","T,0205,","","","63.5",",T,0305,","26.8","T,0713,","-1.9","T,0910","-3.1","T,0911","-7.6","T,1109","-7.6","T,1109","-14.6","T,1110","-0.5","T,0512","-2.8","T,0511","-4.5","T,0423","-7.2","T,0324","-10.2","T,0322","5474.1","","5474.1","T","1395.1",",T","3.63","T","6.90","T","0.36","T"
"USS0016A10S","2015","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","45.8","","45.8","T","116","T","116","T","205","","0","T","152","T","74","T","32","T","0","T","-15.5","T,0101,","2007",",T,0414,","94.0",",T,1208,","28.7","T,0628,","-0.2","T,1027","-3.1","T,1102","-5.5","T,1104","-6.8","T,1112","-9.4","T,1119","-0.8","T,0506","-3.0","T,0426","-6.1","T,0415","-6.8","T,0412","-11.3","T,0304","4862.5","","4862.5","T","1299.4",",T","5.02","T","8.37","T","1.68","T"
"USS0016A10S","2016","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","13.3","","13.3","T","175","T","175","T","233","","4","T","155","T","78","T","25","T","0","T","-20.8","T,1216,","3353",",T,0327,","53.3",",T,1013,","25.1","T,0606,","-4.4","T,1010","-4.4","T,1010","-4.4","T,1010","-7.0","T,1117","-11.5","T,1204","-0.5","T,0615","-4.1","T,0405","-4.5","T,0325","-6.9","T,0318","-9.3","T,0223","4993.6","","4993.6","T","1519.5",",T","4.04","T","7.16","T","0.93","T"
"USS0016A10S","2017","48.37","-116.64","1856.2","SCHWEITZER BASIN, ID US","39.0","","39.0","T","158","T","158","T","256","","6","T","206","T","107","T","44","T","0","T","-19.6","T,1226,","3251",",T,0427,","45.7",",T,0216,","27.0","T,0706,","-0.1","T,0920","-3.1","T,1011","-6.1","T,1102","-7.5","T,1103","-10.0","T,1105","-0.5","T,0517","-2.8","T,0515","-5.0","T,0416","-7.1","T,0403","-10.5","T,0307","5652.1","","5652.1","T","1489.0",",T","3.55","T","6.84","T","0.25","T"
