"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00014940","1948","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","","","396.5","","396.5","0","92","0","47","0","74","","9","0","41","0","159","0","79","0","141","0","24","0","-31.7","0,0311,","203",",0,1231,+","155",",0,0306,","41.1",",0,0227,","37.8","0,0823,","-1.1","0,1010","-2.8","0,1016","-5.6","0,1017","-7.8","0,1122","-10.0","0,1130","0.0","0,0421","-3.9","0,0413","-6.7","0,0409","-6.7","0,0409","-18.9","X,0313","","","","","672.0",",0","750",",0","7.53","0","13.71","0","1.36","0","","","","","","","","","","","",""
"USW00014940","1949","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","","","428.3","","428.3","0","97","0","53","0","68","","5","0","31","0","164","0","72","0","146","0","21","0","-28.9","0,0202,","229",",0,0216,+","211",",0,0414,","87.1",",0,0624,","35.0","0,0706,+","-4.4","0,0929","-4.4","0,0929","-4.4","0,0929","-8.9","0,1031","-8.9","0,1031","-3.9","0,0424","-3.9","0,0424","-7.2","0,0416","-7.2","0,0416","-9.4","0,0319","4296.5","","4296.5","0","757.1",",0","530",",0","7.70","0","13.84","0","1.57","0","","","","","","","","","","","",""
"USW00014940","1950","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","","","180.8","","180.8","0","109","0","56","0","98","","10","0","48","0","175","0","92","0","128","0","1","0","-32.2","0,1227,+","229",",0,0226,+","99",",0,0208,","41.9",",0,0810,","32.8","0,0809,","-0.6","0,0924","-3.3","0,1004","-5.6","0,1025","-10.6","0,1104","-10.6","0,1104","-1.1","0,0507","-2.2","0,0501","-5.6","0,0421","-7.8","0,0414","-9.4","0,0318","4592.0","","4592.0","0","761.8",",0","843",",0","5.26","0","11.40","0","-0.89","0","","","","","","","","","","","",""
"USW00014940","1951","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","","","187.0","","187.0","0","131","0","71","0","116","","19","0","45","0","170","0","100","0","125","0","2","0","-32.2","0,0130,","533",",0,0321,+","147",",0,0228,","118.9",",0,0625,","32.2","0,0830,+","-2.2","0,0925","-2.2","0,0925","-4.4","0,1027","-7.2","0,1031","-11.7","0,1101","-1.1","0,0423","-2.8","0,0419","-5.0","0,0417","-6.7","0,0325","-15.6","0,0324","4821.1","","4821.1","0","968.6",",0","1334",",0","5.26","0","10.45","0","0.07","0","","","","","","","","","","","",""
"USW00014940","1952","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","","","348.7","","348.7","0","85","0","48","0","113","","19","0","17","0","175","0","77","0","129","0","7","0","-28.9","0,0123,","279",",0,0323,","216",",0,0322,","62.0",",0,0707,","33.3","0,0725,","-1.7","0,1003","-3.9","0,1005","-7.2","0,1017","-7.2","0,1017","-11.1","0,1110","-1.1","0,0424","-6.7","0,0411","-6.7","0,0411","-6.7","0,0411","-10.0","0,0327","4551.0","","4551.0","0","583.5",",0","1224",",0","7.42","0","12.97","0","1.86","0","","","","","","","","","","","",""
"USW00014940","1953","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","","","373.0","","373.0","0","101","0","54","0","77","","8","0","19","0","163","0","64","0","150","0","15","0","-27.2","0,0116,","229",",0,0308,+","122",",0,0307,","46.0",",0,0803,","36.1","0,0619,+","-2.8","0,1007","-2.8","0,1007","-4.4","0,1027","-7.2","0,1104","-10.6","0,1105","-2.2","0,0513","-2.2","0,0513","-7.8","0,0418","-7.8","0,0418","-8.9","0,0309","4370.8","","4370.8","0","692.5",",0","567",",0","8.03","0","13.87","0","2.20","0","","","","","","","","","","","",""
"USW00014940","1954","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","","","363.4","","363.4","0","104","0","60","0","48","","6","0","18","0","164","0","67","0","127","0","8","0","-29.4","0,0121,+","102",",0,0130,+","102",",0,0126,","160.8",",0,0822,","35.0","0,0706,","0.0","0,0922","-2.8","0,1018","-6.7","0,1031","-6.7","0,1031","-8.9","0,1129","0.0","0,0508","-2.2","0,0507","-5.6","0,0408","-12.8","0,0403","-12.8","0,0403","4040.2","","4040.2","0","1187.9",",0","447",",0","8.02","0","13.49","0","2.55","0","","","","","","","","","","","",""
"USW00014940","1955","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","","","492.4","","492.4","0","91","0","52","0","84","","6","0","33","0","161","0","93","0","143","0","30","0","-28.3","0,1219,","102",",0,0322,+","76",",0,0320,","55.4",",0,0704,","36.7","0,0821,","-1.7","0,1015","-3.3","0,1024","-5.6","0,1031","-7.2","0,1102","-11.1","0,1113","-0.6","0,0508","-2.2","0,0407","-11.1","0,0328","-11.1","0,0328","-11.1","0,0328","4074.9","","4074.9","0","610.2",",0","436",",0","7.48","0","13.47","0","1.50","0","","","","","","","","","","","",""
"USW00014940","1956","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","","","343.6","","343.6","0","101","0","49","0","111","","14","0","27","0","169","0","80","0","137","0","16","0","-28.9","0,0121,","254",",0,0207,+","127",",0,1120,+","52.1",",0,0731,","36.1","0,0619,","-1.1","0,0930","-2.2","0,1107","-6.7","0,1110","-6.7","0,1110","-13.3","0,1116","0.0","0,0516","-2.8","0,0430","-5.6","0,0424","-6.7","0,0330","-11.1","0,0324","4732.4","","4732.4","0","593.2",",0","993",",0","7.08","0","12.94","0","1.21","0","","","","","","","","","","","",""
"USW00014940","1957","43.1544","-93.3269","373.4","MASON CITY MUNICIPAL AIRPORT, IA US","","","339.9","","339.9","0","104","0","53","0","84","","13","0","19","0","165","0","66","0","125","0","12","0","-27.2","0,0126,","229",",0,1123,+","203",",0,1118,","28.7",",0,0813,+","35.0","0,0712,","-1.7","0,1010","-2.2","0,1019","-5.6","0,1025","-7.8","0,1108","-8.9","0,1109","-1.7","0,0504","-6.1","0,0414","-6.1","0,0414","-8.3","0,0412","-10.0","0,0320","4163.2","","4163.2","0","568.6",",0","779",",0","7.31","0","12.57","0","2.04","0","","","","","","","","","","","",""
