"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00094938","1997","46.40472","-94.13083","372.2","BRAINERD CROW WING CO AIRPORT, MN US","","","143.1","","143.1","M","","","","","45","M","190","M","112","M","105","M","1","M","-38.3","M,0126,","","","32.8","M,0623,","-1.1","M,1010","-3.3","M,1020","-8.3","M,1026","-8.3","M,1026","-10.6","M,1027","0.0","M,0521","-5.0","M,0513","-5.0","M,0513","-7.8","M,0417","-10.0","M,0411","5505.8","","5505.8","M","","","4.25","M","9.93","M","-1.43","M","","","","","","","",""
"USW00094938","1998","46.40472","-94.13083","372.2","BRAINERD CROW WING CO AIRPORT, MN US","","","208.0","","208.0","W","","","","","27","W","161","W","77","W","128","W","4","W","-32.2","W,1230,+","","","32.8","W,0816,+","-0.6","W,0922","-3.9","W,1020","-4.4","W,1103","-6.7","W,1104","-11.7","W,1112","0.0","W,0429","-2.2","W,0428","-5.0","W,0404","-9.4","M,0324","-9.4","M,0324","4524.7","","4524.7","W","","","7.03","W","12.65","W","1.42","W","","","","","","","",""
"USW00094938","1999","46.40472","-94.13083","372.2","BRAINERD CROW WING CO AIRPORT, MN US","2.8","W","203.4","","203.4","W","86","W","48","W","30","W","175","W","65","W","104","W","3","W","-31.7","W,0109,","55.4",",W,0512,","34.4","W,0725,","0.0","W,0920","-2.8","W,1002","-6.1","W,1003","-7.2","W,1020","-9.4","W,1128","-4.4","W,0424","-4.4","W,0424","-4.4","W,0424","-10.0","W,0325","-10.0","W,0325","4522.3","","4522.3","W","712.7",",W","6.12","W","11.87","W","0.36","W","240","W","240","W","18.3","W","24.6","W"
"USW00094938","2000","46.40472","-94.13083","372.2","BRAINERD CROW WING CO AIRPORT, MN US","2.6","W","146.3","","146.3","W","105","W","43","W","49","W","182","W","94","W","110","W","3","W","-31.1","W,1225,+","32.5",",W,1101,","32.8","W,0609,","0.0","W,0915","-3.9","W,0924","-7.8","W,1008","-7.8","W,1008","-10.0","W,1114","0.0","W,0605","-2.2","W,0519","-5.6","W,0421","-7.8","W,0412","-19.4","W,0317","4630.2","","4630.2","W","541.3",",W","4.93","W","10.94","W","-1.09","W","220","W","210","W","21.0","W","26.4","W"
"USW00094938","2001","46.40472","-94.13083","372.2","BRAINERD CROW WING CO AIRPORT, MN US","2.9","W","262.5","","262.5","W","","","","","32","W","164","W","80","W","113","W","12","W","-33.3","W,0210,","","","36.1","W,0808,+","-2.2","W,0924","-2.2","W,0924","-4.4","W,1007","-6.7","W,1119","-10.6","W,1202","-2.2","W,0424","-2.2","W,0424","-5.6","W,0418","-6.7","W,0416","-15.0","W,0327","5139.8","","5139.8","W","","","5.97","W","12.01","W","-0.07","W","210","W","290","W","15.6","W","20.1","W"
"USW00094938","2002","46.40472","-94.13083","372.2","BRAINERD CROW WING CO AIRPORT, MN US","3.2","W","252.0","","252.0","W","110","W","46","W","26","W","198","W","89","W","108","W","7","W","-25.6","W,0301,+","112.3",",W,0707,","34.4","W,0701,","-1.7","W,0924","-3.3","W,1006","-6.7","W,1015","-6.7","W,1015","-10.0","W,1024","-2.8","W,0520","-2.8","W,0520","-5.6","W,0503","-8.3","W,0426","-10.6","W,0401","4682.9","","4682.9","W","690.1",",W","5.32","W","10.81","W","-0.18","W","210","W","270","W","14.3","W","19.2","W"
"USW00094938","2003","46.40472","-94.13083","372.2","BRAINERD CROW WING CO AIRPORT, MN US","3.3","W","234.7","","234.7","W","70","W","28","W","48","W","177","W","98","W","124","W","9","W","-30.6","W,0305,","39.1",",W,0622,","35.0","W,0815,","-0.6","W,0928","-4.4","W,1001","-4.4","W,1001","-6.7","W,1002","-10.0","W,1105","-2.8","W,0502","-2.8","W,0502","-10.0","W,0408","-10.0","W,0408","-10.0","W,0408","5111.1","","5111.1","W","334.4",",W","5.33","W","11.42","W","-0.76","W","350","W","180","W","14.3","W","19.2","W"
"USW00094938","2004","46.40472","-94.13083","372.2","BRAINERD CROW WING CO AIRPORT, MN US","3.6","W","122.4","","122.4","W","102","W","39","W","37","W","169","W","69","W","93","W","2","W","-35.0","W,0130,","91.9",",W,0905,","33.9","W,0607,","0.0","W,0821","-2.8","W,1014","-8.9","W,1111","-8.9","W,1111","-8.9","W,1111","-1.1","W,0526","-3.3","W,0515","-4.4","W,0430","-7.2","W,0413","-13.3","W,0322","4903.4","","4903.4","W","500.1",",W","5.45","W","11.10","W","-0.21","W","200","W","200","W","17.9","W","21.5","W"
"USW00094938","2005","46.40472","-94.13083","372.2","BRAINERD CROW WING CO AIRPORT, MN US","3.5","B","288.1","","288.1","B","74","B","36","B","34","B","161","B","82","B","122","B","13","B","-38.9","B,0117,","50.0",",B,0629,","35.6","B,0717,+","-0.6","B,1007","-2.8","B,1022","-4.4","B,1110","-12.8","B,1116","-12.8","B,1116","-2.2","W,0504","-2.2","W,0504","-5.0","W,0503","-8.3","W,0326","-10.0","W,0320","4400.5","","4400.5","B","527.7",",B","6.97","B","12.53","B","1.40","B","270","B","280","B","16.1","B","21.0","B"
"USW00094938","2006","46.40472","-94.13083","372.2","BRAINERD CROW WING CO AIRPORT, MN US","3.3","W","352.9","","352.9","W","94","W","35","W","21","W","168","W","63","W","131","W","15","W","-28.8","W,0218,","22.4",",W,0510,","38.9","W,0715,","0.0","W,1005","-3.2","W,1010","-5.5","W,1015","-8.2","W,1102","-11.6","W,1103","-0.5","W,0522","-4.9","W,0425","-4.9","W,0425","-8.8","W,0319","-10.5","W,0317","4193.1","","4193.1","W","323.7",",W","7.60","W","13.27","W","1.92","W","260","W","250","W","21.5","W","30.9","W"
"USW00094938","2007","46.40472","-94.13083","372.2","BRAINERD CROW WING CO AIRPORT, MN US","3.5","W","343.9","","343.9","W","101","W","42","W","39","W","163","W","97","W","134","W","15","W","-33.2","W,0205,","42.9",",W,1018,","36.1","W,0810,+","-0.5","W,0912","-5.5","W,1028","-5.5","W,1028","-11.0","W,1122","-11.0","W,1122","0.0","W,0517","-3.2","W,0415","-7.1","W,0410","-7.1","W,0410","-14.3","W,0409","4462.6","","4462.6","W","537.5",",W","6.42","W","12.22","W","0.63","W","320","W","320","W","21.5","W","27.3","W"
