"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00057430","1981","37.1954","-105.4244","2421.0","SAN LUIS 1 S, CO US","13.5","","13.5","0","62","0","37","0","","","","","25","0","219","0","12","0","118","0","0","0","-31.7","0,1224,","","","","","27.9",",0,0812,","31.7","0,0622,","0.0","0,0914","-3.3","0,1006","-8.3","0,1017","-8.3","0,1017","-9.4","0,1022","-1.1","0,0616","-2.2","0,0527","-6.1","0,0510","-7.2","0,0408","-14.4","0,0405","4455.5","","4455.5","0","271.5",",0","","","5.89","0","15.44","0","-3.66","0"
"USC00057430","1982","37.1954","-105.4244","2421.0","SAN LUIS 1 S, CO US","4.2","","4.2","0","77","0","42","0","","","","","28","0","226","0","29","0","105","0","0","0","-30.6","0,1229,+","","","","","24.9",",0,0828,","30.6","0,0722,","-2.2","0,0929","-2.2","0,0929","-7.2","0,1002","-7.2","0,1002","-8.9","0,1006","-1.7","0,0609","-2.2","0,0518","-5.0","0,0516","-7.2","0,0508","-10.6","0,0425","4755.9","","4755.9","0","313.2",",0","","","4.69","0","13.35","0","-3.98","0"
"USC00057430","1983","37.1954","-105.4244","2421.0","SAN LUIS 1 S, CO US","2.7","","2.7","0","79","0","38","0","28","","","","32","0","225","0","35","0","105","0","0","0","-31.1","0,1229,","102",",0,1119,+","","","13.5",",0,0726,","29.4","0,0709,+","-8.3","0,0921","-8.3","0,0921","-8.3","0,0921","-8.3","0,0921","-8.9","0,1016","-3.3","0,0614","-3.3","0,0614","-8.3","0,0518","-8.3","0,0518","-8.9","0,0415","5031.7","","5031.7","0","260.7",",0","","","4.46","0","13.35","0","-4.43","0"
"USC00057430","1984","37.1954","-105.4244","2421.0","SAN LUIS 1 S, CO US","0.9","","0.9","0","77","0","40","0","","","","","68","0","212","0","39","0","125","0","0","0","-32.8","0,0119,","","","","","22.4",",0,0731,","28.9","0,0722,","0.0","0,0909","-5.0","0,0930","-5.0","0,0930","-7.2","0,1015","-8.9","0,1018","-1.1","0,0610","-2.8","0,0509","-10.0","0,0508","-10.0","0,0508","-10.0","0,0508","5190.7","","5190.7","0","321.6",",0","","","3.89","0","12.97","0","-5.20","0"
"USC00057430","1985","37.1954","-105.4244","2421.0","SAN LUIS 1 S, CO US","3.7","","3.7","0","75","0","37","0","","","","","32","0","213","0","35","0","111","0","0","0","-29.4","0,0202,+","","","","","20.3",",0,0312,","30.0","0,0609,","0.0","0,0813","-3.9","0,0913","-5.0","0,0923","-6.7","0,0926","-10.0","0,1015","0.0","0,0627","-2.2","0,0515","-5.0","0,0514","-11.1","0,0423","-11.1","0,0423","4611.6","","4611.6","0","336.0",",0","","","4.75","0","13.82","0","-4.31","0"
"USC00057430","1986","37.1954","-105.4244","2421.0","SAN LUIS 1 S, CO US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4607.3","","4607.3","0","","","","","","","","","",""
"USC00057430","1987","37.1954","-105.4244","2421.0","SAN LUIS 1 S, CO US","1.1","","1.1","0","84","0","31","0","","","","","39","0","255","0","37","0","128","0","0","0","-27.8","0,0121,","","","","","10.2",",0,0503,","29.4","0,0725,+","-1.1","0,0909","-2.2","0,0911","-5.0","0,0928","-7.2","0,1018","-9.4","0,1020","0.0","0,0711","-2.2","0,0601","-5.6","0,0517","-9.4","0,0507","-9.4","0,0507","","","","","200.7",",0","","","4.42","0","14.24","0","-5.39","0"
"USC00057430","1988","37.1954","-105.4244","2421.0","SAN LUIS 1 S, CO US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4971.2","","4971.2","","","","","","","","","","",""
"USC00057430","1989","37.1954","-105.4244","2421.0","SAN LUIS 1 S, CO US","","","","","","","","","","","","","","","","","35","0","147","0","7","0","","","","","","","","","33.3","0,0705,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.35","0","",""
"USC00057430","1990","37.1954","-105.4244","2421.0","SAN LUIS 1 S, CO US","31.0","","31.0","0","","","","","","","23","0","27","0","219","0","39","0","132","0","8","0","-32.8","0,1224,","","","127",",0,1221,+","","","34.4","0,0627,","0.0","0,1004","-6.7","0,1009","-6.7","0,1009","-6.7","0,1009","-11.1","0,1021","-1.1","0,0620","-3.9","0,0602","-5.6","0,0510","-8.3","0,0317","-9.4","0,0316","4496.2","","4496.2","0","","","1411",",0","5.53","0","14.49","0","-3.43","0"
