"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CGSP","1994","37.8331","-120.5","310.9","GREEN SPRING CALIFORNIA, CA US","820.2","","820.2","U","0","U","12","U","0","U","203","U","90","U","-1.7","U,1208,","40.0","U,0814,","-0.6","U,1118","","","","","","","-0.6","U,0323","","","","","1458.5","","1458.5","U","16.02","U","22.74","U","9.30","U"
"USR0000CGSP","1995","37.8331","-120.5","310.9","GREEN SPRING CALIFORNIA, CA US","759.9","","759.9","U","0","U","1","U","0","U","202","U","65","U","-0.6","U,0117,","40.0","U,0802,+","","","","","","","","","-0.6","U,0117","","","","","1728.1","","1728.1","U","16.71","U","23.08","U","10.34","U"
"USR0000CGSP","1996","37.8331","-120.5","310.9","GREEN SPRING CALIFORNIA, CA US","938.9","","938.9","U","0","U","7","U","0","U","205","U","86","U","-3.3","U,1117,","42.2","U,0810,","-3.3","U,1117","-3.3","U,1117","","","","","0.0","U,0227","","","","","1154.7","","1154.7","U","17.10","U","23.71","U","10.49","U"
"USR0000CGSP","1997","37.8331","-120.5","310.9","GREEN SPRING CALIFORNIA, CA US","877.5","","877.5","U","0","U","12","U","0","U","225","U","74","U","-4.4","U,0113,","41.1","U,0807,","0.0","U,1209","","","","","","","-2.8","U,0114","-2.8","U,0114","-4.4","U,0113","1297.5","","1297.5","U","17.00","U","23.64","U","10.36","U"
"USR0000CGSP","1998","37.8331","-120.5","310.9","GREEN SPRING CALIFORNIA, CA US","709.9","","709.9","U","0","U","14","U","0","U","163","U","63","U","-7.8","U,1221,","43.3","U,0803,","0.0","U,1204","-2.2","U,1205","-7.8","U,1221","-7.8","U,1221","-0.6","U,0307","","","","","1708.7","","1708.7","U","15.26","U","21.45","U","9.06","U"
"USR0000CGSP","1999","37.8331","-120.5","310.9","GREEN SPRING CALIFORNIA, CA US","661.7","","661.7","U","0","U","23","U","0","U","196","U","58","U","-3.3","U,0109,+","40.0","U,0712,","-0.6","U,1122","","","","","","","-1.1","U,0409","-2.2","U,0110","","","1898.1","","1898.1","U","15.45","U","22.34","U","8.56","U"
"USR0000CGSP","2000","37.8331","-120.5","310.9","GREEN SPRING CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1416.3","","1416.3","U","","","","","",""
"USR0000CGSP","2002","37.8331","-120.5","310.9","GREEN SPRING CALIFORNIA, CA US","861.8","","861.8","U","0","U","8","U","0","U","214","U","93","U","-3.3","U,0130,","42.8","U,0710,","-0.6","U,1222","","","","","","","-0.6","U,0131","-3.3","U,0130","","","1282.8","","1282.8","U","16.86","U","23.90","U","9.82","U"
"USR0000CGSP","2003","37.8331","-120.5","310.9","GREEN SPRING CALIFORNIA, CA US","","","","","","","","","0","U","231","U","98","U","","","41.1","U,0729,","","","","","","","","","","","","","","","","","","","","","24.88","U","",""
"USR0000CGSP","2004","37.8331","-120.5","310.9","GREEN SPRING CALIFORNIA, CA US","813.1","","813.1","U","0","U","10","U","0","U","205","U","80","U","-1.7","U,1201,+","40.0","U,0811,","-1.1","U,1129","","","","","","","-1.1","U,0105","","","","","1389.4","","1389.4","U","16.38","U","23.21","U","9.56","U"
