"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00014829","1949","41.5333","-85.7833","253.0","GOSHEN MUNICIPAL AIRPORT, IN US","","","","","","","122","0","75","0","18","","6","0","","","","","","","","","","","","","76",",0,0205,+","76",",0,1201,","60.7",",0,0118,","","","","","","","","","","","","","","","","","","","","","","","","","","","1104.2",",0","306",",0","","","","","","","","","","","","","",""
"USW00014829","1950","41.5333","-85.7833","253.0","GOSHEN MUNICIPAL AIRPORT, IN US","","","","","","","133","0","82","0","69","","26","0","","","","","","","","","","","","","305",",0,0227,+","127",",0,1225,","56.9",",0,0624,","","","","","","","","","","","","","","","","","","","","","","","","","","","1177.0",",0","1421",",0","","","","","","","","","","","","","",""
"USW00014829","1951","41.5333","-85.7833","253.0","GOSHEN MUNICIPAL AIRPORT, IN US","","","","","","","134","0","83","0","53","","17","0","","","","","","","","","","","","","406",",0,1225,","152",",0,1106,","148.3",",0,0708,","","","","","","","","","","","","","","","","","","","","","","","","","","","1085.7",",0","1135",",0","","","","","","","","","","","","","",""
"USW00014829","1952","41.5333","-85.7833","253.0","GOSHEN MUNICIPAL AIRPORT, IN US","","","","","","","121","0","80","0","25","","8","0","","","","","","","","","","","","","102",",0,1202,","58",",0,0102,","50.0",",0,0708,","","","","","","","","","","","","","","","","","","","","","","","","","","","902.1",",0","389",",0","","","","","","","","","","","","","",""
"USW00014829","1953","41.5333","-85.7833","253.0","GOSHEN MUNICIPAL AIRPORT, IN US","","","","","","","114","0","65","0","27","","13","0","","","","","","","","","","","","","152",",0,0217,","160",",0,0216,","54.1",",0,0802,","","","","","","","","","","","","","","","","","","","","","","","","","","","697.3",",0","690",",0","","","","","","","","","","","","","",""
"USW00014829","1954","41.5333","-85.7833","253.0","GOSHEN MUNICIPAL AIRPORT, IN US","","","","","","","136","0","77","0","38","","15","0","","","","","","","","","","","","","203",",0,0305,+","155",",0,0303,","104.9",",0,1010,","","","","","","","","","","","","","","","","","","","","","","","","","","","1294.0",",0","1085",",0","","","","","","","","","","","","","",""
"USW00014829","1955","41.5333","-85.7833","253.0","GOSHEN MUNICIPAL AIRPORT, IN US","","","","","","","122","0","72","0","48","","14","0","","","","","","","","","","","","","152",",0,0327,","102",",0,1129,","51.3",",0,0806,","","","","","","","","","","","","","","","","","","","","","","","","","","","829.0",",0","814",",0","","","","","","","","","","","","","",""
"USW00014829","1956","41.5333","-85.7833","253.0","GOSHEN MUNICIPAL AIRPORT, IN US","","","","","","","126","0","71","0","51","","13","0","","","","","","","","","","","","","178",",0,0202,","127",",0,1208,+","45.7",",0,0812,","","","","","","","","","","","","","","","","","","","","","","","","","","","763.3",",0","995",",0","","","","","","","","","","","","","",""
"USW00014829","1957","41.5333","-85.7833","253.0","GOSHEN MUNICIPAL AIRPORT, IN US","","","","","","","130","0","74","0","47","","11","0","","","","","","","","","","","","","254",",0,0119,+","239",",0,0407,","50.0",",0,1023,","","","","","","","","","","","","","","","","","","","","","","","","","","","892.6",",0","1029",",0","","","","","","","","","","","","","",""
"USW00014829","1958","41.5333","-85.7833","253.0","GOSHEN MUNICIPAL AIRPORT, IN US","","","","","","","107","0","61","0","63","","11","0","","","","","","","","","","","","","203",",0,0220,+","127",",0,1208,","61.5",",0,0820,","","","","","","","","","","","","","","","","","","","","","","","","","","","717.0",",0","666",",0","","","","","","","","","","","","","",""
"USW00014829","1959","41.5333","-85.7833","253.0","GOSHEN MUNICIPAL AIRPORT, IN US","","","","","","","133","0","87","0","59","","15","0","","","","","","","","","","","","","203",",0,0128,+","183",",0,0121,","47.8",",0,0928,","","","","","","","","","","","","","","","","","","","","","","","","","","","979.8",",0","951",",0","","","","","","","","","","","","","",""
"USW00014829","1960","41.5333","-85.7833","253.0","GOSHEN MUNICIPAL AIRPORT, IN US","","","","","","","120","0","64","0","61","","10","0","","","","","","","","","","","","","229",",0,0317,","178",",0,0225,","47.5",",0,0112,","","","","","","","","","","","","","","","","","","","","","","","","","","","793.7",",0","1032",",0","","","","","","","","","","","","","",""
"USW00014829","1997","41.5333","-85.7833","253.0","GOSHEN MUNICIPAL AIRPORT, IN US","","","239.0","","239.0","M","","","","","","","","","9","M","145","M","42","M","114","M","5","M","-25.0","M,0119,","","","","","","","33.9","M,0726,","-0.6","M,1019","-4.4","M,1022","-4.4","M,1022","-6.7","M,1112","-8.9","M,1115","-0.6","M,0428","-2.2","M,0426","-5.0","M,0418","-8.3","M,0410","-10.0","M,0316","","","","","","","","","8.50","M","13.69","M","3.32","M","","","","","","","",""
"USW00014829","1998","41.5333","-85.7833","253.0","GOSHEN MUNICIPAL AIRPORT, IN US","","","392.4","","392.4","W","","","","","","","","","0","W","110","W","22","W","145","W","6","W","-16.1","W,0113,","","","","","","","34.4","W,0625,","-3.3","W,1022","-3.3","W,1022","-4.4","W,1104","-7.2","W,1213","-14.4","W,1222","-1.1","W,0428","-3.3","W,0406","-6.7","M,0324","-6.7","M,0324","-8.9","M,0315","3247.6","","3247.6","W","","","","","11.22","W","16.57","W","5.87","W","","","","","","","",""
"USW00014829","1999","41.5333","-85.7833","253.0","GOSHEN MUNICIPAL AIRPORT, IN US","4.1","W","","","","","121","W","61","W","","","","","","","","","","","","","","","","","","","","","43.4",",W,0701,","","","","","","","","","","","","","","","","","","","","","","","","","","","676.6",",W","","","","","","","","","230","W","240","W","19.2","W","24.1","W"
"USW00014829","2000","41.5333","-85.7833","253.0","GOSHEN MUNICIPAL AIRPORT, IN US","4.0","W","329.8","","329.8","W","130","W","71","W","","","","","22","W","133","W","57","W","147","W","4","W","-26.1","W,1223,","","","","","37.8",",W,1109,","32.8","W,0815,","0.0","W,1008","-3.3","W,1030","-6.1","W,1119","-9.4","W,1121","-9.4","W,1121","0.0","W,0428","-2.2","W,0412","-4.4","W,0405","-6.7","W,0312","-11.1","W,0221","3261.6","","3261.6","W","791.1",",W","","","9.19","W","14.70","W","3.67","W","200","W","190","W","16.1","W","21.0","W"
"USW00014829","2001","41.5333","-85.7833","253.0","GOSHEN MUNICIPAL AIRPORT, IN US","4.1","W","343.6","","343.6","W","162","W","75","W","","","","","2","W","125","W","45","W","135","W","10","W","-20.6","W,0109,+","","","","","92.7",",W,0822,","35.0","W,0808,","-1.7","W,1007","-2.2","W,1028","-6.7","W,1211","-6.7","W,1211","-10.6","W,1225","-2.8","W,0419","-2.8","W,0419","-4.4","W,0417","-7.8","W,0328","-10.0","W,0326","3736.1","","3736.1","W","981.7",",W","","","10.13","W","15.44","W","4.82","W","260","W","360","W","19.7","W","65.7","W"
