"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00014848","1894","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","515.7","","515.7","6","","","","","","","","","4","6","112","6","39","6","142","6","24","6","-23.3","6,0125,","","","","","","","35.0","6,0718,+","-1.1","6,1015","-2.2","6,1109","-9.4","6,1111","-9.4","6,1111","-9.4","6,1111","0.0","6,0423","-2.2","6,0408","-4.4","6,0330","-11.7","6,0327","-11.7","6,0327","","","","","","","","","10.66","6","15.43","6","5.90","6","","","","","","","","","","","","","","","",""
"USW00014848","1895","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","","","","","118","6","75","6","","","","","20","6","136","6","57","6","153","6","41","6","-25.6","6,0208,","","","","","63.5",",6,1219,","36.1","6,0816,+","-5.0","6,1020","-5.0","6,1020","-5.0","6,1020","-8.3","6,1030","-12.2","6,1121","-1.1","6,0521","-3.3","6,0415","-6.7","6,0321","-6.7","6,0321","-11.7","6,0316","","","","","709.8",",6","","","9.24","6","15.23","6","3.25","6","","","","","","","","","","","","","","","",""
"USW00014848","1897","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","508.8","","508.8","6","","","","","","","","","10","6","127","6","46","6","150","6","34","6","-30.0","6,0125,","","","","","","","38.3","6,0708,","0.0","6,0921","-3.3","6,1117","-5.6","6,1123","-7.8","6,1124","-10.0","6,1130","-0.6","6,0529","-9.4","6,0420","-9.4","6,0420","-9.4","6,0420","-9.4","6,0420","3679.5","","3679.5","6","","","","","9.98","6","15.65","6","4.31","6","","","","","","","","","","","","","","","",""
"USW00014848","1898","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","517.4","","517.4","6","141","6","88","6","","","","","3","6","117","6","35","6","150","6","27","6","-22.8","6,0203,","","","","","44.5",",6,1110,","38.3","6,0724,","-0.6","6,1027","-3.9","6,1111","-11.1","6,1112","-11.1","6,1112","-11.1","6,1112","-2.8","6,0408","-2.8","6,0408","-4.4","6,0406","-8.9","6,0405","-8.9","6,0405","3114.2","","3114.2","6","973.9",",6","","","10.50","6","15.76","6","5.23","6","","","","","","","","","","","","","","","",""
"USW00014848","1899","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","572.0","","572.0","6","114","6","74","6","","","","","12","6","120","6","52","6","156","6","27","6","-28.9","6,0210,+","","","","","36.1",",6,1027,","35.6","6,0907,+","-0.6","6,0930","-2.8","6,1106","-5.6","6,1204","-15.6","6,1205","-15.6","6,1205","-0.6","6,0416","-2.8","6,0409","-4.4","6,0405","-9.4","6,0402","-9.4","6,0402","3649.0","","3649.0","6","807.4",",6","","","10.22","6","15.41","6","5.03","6","","","","","","","","","","","","","","","",""
"USW00014848","1900","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","","","","","","","","","","","","","11","6","140","6","44","6","167","6","18","6","-22.8","6,0201,","","","","","","","33.9","6,0910,+","-1.1","6,1017","-2.8","6,1108","-5.0","6,1109","-10.0","6,1114","-10.0","6,1114","-0.6","6,0503","-2.2","6,0412","-5.0","6,0410","-8.9","6,0326","-8.9","6,0326","3448.4","","3448.4","6","","","","","10.37","6","15.88","6","4.86","6","","","","","","","","","","","","","","","",""
"USW00014848","1901","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","588.4","","588.4","6","","","","","","","","","16","6","140","6","54","6","143","6","42","6","-26.1","6,1221,","","","","","","","39.4","6,0721,","-1.7","6,1005","-7.8","6,1104","-7.8","6,1104","-7.8","6,1104","-10.0","6,1204","-0.6","6,0514","-3.3","6,0420","-5.6","6,0329","-6.7","6,0322","-8.9","6,0316","","","","","","","","","9.55","6","15.24","6","3.86","6","","","","","","","","","","","","","","","",""
"USW00014848","1902","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","341.9","","341.9","6","","","","","","","","","12","6","123","6","52","6","136","6","4","6","-23.9","6,0205,","","","","","","","32.8","6,0717,","-0.6","6,1107","-2.8","6,1126","-6.1","6,1128","-11.1","6,1207","-11.1","6,1207","-0.6","6,0510","-3.3","6,0415","-7.8","6,0408","-7.8","6,0408","-9.4","6,0319","3579.7","","3579.7","6","","","","","9.68","6","15.01","6","4.33","6","","","","","","","","","","","","","","","",""
"USW00014848","1903","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","345.0","","345.0","6","138","6","82","6","","","","","17","6","137","6","61","6","142","6","10","6","-23.3","6,1214,","","","","","88.9",",6,0607,","33.9","6,0709,","0.0","6,1024","-2.2","6,1027","-5.6","6,1106","-10.6","6,1118","-10.6","6,1118","-2.8","6,0501","-2.8","6,0501","-6.1","6,0405","-6.7","6,0404","-9.4","6,0302","3353.6","","3353.6","6","1075.8",",6","","","9.04","6","14.67","6","3.40","6","","","","","","","","","","","","","","","",""
"USW00014848","1904","41.7072","-86.3163","235.6","SOUTH BEND AIRPORT, IN US","","","299.3","","299.3","6","138","6","72","6","","","","","28","6","151","6","67","6","139","6","4","6","-23.9","6,0103,","","","","","38.1",",6,0121,","34.4","6,0718,","0.0","6,1007","-2.8","6,1027","-6.7","6,1111","-6.7","6,1111","-10.0","6,1204","-1.1","6,0516","-5.6","6,0421","-5.6","6,0421","-7.8","6,0420","-8.9","6,0328","4310.8","","4310.8","6","799.7",",6","","","7.62","6","13.22","6","2.03","6","","","","","","","","","","","","","","","",""
