"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CDIA","1999","37.3292","-121.2939","563.9","DIABLO GRANDE CALIFORNIA, CA US","667.0","","667.0","U","0","U","3","U","0","U","189","U","30","U","-1.1","U,0108,","38.3","U,0630,","","","","","0.0","U,0409","","","","","","","15.62","U","21.23","U","10.00","U"
"USR0000CDIA","2001","37.3292","-121.2939","563.9","DIABLO GRANDE CALIFORNIA, CA US","930.2","","930.2","U","0","U","1","U","0","U","200","U","68","U","0.0","U,0403,","40.6","U,0703,","","","","","0.0","U,0403","","","1612.2","","1612.2","U","16.67","U","22.23","U","11.11","U"
"USR0000CDIA","2002","37.3292","-121.2939","563.9","DIABLO GRANDE CALIFORNIA, CA US","772.8","","772.8","U","0","U","8","U","0","U","182","U","55","U","-2.2","U,0129,","40.6","U,0710,","","","","","0.0","U,0317","-2.2","U,0129","1571.8","","1571.8","U","16.11","U","21.59","U","10.64","U"
"USR0000CDIA","2003","37.3292","-121.2939","563.9","DIABLO GRANDE CALIFORNIA, CA US","932.5","","932.5","U","0","U","1","U","0","U","176","U","62","U","0.0","U,1227,","38.9","U,0729,","0.0","U,1227","","","","","","","1553.3","","1553.3","U","16.50","U","22.01","U","11.00","U"
"USR0000CDIA","2004","37.3292","-121.2939","563.9","DIABLO GRANDE CALIFORNIA, CA US","834.5","","834.5","U","0","U","2","U","0","U","192","U","60","U","-0.6","U,0104,","38.3","U,0812,","","","","","-0.6","U,0104","","","1411.1","","1411.1","U","16.44","U","21.87","U","11.00","U"
"USR0000CDIA","2005","37.3292","-121.2939","563.9","DIABLO GRANDE CALIFORNIA, CA US","790.6","","790.6","U","0","U","2","U","0","U","183","U","60","U","-1.1","U,0114,","40.0","U,0717,","","","","","-1.1","U,0114","","","1691.4","","1691.4","U","16.47","U","21.72","U","11.22","U"
"USR0000CDIA","2006","37.3292","-121.2939","563.9","DIABLO GRANDE CALIFORNIA, CA US","927.9","","927.9","U","0","U","4","U","0","U","176","U","64","U","-1.1","U,0311,","41.7","U,0726,","","","","","-1.1","U,0311","","","1517.1","","1517.1","U","16.38","U","21.65","U","11.11","U"
"USR0000CDIA","2007","37.3292","-121.2939","563.9","DIABLO GRANDE CALIFORNIA, CA US","776.5","","776.5","U","0","U","8","U","0","U","195","U","43","U","-2.2","U,0113,","38.9","U,0706,","0.0","U,1227","","","0.0","U,0227","-2.2","U,0113","1366.7","","1366.7","U","16.57","U","21.78","U","11.37","U"
"USR0000CDIA","2008","37.3292","-121.2939","563.9","DIABLO GRANDE CALIFORNIA, CA US","995.8","","995.8","U","0","U","1","U","0","U","189","U","59","U","0.0","U,0331,","42.2","U,0709,","","","","","0.0","U,0331","","","1635.9","","1635.9","U","16.74","U","21.58","U","11.90","U"
"USR0000CDIA","2009","37.3292","-121.2939","563.9","DIABLO GRANDE CALIFORNIA, CA US","907.1","","907.1","U","0","U","4","U","0","U","176","U","64","U","-2.8","U,1208,","39.4","U,0719,+","-0.6","U,1207","-2.8","U,1208","0.0","U,0101","","","1496.1","","1496.1","U","16.44","U","21.42","U","11.46","U"
"USR0000CDIA","2010","37.3292","-121.2939","563.9","DIABLO GRANDE CALIFORNIA, CA US","747.9","","747.9","U","0","U","1","U","0","U","165","U","47","U","0.0","U,1124,","40.0","U,0825,","0.0","U,1124","","","","","","","1729.6","","1729.6","U","15.61","U","20.50","U","10.72","U"
"USR0000CDIA","2011","37.3292","-121.2939","563.9","DIABLO GRANDE CALIFORNIA, CA US","713.1","","713.1","U","0","U","6","U","0","U","159","U","52","U","-2.2","U,0226,+","36.7","U,0706,+","","","","","-2.2","U,0226","-2.2","U,0226","1796.3","","1796.3","U","15.44","U","20.53","U","10.35","U"
"USR0000CDIA","2012","37.3292","-121.2939","563.9","DIABLO GRANDE CALIFORNIA, CA US","957.5","","957.5","U","0","U","1","U","0","U","184","U","63","U","-0.6","U,0117,","38.9","U,0812,+","","","","","-0.6","U,0117","","","1510.7","","1510.7","U","16.80","U","21.90","U","11.71","U"
"USR0000CDIA","2013","37.3292","-121.2939","563.9","DIABLO GRANDE CALIFORNIA, CA US","842.6","","842.6","U","0","U","9","U","0","U","203","U","49","U","-1.7","U,1209,+","40.6","U,0704,","-1.1","U,1205","","","-1.1","U,0114","","","1403.4","","1403.4","U","17.03","U","22.27","U","11.80","U"
"USR0000CDIA","2014","37.3292","-121.2939","563.9","DIABLO GRANDE CALIFORNIA, CA US","974.2","","974.2","U","0","U","0","U","0","U","202","U","55","U","1.1","U,1230,+","38.3","U,0801,","","","","","","","","","1099.6","","1099.6","U","17.99","U","22.97","U","13.00","U"
"USR0000CDIA","2015","37.3292","-121.2939","563.9","DIABLO GRANDE CALIFORNIA, CA US","888.7","","888.7","U","0","U","2","U","0","U","200","U","51","U","0.0","U,1227,+","38.3","U,0910,","0.0","U,1227","","","0.0","U,0101","","","1120.8","","1120.8","U","17.34","U","22.55","U","12.13","U"
"USR0000CDIA","2016","37.3292","-121.2939","563.9","DIABLO GRANDE CALIFORNIA, CA US","886.7","","886.7","U","0","U","2","U","0","U","188","U","62","U","0.0","U,1225,+","38.3","U,0730,","0.0","U,1225","","","0.0","U,0101","","","1363.8","","1363.8","U","17.09","U","22.06","U","12.12","U"
"USR0000CDIA","2017","37.3292","-121.2939","563.9","DIABLO GRANDE CALIFORNIA, CA US","1033.3","","1033.3","U","0","U","2","U","0","U","183","U","74","U","-1.1","U,0106,","40.0","U,0802,","","","","","-1.1","U,0106","","","1526.5","","1526.5","U","17.24","U","22.19","U","12.28","U"
