"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1INPT0098","2010","41.4896","-87.058","251.2","VALPARAISO 0.9 NNW, IN US","148","N","85","N","","","","","","","","","44.2",",N,0725,","998.0",",N","",""
"US1INPT0098","2011","41.4896","-87.058","251.2","VALPARAISO 0.9 NNW, IN US","162","N","103","N","52","","14","N","483",",N,0209,","241",",N,0112,","72.1",",N,0702,","1331.3",",N","1358",",N"
"US1INPT0098","2012","41.4896","-87.058","251.2","VALPARAISO 0.9 NNW, IN US","145","N","72","N","34","","11","N","203",",N,0121,","168",",N,0121,","55.1",",N,0719,","909.7",",N","806",",N"
