"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00024139","1949","46.6383","-113.1761","1219.2","DRUMMOND AVIATION, MT US","23.4","","23.4","X","91","X","32","X","96","","10","X","47","X","233","X","68","X","118","X","9","X","-37.8","X,0125,","229",",X,0219,","124",",X,0219,","15.5",",X,0516,","35.6","X,0806,+","0.0","X,0814","-2.2","X,0912","-6.1","X,0913","-6.7","X,1003","-10.0","X,1014","-1.1","X,0728","-3.3","X,0630","-7.2","X,0506","-7.2","X,0506","-8.9","X,0426","","","","","267.1",",X","765",",X","3.50","X","12.21","X","-5.20","X"
"USW00024139","1950","46.6383","-113.1761","1219.2","DRUMMOND AVIATION, MT US","4.2","","4.2","X","129","X","35","X","109","","17","X","38","X","247","X","56","X","105","X","4","X","-36.7","X,0131,+","254",",X,1118,","112",",X,1111,","33.5",",X,0811,","35.0","X,0903,","0.0","X,0826","-5.6","X,0911","-5.6","X,0911","-6.7","X,0930","-11.7","X,1001","-1.1","X,0712","-2.2","X,0603","-8.3","X,0525","-8.3","X,0525","-11.1","X,0430","5350.8","","5350.8","X","338.3",",X","1201",",X","3.24","X","11.43","X","-4.94","X"
"USW00024139","1951","46.6383","-113.1761","1219.2","DRUMMOND AVIATION, MT US","","","","","106","X","30","X","130","","22","X","45","X","232","X","","","","","","","-33.9","X,0129,","305",",X,1231,+","203",",X,1213,","20.6",",X,0709,","","","-0.6","X,0831","-2.8","X,0904","-5.0","X,0915","-8.9","X,1016","-8.9","X,1016","-0.6","X,0629","-4.4","X,0603","-4.4","X,0603","-6.7","X,0529","-8.9","X,0425","5448.6","","5448.6","X","259.0",",X","1556",",X","","","","","-4.90","X"
"USW00024139","1952","46.6383","-113.1761","1219.2","DRUMMOND AVIATION, MT US","8.1","","8.1","X","77","X","26","X","133","","14","X","45","X","251","X","71","X","112","X","5","X","-32.2","X,0101,","330",",X,0321,+","112",",X,1115,","21.8",",X,0515,","33.9","X,0731,","-0.6","X,0826","-2.2","X,0908","-4.4","X,0914","-7.2","X,1006","-12.2","X,1014","0.0","X,0722","-2.2","X,0707","-4.4","X,0613","-8.9","X,0422","-8.9","X,0422","","","","","223.7",",X","781",",X","3.58","X","12.51","X","-5.36","X"
"USW00024139","1953","46.6383","-113.1761","1219.2","DRUMMOND AVIATION, MT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4899.2","","4899.2","X","","","","","","","","","",""
"USW00024139","1954","46.6383","-113.1761","1219.2","DRUMMOND AVIATION, MT US","23.4","","23.4","X","105","X","33","X","56","","9","X","22","X","240","X","39","X","95","X","8","X","-39.4","X,0120,","356",",X,0122,+","191",",X,0115,","20.8",",X,0530,","33.9","X,0704,","-1.1","X,0827","-2.2","X,0906","-5.0","X,0930","-6.7","X,1002","-8.9","X,1026","-3.3","X,0618","-3.3","X,0618","-4.4","X,0529","-10.0","X,0502","-10.0","X,0502","","","","","240.1",",X","770",",X","4.54","X","12.68","X","-3.60","X"
"USW00024139","1955","46.6383","-113.1761","1219.2","DRUMMOND AVIATION, MT US","36.3","","36.3","X","118","X","44","X","121","","19","X","51","X","245","X","88","X","93","X","10","X","-37.8","X,1116,","305",",X,1220,+","330",",X,0414,","17.0",",X,0414,","34.4","X,0716,","0.0","X,0821","-2.8","X,0919","-4.4","X,0922","-6.7","X,1007","-9.4","X,1023","0.0","X,0708","-3.9","X,0601","-4.4","X,0509","-7.8","X,0428","-10.0","X,0416","5349.0","","5349.0","X","361.2",",X","1669",",X","2.62","X","10.55","X","-5.31","X"
"USW00024139","1956","46.6383","-113.1761","1219.2","DRUMMOND AVIATION, MT US","19.8","","19.8","X","87","X","32","X","93","","15","X","35","X","236","X","62","X","109","X","5","X","-37.2","X,0216,+","229",",X,0205,+","104",",X,0115,","17.3",",X,0616,","32.8","X,0723,+","-0.6","X,0831","-2.2","X,0904","-4.4","X,0906","-8.9","X,1014","-8.9","X,1014","-1.7","X,0630","-3.9","X,0506","-6.7","X,0430","-6.7","X,0430","-10.6","X,0406","5597.7","","5597.7","X","236.9",",X","775",",X","3.92","X","12.15","X","-4.31","X"
"USW00024139","1957","46.6383","-113.1761","1219.2","DRUMMOND AVIATION, MT US","14.1","","14.1","X","84","X","30","X","83","","16","X","28","X","223","X","50","X","112","X","5","X","-44.4","X,0126,","305",",X,0208,+","102",",X,0918,","30.5",",X,0520,","34.4","X,0804,","-0.6","X,0825","-3.3","X,0910","-6.7","X,0919","-6.7","X,0919","-10.0","X,1022","-1.1","X,0718","-3.9","X,0427","-8.9","X,0416","-8.9","X,0416","-8.9","X,0416","5238.4","","5238.4","X","224.3",",X","1072",",X","4.13","X","12.12","X","-3.86","X"
"USW00024139","1958","46.6383","-113.1761","1219.2","DRUMMOND AVIATION, MT US","9.2","","9.2","X","108","X","40","X","64","","13","X","11","X","229","X","39","X","115","X","4","X","-24.4","X,1117,","127",",X,0216,+","102",",X,1204,","16.8",",X,0703,","33.3","X,0816,","0.0","X,0805","-5.6","X,0903","-5.6","X,0903","-6.7","X,0930","-11.1","X,1022","-0.6","X,0715","-2.2","X,0629","-5.6","X,0430","-6.7","X,0425","-12.8","X,0317","4700.9","","4700.9","X","273.5",",X","890",",X","5.39","X","13.44","X","-2.67","X"
