"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00388786","1950","34.60521","-81.66293","146.3","UNION 8 S, SC US","863.6","","863.6","0","116","0","68","0","0","","0","0","0","0","80","0","1","0","227","0","58","0","-12.8","0,1219,","0",",0,1231,+","0","T,0,1230,","70.1",",0,1020,","37.8","0,0628,+","-3.3","0,1106","-3.3","0,1106","-6.1","0,1113","-7.8","0,1118","-10.6","0,1125","-1.7","0,0422","-5.0","0,0416","-5.0","0,0416","-6.7","0,0310","","","","","","","863.8",",0","0","T,0","15.90","0","23.17","0","8.64","0","",""
"USC00388786","1951","34.60521","-81.66293","146.3","UNION 8 S, SC US","948.9","","948.9","0","108","0","65","0","0","","0","0","0","0","88","0","0","0","226","0","83","0","-12.8","0,1217,+","0",",0,1231,+","0","T,0,0503,","57.9",",0,1221,","39.4","0,0809,+","-1.7","0,1103","-2.8","0,1105","-6.7","0,1109","-6.7","0,1109","-12.2","0,1120","-1.7","0,0418","-2.2","0,0327","-4.4","0,0212","-7.8","0,0211","-10.6","0,0208","1839.4","","1839.4","0","907.1",",0","0","T,0","15.90","0","23.46","0","8.32","0","27831","0"
"USC00388786","1952","34.60521","-81.66293","146.3","UNION 8 S, SC US","","","","","100","0","68","0","0","","0","0","0","0","89","0","0","0","227","0","80","0","-11.7","0,0130,","0",",0,1231,+","0",",0,1231,+","69.9",",0,0304,","42.2","0,0729,","-3.9","0,1021","-3.9","0,1021","-6.1","0,1022","-7.2","0,1030","-10.6","0,1215","-2.2","0,0408","-2.2","0,0408","-4.4","0,0309","-6.7","0,0208","-10.6","0,0131","","","","","926.3",",0","0",",0","16.05","0","23.83","0","8.27","0","25438","0"
"USC00388786","1953","34.60521","-81.66293","146.3","UNION 8 S, SC US","1016.0","","1016.0","0","110","0","78","0","0","","0","0","0","0","81","0","0","0","231","0","82","0","-15.0","0,1218,","0","T,0,0105,","0","T,0,0913,+","58.4",",0,0501,","39.4","0,0804,","0.0","0,1030","-5.6","0,1107","-5.6","0,1107","-9.4","0,1129","-9.4","0,1129","-1.1","0,0422","-2.2","0,0417","-5.0","0,0219","-8.3","0,0218","","","1753.6","","1753.6","0","1230.3",",0","0","T,0","16.49","0","24.00","0","8.98","0","23522","0"
"USC00388786","1954","34.60521","-81.66293","146.3","UNION 8 S, SC US","1060.6","","1060.6","0","86","0","56","0","0","","0","0","0","0","105","0","0","0","215","0","101","0","-11.1","0,1207,","0","T,0,0124,","0","T,0,0124,","71.4",",0,0116,","41.7","0,0818,","-1.1","0,1016","-2.2","0,1021","-4.4","0,1031","-8.3","0,1103","-11.1","0,1207","-1.1","0,0402","-6.7","0,0322","-6.7","0,0322","-6.7","0,0322","-9.4","0,0307","1751.6","","1751.6","0","838.6",",0","0","T,0","15.96","0","23.91","0","8.02","0","25876","0"
"USC00388786","1955","34.60521","-81.66293","146.3","UNION 8 S, SC US","922.2","","922.2","0","99","0","67","0","0","","1","0","0","0","86","0","0","0","235","0","66","0","-13.9","0,0213,","0",",0,1231,+","89",",0,0124,","51.8",",0,0414,","37.8","0,0704,","-2.2","0,1025","-2.2","0,1025","-4.4","0,1101","-8.9","0,1129","-8.9","0,1129","-1.1","0,0409","-2.2","0,0401","-5.6","0,0330","-8.9","0,0327","-8.9","0,0327","1863.6","","1863.6","0","883.9",",0","102",",0","15.71","0","23.21","0","8.21","0","",""
"USC00388786","1956","34.60521","-81.66293","146.3","UNION 8 S, SC US","","","","","100","0","68","0","0","","0","0","0","0","82","0","0","0","210","0","77","0","-10.0","0,1125,+","0",",0,1231,+","0",",0,1231,+","104.9",",0,0926,","40.0","0,0729,","-5.0","0,1110","-5.0","0,1110","-5.0","0,1110","-7.8","0,1123","-10.0","0,1125","-3.9","0,0421","-3.9","0,0421","-7.2","0,0325","-7.2","0,0325","-10.0","0,0115","","","","","1059.3",",0","0",",0","16.00","0","23.28","0","8.73","0","24021","0"
"USC00388786","1957","34.60521","-81.66293","146.3","UNION 8 S, SC US","","","","","134","0","88","0","0","","0","0","0","0","64","0","2","0","203","0","56","0","-12.8","0,0119,","0",",0,1231,+","0",",0,1231,+","92.5",",0,1118,","37.8","0,0903,+","-0.6","0,1020","-2.2","0,1028","-4.4","0,1029","-6.7","0,1111","-12.2","0,1212","0.0","0,0416","-2.2","0,0410","-6.1","0,0310","-6.7","0,0218","-10.6","0,0120","","","","","1305.1",",0","0",",0","15.86","0","22.57","0","9.15","0","19522","0"
"USC00388786","1958","34.60521","-81.66293","146.3","UNION 8 S, SC US","879.5","","879.5","0","113","0","76","0","12","","6","0","0","0","96","0","4","0","210","0","68","0","-16.1","0,0218,","76",",0,1211,+","76",",0,1211,","46.5",",0,0416,","37.8","0,0811,","-1.1","0,1028","-2.2","0,1029","-5.6","0,1201","-6.7","0,1207","-9.4","0,1208","0.0","0,0412","-4.4","0,0322","-4.4","0,0322","-7.2","0,0223","-11.1","0,0221","2133.4","","2133.4","0","1034.7",",0","274",",0","14.86","0","22.06","0","7.66","0","19106","0"
"USC00388786","1959","34.60521","-81.66293","146.3","UNION 8 S, SC US","948.2","","948.2","0","111","0","78","0","0","","0","0","0","0","71","0","1","0","203","0","54","0","-14.4","0,0118,+","0",",0,1231,+","0",",0,1231,+","117.6",",0,0930,","37.8","0,0701,+","0.0","0,1103","-2.2","0,1109","-5.6","0,1119","-8.9","0,1130","-8.9","0,1130","-1.1","0,0405","-2.2","0,0323","-6.1","0,0319","-7.2","0,0222","-10.0","0,0221","1826.4","","1826.4","0","1456.7",",0","0",",0","16.05","0","22.69","0","9.41","0","18640","0"
"USC00388786","1960","34.60521","-81.66293","146.3","UNION 8 S, SC US","916.2","","916.2","0","108","0","77","0","","","4","0","0","0","94","0","2","0","213","0","62","0","-12.8","0,0306,","","","147",",0,0311,","78.5",",0,0330,","36.1","0,0808,","-0.6","0,1025","-5.6","0,1108","-5.6","0,1108","-9.4","0,1202","-9.4","0,1202","-3.9","0,0411","-3.9","0,0411","-5.0","0,0323","-7.2","0,0314","-12.8","0,0306","1986.8","","1986.8","0","1450.7",",0","359",",0","15.21","0","21.82","0","8.60","0","17223","0"
"USC00388786","1961","34.60521","-81.66293","146.3","UNION 8 S, SC US","807.8","","807.8","0","110","0","78","0","0","","1","0","0","0","82","0","2","0","219","0","51","0","-14.4","0,0122,","0",",0,1231,+","38",",0,0126,","56.1",",0,0621,","35.6","0,0802,+","-3.3","0,1027","-3.3","0,1027","-4.4","0,1109","-7.2","0,1130","-8.9","0,1229","0.0","0,0419","-2.8","0,0408","-5.0","0,0211","-7.8","0,0206","-14.4","0,0122","1865.7","","1865.7","0","1299.1",",0","38",",0","15.47","0","22.45","0","8.48","0","14738","0"
"USC00388786","1962","34.60521","-81.66293","146.3","UNION 8 S, SC US","987.7","","987.7","0","104","0","76","0","0","","2","0","1","0","82","0","3","0","215","0","72","0","-17.8","0,1213,","0",",0,1231,+","51",",0,0101,","82.3",",0,0917,","37.8","0,0716,","-2.2","0,1025","-2.2","0,1025","-6.1","0,1027","-7.2","0,1210","-13.3","0,1212","0.0","0,0422","-2.8","0,0417","-6.1","0,0318","-9.4","0,0211","-9.4","0,0211","1745.0","","1745.0","0","1266.9",",0","89",",0","15.84","0","22.56","0","9.11","0","",""
