"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00400884","1916","35.31667","-89.75","91.4","BOLTON, TN US","80","6","75","6","","","","","0","6","100","6","-16.7","6,1216,","","","","","50.8",",6,0809,","-1.7","6,1021","-2.2","6,1022","-8.9","6,1114","-8.9","6,1114","-8.9","6,1114","-0.6","6,0324","-3.9","6,0318","-4.4","6,0317","-7.2","6,0204","-11.1","6,0118","1114.9",",6","","","8.59","6"
"USC00400884","1918","35.31667","-89.75","91.4","BOLTON, TN US","80","6","63","6","","","","","","","","","","","","","","","122.2",",6,0508,","","","","","","","","","","","","","","","","","","","","","1080.4",",6","","","",""
"USC00400884","1919","35.31667","-89.75","91.4","BOLTON, TN US","89","6","71","6","","","","","","","","","","","","","","","207.0",",6,0317,","","","","","","","","","","","","","","","","","","","","","1601.1",",6","","","",""
"USC00400884","1949","35.31667","-89.75","91.4","BOLTON, TN US","","","","","1","","1","0","","","","","","","76",",0,0131,","89",",0,0131,","","","","","","","","","","","","","","","","","","","","","","","","","89",",0","",""
"USC00400884","1951","35.31667","-89.75","91.4","BOLTON, TN US","","","","","0","","","","","","","","","","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00400884","1952","35.31667","-89.75","91.4","BOLTON, TN US","","","","","0","","0","0","","","","","","","0",",0,1231,+","0","T,0,1202,+","","","","","","","","","","","","","","","","","","","","","","","860.5",",0","0","T,0","",""
"USC00400884","1953","35.31667","-89.75","91.4","BOLTON, TN US","54","0","43","0","0","","0","0","","","","","","","0",",0,1231,+","0","T,0,1107,+","90.2",",0,0721,","","","","","","","","","","","","","","","","","","","","","1348.9",",0","0","T,0","",""
"USC00400884","1955","35.31667","-89.75","91.4","BOLTON, TN US","107","0","73","0","","","","","","","","","","","","","","","68.6",",0,0402,","","","","","","","","","","","","","","","","","","","","","1214.6",",0","","","",""
"USC00400884","1956","35.31667","-89.75","91.4","BOLTON, TN US","100","0","75","0","","","","","","","","","","","","","","","65.3",",0,0130,","","","","","","","","","","","","","","","","","","","","","1141.8",",0","","","",""
"USC00400884","1957","35.31667","-89.75","91.4","BOLTON, TN US","140","0","93","0","0","","0","0","","","","","","","0","T,0,1125,","0","T,0,1125,+","81.3",",0,0922,","","","","","","","","","","","","","","","","","","","","","1761.4",",0","0","T,0","",""
"USC00400884","1958","35.31667","-89.75","91.4","BOLTON, TN US","110","0","73","0","","","","","","","","","","","","","","","88.9",",0,0920,","","","","","","","","","","","","","","","","","","","","","1112.4",",0","","","",""
"USC00400884","1959","35.31667","-89.75","91.4","BOLTON, TN US","108","0","74","0","","","","","","","","","","","","","","","97.8",",0,0214,","","","","","","","","","","","","","","","","","","","","","1287.7",",0","","","",""
"USC00400884","1960","35.31667","-89.75","91.4","BOLTON, TN US","104","0","67","0","","","","","","","","","","","","","","","80.8",",0,0821,","","","","","","","","","","","","","","","","","","","","","1191.7",",0","","","",""
"USC00400884","1961","35.31667","-89.75","91.4","BOLTON, TN US","114","0","84","0","","","","","","","","","","","","","","","76.7",",0,1123,","","","","","","","","","","","","","","","","","","","","","1383.5",",0","","","",""
"USC00400884","1962","35.31667","-89.75","91.4","BOLTON, TN US","107","0","75","0","","","0","0","","","","","","","","","0","T,0,0306,+","88.1",",0,0501,","","","","","","","","","","","","","","","","","","","","","1245.6",",0","89",",0","",""
"USC00400884","1963","35.31667","-89.75","91.4","BOLTON, TN US","75","0","52","0","","","","","","","","","","","","","","","135.9",",0,0526,","","","","","","","","","","","","","","","","","","","","","969.2",",0","","","",""
"USC00400884","1964","35.31667","-89.75","91.4","BOLTON, TN US","108","0","74","0","","","","","","","","","","","","","","","74.4",",0,1211,","","","","","","","","","","","","","","","","","","","","","1451.0",",0","","","",""
