"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00416210","1963","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1748.2","","1748.2","0","59","0","33","0","0","","0","0","0","0","56","0","8","0","259","0","130","0","-12.8","0,0124,","0",",0,1231,+","0",",0,1231,+","102.9",",0,0429,","40.6","0,0828,","-2.2","0,1124","-2.2","0,1124","-6.7","0,1215","-6.7","0,1215","-11.1","0,1223","-1.1","0,0306","-5.0","0,0223","-5.0","0,0223","-7.8","0,0129","-9.4","0,0128","","","","","","","564.9",",0","0",",0","19.09","0","25.89","0","12.28","0","50549","0"
"USC00416210","1964","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","","","","","68","0","48","0","0","","0","0","0","0","56","0","","","","","","","-12.8","0,0114,","0",",0,1231,+","0",",0,1231,+","41.9",",0,0530,","","","-0.6","0,1121","-3.3","0,1122","-4.4","0,1206","-6.7","0,1218","","","0.0","0,0327","-2.2","0,0310","-4.4","0,0222","-8.3","0,0117","-10.6","0,0115","1433.0","","1433.0","0","","","627.3",",0","0",",0","","","","","12.17","0","52699","0"
"USC00416210","1965","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","","","","","74","0","43","0","0","","0","0","0","0","44","0","","","","","","","-7.8","0,0225,+","0",",0,1231,+","0","T,0,0303,+","68.1",",0,0901,","","","0.0","0,1130","","","","","","","","","-1.1","0,0327","-4.4","0,0321","-4.4","0,0321","-7.8","0,0225","","","","","","","","","983.0",",0","0","T,0","","","","","12.66","0","",""
"USC00416210","1966","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1272.4","","1272.4","0","82","0","54","0","0","","0","0","0","0","47","0","2","0","243","0","80","0","-11.1","0,0130,","0",",0,1231,+","0","T,0,0223,","86.1",",0,0812,","38.3","0,0801,","0.0","0,1020","-2.8","0,1102","-6.7","0,1211","-6.7","0,1211","-9.4","0,1224","-1.1","0,0324","-2.2","0,0306","-4.4","0,0217","-7.8","0,0203","-10.6","0,0131","1263.8","","1263.8","0","","","952.7",",0","0","T,0","17.88","0","24.07","0","11.68","0","54387","0"
"USC00416210","1967","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1314.5","","1314.5","0","79","0","49","0","0","","0","0","0","0","52","0","0","0","260","0","72","0","-8.3","0,0207,","0",",0,1231,+","0",",0,1231,+","134.1",",0,1030,","38.9","0,0810,+","-0.6","0,1104","-2.8","0,1222","","","","","","","-3.3","0,0309","-3.3","0,0309","-6.7","0,0208","-6.7","0,0208","","","1244.6","","1244.6","0","","","1085.1",",0","0",",0","18.38","0","24.68","0","12.07","0","59813","0"
"USC00416210","1968","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1232.7","","1232.7","0","110","0","65","0","0","","0","0","0","0","44","0","3","0","240","0","71","0","-8.9","0,0108,+","0",",0,1231,+","0",",0,1231,+","96.5",",0,0510,","36.7","0,0811,+","0.0","0,1109","-2.8","0,1112","-4.4","0,1208","-7.8","0,1231","","","-1.7","0,0323","-2.8","0,0304","-4.4","0,0223","-8.9","0,0108","-8.9","0,0108","1461.2","","1461.2","0","","","1071.9",",0","0",",0","17.74","0","23.47","0","12.01","0","54855","0"
"USC00416210","1969","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1410.5","","1410.5","0","84","0","57","0","0","","0","0","0","0","31","0","1","0","239","0","105","0","-7.8","0,0101,","0",",0,1231,+","0",",0,1231,+","56.1",",0,1206,","40.6","0,0817,+","-2.2","0,1115","-2.2","0,1115","-4.4","0,1231","","","","","0.0","0,0314","-3.3","0,0311","-4.4","0,0309","-6.7","0,0105","","","1374.2","","1374.2","0","","","988.0",",0","0",",0","18.40","0","24.47","0","12.33","0","53814","0"
"USC00416210","1970","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1381.8","","1381.8","0","75","0","45","0","0","","0","0","0","0","47","0","2","0","239","0","93","0","-8.9","0,0109,","0",",0,1231,+","0",",0,1231,+","109.2",",0,0917,","38.9","0,0809,+","-2.2","0,1104","-2.2","0,1104","-5.0","0,1124","","","","","-0.6","0,0322","-3.9","0,0204","-5.0","0,0203","-7.8","0,0110","-8.9","0,0109","1472.6","","1472.6","0","","","742.0",",0","0",",0","18.10","0","24.15","0","12.04","0","57019","0"
"USC00416210","1971","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1381.7","","1381.7","0","81","0","55","0","0","","0","0","0","0","30","0","1","0","272","0","90","0","-9.4","0,0208,","0",",0,1231,+","0",",0,1231,+","58.4",",0,1209,","38.9","0,0717,+","","","","","","","","","","","0.0","0,0308","-2.8","0,0305","-4.4","0,0303","-8.9","0,0209","-8.9","0,0209","1253.4","","1253.4","0","","","888.2",",0","0",",0","18.95","0","25.32","0","12.59","0","58394","0"
"USC00416210","1972","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1488.2","","1488.2","0","79","0","44","0","0","","0","0","0","0","47","0","2","0","259","0","121","0","-9.4","0,0105,","0",",0,1231,+","0",",0,1231,+","74.2",",0,1027,","38.3","0,0626,","0.0","0,1116","-5.0","0,1206","-5.0","0,1206","","","","","-0.6","0,0303","-2.2","0,0209","-6.7","0,0204","-6.7","0,0204","-8.9","0,0116","1049.4","","1049.4","0","","","628.8",",0","0",",0","18.67","0","25.12","0","12.23","0","",""
"USC00416210","1973","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1273.5","","1273.5","0","95","0","67","0","","","","","0","0","35","0","5","0","258","0","80","0","-11.7","0,0112,","","","","","73.7",",0,0604,","36.7","0,0824,+","-1.1","0,1207","-2.2","0,1217","-6.1","0,1220","","","","","-0.6","0,0410","-2.2","0,0216","-6.1","0,0210","-11.1","0,0113","-11.1","0,0113","1571.3","","1571.3","0","","","1261.0",",0","","","18.32","0","24.17","0","12.47","0","56656","0"
"USC00416210","1974","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1297.3","","1297.3","0","80","0","58","0","0","","0","0","0","0","37","0","2","0","255","0","81","0","-8.3","0,0101,","0",",0,1231,+","0",",0,1231,+","227.3",",0,1031,","40.0","0,0723,","-0.6","0,1115","-3.9","0,1130","-5.0","0,1209","","","","","-0.6","0,0325","-5.0","0,0226","-5.0","0,0226","-7.8","0,0102","","","1108.1","","1108.1","0","","","1247.4",",0","0",",0","18.34","0","24.39","0","12.30","0","57958","0"
"USC00416210","1975","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1254.0","","1254.0","0","73","0","55","0","","","0","0","0","0","50","0","0","0","253","0","86","0","-7.8","0,0207,","","","0",",0,1231,+","70.1",",0,0408,","37.2","0,0729,","0.0","0,1113","-3.3","0,1122","-6.7","0,1123","-6.7","0,1123","","","-0.6","0,0403","-2.2","0,0315","-5.0","0,0208","-7.8","0,0207","","","1357.8","","1357.8","0","","","772.3",",0","0",",0","18.05","0","24.20","0","11.90","0","53038","0"
"USC00416210","1976","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1086.6","","1086.6","0","89","0","61","0","0","","0","0","0","0","42","0","2","0","243","0","64","0","-11.7","0,0108,","0",",0,1231,+","0",",0,1231,+","58.7",",0,0526,","37.8","0,0810,+","-1.1","0,1113","-3.9","0,1128","-7.8","0,1129","-7.8","0,1129","-10.0","0,1231","-0.6","0,0223","-3.9","0,0208","-5.0","0,0207","-7.8","0,0110","-10.6","0,0109","1154.7","","1154.7","0","","","1036.4",",0","0",",0","17.39","0","23.60","0","11.18","0","50993","0"
"USC00416210","1977","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1519.2","","1519.2","0","69","0","45","0","0","","0","0","0","0","42","0","5","0","255","0","111","0","-10.0","0,1209,+","0",",0,1231,+","0",",0,1231,+","97.0",",0,0823,","39.4","0,0725,","-3.3","0,1206","-3.3","0,1206","-10.0","0,1209","-10.0","0,1209","-10.0","0,1209","0.0","0,0228","-2.2","0,0207","-8.9","0,0201","-8.9","0,0201","-8.9","0,0201","1676.4","","1676.4","0","","","709.6",",0","0",",0","18.71","0","24.95","0","12.47","0","",""
"USC00416210","1978","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1504.4","","1504.4","0","72","0","37","0","","","","","0","0","62","0","9","0","247","0","104","0","-10.0","0,0120,","","","","","86.9",",0,0307,","41.1","0,0716,","-0.6","0,1204","-3.9","0,1208","-5.6","0,1209","-8.9","0,1210","-8.9","0,1210","0.0","0,0310","-6.7","0,0306","-6.7","0,0306","-6.7","0,0306","-9.4","0,0121","1601.0","","1601.0","0","","","666.7",",0","","","17.85","0","24.04","0","11.65","0","",""
"USC00416210","1979","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1120.0","","1120.0","0","99","0","65","0","","","","","0","0","56","0","7","0","238","0","74","0","-12.2","0,0102,","","","","","146.1",",0,0511,","36.1","0,1004,+","-2.2","0,1123","-2.2","0,1123","-6.7","0,1130","-6.7","0,1130","","","-1.1","0,0305","-5.0","0,0219","-5.0","0,0219","-8.3","0,0210","-8.9","0,0209","1510.8","","1510.8","0","","","1260.5",",0","","","16.97","0","22.78","0","11.16","0","",""
"USC00416210","1980","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","","","","","68","0","42","0","0","","0","0","0","0","43","0","","","","","","","-9.4","0,0302,","0",",0,1231,+","0",",0,1231,+","99.8",",0,0425,","","","0.0","0,1030","-2.2","0,1211","-6.7","0,1226","-6.7","0,1226","","","-1.1","0,0306","-3.3","0,0304","-7.2","0,0303","-7.2","0,0303","-9.4","0,0302","","","","","","","773.0",",0","0",",0","","","","","12.22","0","45749","0"
"USC00416210","1981","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1341.1","","1341.1","0","81","0","52","0","0","","0","0","0","0","37","0","1","0","252","0","94","0","-11.1","0,0211,","0",",0,1231,+","0",",0,1231,+","73.9",",0,1014,","37.8","0,0817,+","0.0","0,1121","-6.7","0,1218","-6.7","0,1218","-6.7","0,1218","","","-0.6","0,0319","-5.0","0,0213","-5.0","0,0213","-10.6","0,0212","-10.6","0,0212","1241.3","","1241.3","0","     23.60","0,P,N","897.4",",0","0",",0","18.46","0","24.62","0","12.30","0","46370","0"
"USC00416210","1982","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1404.6","","1404.6","0","89","0","53","0","","","","","0","0","46","0","7","0","253","0","110","0","-15.0","0,0114,","","","","","79.5",",0,0420,","38.9","0,0807,","-1.1","0,1113","-2.8","0,1115","-5.6","0,1212","","","","","-2.2","0,0307","-2.2","0,0307","-8.9","0,0207","-8.9","0,0207","-8.9","0,0207","1395.4","","1395.4","0","","","803.7",",0","","","18.33","0","24.46","0","12.20","0","",""
"USC00416210","1983","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1190.2","","1190.2","0","83","0","56","0","","","0","0","0","0","53","0","10","0","233","0","75","0","-13.9","0,1230,+","","","0","T,0,1227,+","57.9",",0,0511,","38.9","0,0901,","0.0","0,1124","-2.2","0,1128","-7.2","0,1219","-7.2","0,1219","-13.9","0,1222","-0.6","0,0322","-2.2","0,0311","-5.0","0,0116","","","","","1403.3","","1403.3","0","","","854.4",",0","0","T,0","17.12","0","23.22","0","11.03","0","31770","0"
"USC00416210","1984","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1402.0","","1402.0","0","85","0","53","0","","","0","0","0","0","39","0","3","0","256","0","106","0","-11.1","0,0119,","","","0",",0,1231,+","52.1",",0,0520,","41.1","0,0821,+","-1.7","0,1122","-3.3","0,1207","","","","","","","0.0","0,0307","-2.8","0,0229","-6.1","0,0207","-7.2","0,0206","-9.4","0,0122","1513.6","","1513.6","0","","","847.2",",0","0",",0","18.67","0","25.07","0","12.26","0","56075","0"
"USC00416210","1985","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1369.2","","1369.2","0","83","0","53","0","","","","","0","0","53","0","8","0","245","0","97","0","-14.4","0,0202,","","","","","202.4",",0,1019,","40.6","0,0904,+","-2.8","0,1201","-2.8","0,1201","-6.1","0,1202","-8.3","0,1214","","","-1.1","0,0213","-3.3","0,0212","-10.0","0,0204","-10.0","0,0204","-10.0","0,0204","1282.8","","1282.8","0","","","1014.4",",0","","","18.16","0","24.27","0","12.04","0","",""
"USC00416210","1986","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1310.0","","1310.0","0","92","0","58","0","0","","0","0","0","0","30","0","0","0","261","0","94","0","-5.6","0,0212,+","0",",0,1231,+","0",",0,1231,+","82.8",",0,1024,","39.4","0,0801,+","-4.4","0,1113","-4.4","0,1113","-4.4","0,1113","","","","","0.0","0,0321","-5.6","0,0212","-5.6","0,0212","","","","","1121.3","","1121.3","0","     23.48","0,P,N","1211.9",",0","0",",0","18.63","0","24.56","0","12.70","0","46516","0"
"USC00416210","1987","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1293.5","","1293.5","0","79","0","56","0","0","","0","0","0","0","38","0","0","0","250","0","91","0","-6.1","0,1216,","0",",0,1231,+","0",",0,1231,+","51.6",",0,0504,","39.4","0,0806,","-1.1","0,1111","-3.9","0,1215","-6.1","0,1216","","","","","0.0","0,0404","-2.2","0,0331","-4.4","0,0123","","","","","1387.9","","1387.9","0","","","817.2",",0","0",",0","18.14","0","24.60","0","11.69","0","43561","0"
"USC00416210","1988","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1271.1","","1271.1","0","","","","","","","","","0","0","51","0","3","0","255","0","97","0","-8.9","0,0212,+","","","","","","","41.1","0,0808,","-1.7","0,1117","-2.2","0,1218","","","","","","","-2.2","0,0319","-2.2","0,0319","-4.4","0,0314","-6.7","0,0213","-8.9","0,0212","1304.8","","1304.8","0","","","","","","","18.03","0","25.06","0","11.01","0","",""
"USC00416210","1989","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1185.5","","1185.5","0","90","0","58","0","","","0","0","1","0","61","0","9","0","249","0","77","0","-20.6","0,1223,","","","0","T,0,0306,","78.5",",0,0518,","38.3","0,0904,","-1.7","0,1020","-2.8","0,1123","-5.6","0,1209","-7.2","0,1212","-10.6","0,1213","0.0","0,0412","-3.3","0,0411","-5.0","0,0308","-6.7","0,0307","-9.4","0,0207","1338.1","","1338.1","0","","","943.2",",0","0","T,0","17.18","0","23.72","0","10.64","0","",""
"USC00416210","1990","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1415.6","","1415.6","0","103","0","54","0","0","","0","0","0","0","22","0","3","0","264","0","111","0","-11.1","0,1224,","0",",0,1231,+","0",",0,1231,+","91.4",",0,0503,","41.1","0,0901,","-2.2","0,1130","-2.2","0,1130","-10.0","0,1222","-10.0","0,1222","-10.0","0,1222","0.0","0,0320","-2.2","0,0205","-5.6","0,0113","","","","","1248.4","","1248.4","0","","","1194.5",",0","0",",0","19.07","0","25.53","0","12.62","0","",""
"USC00416210","1991","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1211.7","","1211.7","0","101","0","66","0","0","","0","0","0","0","43","0","0","0","251","0","94","0","-9.4","0,0101,","0",",0,1231,+","0",",0,1231,+","130.6",",0,0814,","36.7","0,0809,+","-1.7","0,1101","-3.9","0,1102","-5.6","0,1103","-6.7","0,1104","","","-0.6","0,0226","-2.2","0,0216","-5.6","0,0131","-9.4","0,0101","-9.4","0,0101","1216.7","","1216.7","0","","","1375.7",",0","0",",0","18.13","0","24.60","0","11.66","0","46793","0"
"USC00416210","1992","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","984.7","","984.7","0","96","0","65","0","0","","0","0","0","0","51","0","0","0","246","0","91","0","-10.0","0,0116,","0",",0,1231,+","0",",0,1231,+","115.6",",0,1120,","37.2","0,0811,","-4.4","0,1105","-4.4","0,1105","-4.4","0,1105","-7.8","0,1128","","","-1.1","0,0323","-2.2","0,0311","-8.3","0,0117","-8.3","0,0117","-10.0","0,0116","1306.7","","1306.7","0","     23.05","0,P,N","1265.2",",0","0",",0","17.46","0","24.73","0","10.20","0","46508","0"
"USC00416210","1993","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1272.8","","1272.8","0","91","0","60","0","0","","0","0","0","0","46","0","0","0","221","0","105","0","-7.8","0,1127,","0",",0,1231,+","0",",0,1231,+","124.2",",0,1020,","39.4","0,0821,+","-1.1","0,1030","-3.9","0,1031","-6.1","0,1126","-7.8","0,1127","","","-3.3","0,0314","-3.3","0,0314","-5.0","0,0113","","","","","1458.7","","1458.7","0","     24.44","0,P,N","1004.6",",0","0",",0","17.66","0","24.27","0","11.04","0","52506","0"
"USC00416210","1994","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","1406.7","","1406.7","0","","","","","0",",0","","","","","","","",""
"USC00416210","1995","31.9611","-96.688","138.4","NAVARRO MILLS DAM, TX US","1236.0","","1236.0","0","89","0","58","0","0","","0","0","0","0","47","0","0","0","262","0","104","0","-10.6","0,1211,+","0",",0,1231,+","0",",0,1231,+","70.6",",0,0801,","40.6","0,0729,","-1.7","0,1111","-2.2","0,1112","-6.7","0,1129","-6.7","0,1129","-10.6","0,1210","-2.2","0,0310","-2.2","0,0310","-4.4","0,0309","","","","","","","","","","","922.9",",0","0",",0","18.03","0","25.23","0","10.83","0","47232","0"
