"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00040232","1956","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","457.3","","457.3","0","46","0","25","0","0","","0","0","0","0","41","0","0","0","212","0","50","0","-4.4","0,1226,+","0",",0,1231,+","0",",0,1231,+","20.6",",0,0125,","40.6","0,0629,","1857.5","0","-1.1","0,1121","-2.2","0,1122","-4.4","0,1223","","","-1.1","0,0313","","","","","","","1471.6","","1471.6","0","232.6",",0","0",",0","15.23","0","23.09","0","7.36","0"
"USC00040232","1957","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","523.2","","523.2","0","61","0","30","0","0","","0","0","0","0","36","0","0","0","200","0","67","0","-5.0","0,0110,","0",",0,1231,+","0",",0,1231,+","22.4",",0,0113,","42.2","0,0908,","1812.9","0","0.0","0,1106","-2.2","0,1203","","","","","-1.1","0,0206","-2.8","0,0205","-5.0","0,0110","","","1561.4","","1561.4","0","316.8",",0","0",",0","15.48","0","22.83","0","8.13","0"
"USC00040232","1958","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","559.2","","559.2","0","63","0","41","0","0","","0","0","0","0","28","0","0","0","223","0","73","0","-4.4","0,1117,","0",",0,1231,+","0",",0,1231,+","47.5",",0,0219,","39.4","0,0907,","","","-4.4","0,1117","-4.4","0,1117","-4.4","0,1117","","","-1.7","0,0123","-2.2","0,0122","","","","","1572.6","","1572.6","0","466.8",",0","0",",0","15.91","0","23.79","0","8.04","0"
"USC00040232","1959","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","523.2","","523.2","0","36","0","18","0","0","","0","0","0","0","42","0","0","0","250","0","73","0","-4.4","0,0104,","0",",0,1231,+","0",",0,1231,+","31.8",",0,0919,","43.3","0,0711,","1929.6","0","0.0","0,1108","-2.2","0,1207","","","","","-1.1","0,0213","-2.8","0,0105","-4.4","0,0104","","","1322.3","","1322.3","0","255.2",",0","0",",0","15.95","0","24.68","0","7.23","0"
"USC00040232","1960","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","601.7","","601.7","0","57","0","29","0","0","","0","0","0","0","20","0","0","0","211","0","75","0","-5.0","0,0105,+","0",",0,1231,+","0",",0,1231,+","25.4",",0,1126,","42.8","0,0603,","","","-2.8","0,1208","-2.8","0,1208","-4.4","0,1229","","","0.0","0,0227","-5.0","0,0105","-5.0","0,0105","","","1401.8","","1401.8","0","290.7",",0","0",",0","15.93","0","23.54","0","8.31","0"
"USC00040232","1961","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","667.5","","667.5","0","62","0","25","0","0","","0","0","0","0","27","0","0","0","213","0","77","0","-5.6","0,0102,","0",",0,1231,+","0",",0,1231,+","33.8",",0,0126,","47.2","0,0617,","","","0.0","0,1114","-2.2","0,1207","","","","","-2.2","0,0419","-2.2","0,0419","-4.4","0,0103","","","1592.9","","1592.9","0","241.0",",0","0",",0","15.69","0","23.33","0","8.04","0"
"USC00040232","1962","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","444.4","","444.4","0","71","0","23","0","0","","0","0","0","0","43","0","0","0","218","0","61","0","-6.7","0,0124,","0",",0,1231,+","0",",0,1231,+","77.0",",0,1013,","40.0","0,0620,","1766.7","0","0.0","0,1130","-2.8","0,1225","-4.4","0,1227","","","0.0","0,0419","-3.3","0,0126","-5.6","0,0125","-6.7","0,0124","1680.9","","1680.9","0","363.1",",0","0",",0","15.04","0","22.83","0","7.25","0"
"USC00040232","1963","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","445.6","","445.6","0","74","0","30","0","0","","0","0","0","0","36","0","0","0","196","0","52","0","-6.1","0,0114,+","0",",0,1231,+","0",",0,1231,+","28.4",",0,0131,","43.3","0,0618,","1580.4","0","-1.1","0,1207","-2.8","0,1212","","","","","0.0","0,0318","-2.2","0,0123","-4.4","0,0119","","","1603.4","","1603.4","0","371.0",",0","0",",0","14.77","0","21.74","0","7.81","0"
"USC00040232","1964","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","459.8","","459.8","0","52","0","26","0","0","","0","0","0","0","32","0","0","0","208","0","57","0","-3.3","0,1119,+","0",",0,1231,+","0",",0,1231,+","50.8",",0,0121,","39.4","0,0712,","1881.3","0","-0.6","0,1116","-3.3","0,1119","","","","","0.0","0,0424","-2.2","0,0203","","","","","1720.9","","1720.9","0","286.5",",0","0",",0","15.24","0","23.08","0","7.40","0"
"USC00040232","1965","37.9833","-121.7525","18.3","ANTIOCH PUMPING PLANT NUMBER 3, CA US","400.1","","400.1","0","59","0","35","0","0","","0","0","0","0","22","0","0","0","201","0","37","0","-6.1","0,1221,","0",",0,1231,+","0",",0,1231,+","22.1",",0,1229,","37.2","0,0811,","1718.2","0","0.0","0,1128","-2.8","0,1215","-4.4","0,1218","","","0.0","0,0226","-2.2","0,0102","","","","","1545.1","","1545.1","0","297.8",",0","0",",0","14.92","0","22.01","0","7.83","0"
