"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00053862","2000","30.07194","-83.57361","13.7","PERRY FOLEY AIRPORT, FL US","2.6","W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190","W","150","W","15.6","W","19.7","W"
"USW00053862","2001","30.07194","-83.57361","13.7","PERRY FOLEY AIRPORT, FL US","2.6","W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220","W","140","W","16.5","W","24.1","W"
"USW00053862","2002","30.07194","-83.57361","13.7","PERRY FOLEY AIRPORT, FL US","2.3","W","1513.8","","1513.8","W","161","W","88","W","0","W","37","W","0","W","290","W","75","W","-7.2","W,0105,","65.3",",W,0302,","36.7","W,0718,","-1.1","W,1118","-2.2","W,1123","","","","","-0.6","W,0306","-5.6","W,0305","-5.6","W,0305","-7.2","W,0105","","","673.9","","673.9","W","1505.0",",W","20.10","W","26.30","W","13.90","W","280","W","280","W","17.0","W","24.1","W"
"USW00053862","2003","30.07194","-83.57361","13.7","PERRY FOLEY AIRPORT, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","961.3","","961.3","W","","","","","","","","","","","360","W","","","65.7","W"
"USW00053862","2005","30.07194","-83.57361","13.7","PERRY FOLEY AIRPORT, FL US","2.3","B","1402.3","","1402.3","B","195","B","88","B","0","B","26","B","0","B","278","B","84","B","-6.7","B,1223,","98.8",",B,0710,","36.1","B,0918,+","0.0","B,1026","-2.8","B,1212","-5.0","B,1222","-6.7","B,1223","-2.2","W,0302","-2.2","W,0302","-5.6","W,0124","","","","","805.7","","805.7","B","1679.1",",B","19.69","B","25.93","B","13.45","B","","","20","B","","","25.0","B"
"USW00053862","2006","30.07194","-83.57361","13.7","PERRY FOLEY AIRPORT, FL US","2.6","W","1440.2","","1440.2","W","96","W","56","W","0","W","23","W","0","W","306","W","106","W","-4.9","W,0214,","88.1",",W,0612,","37.2","W,0528,","-0.5","W,1120","","","","","","","-1.0","W,0327","-4.9","W,0214","-4.9","W,0214","","","","","870.7","","870.7","W","833.9",",W","20.28","W","27.03","W","13.53","W","220","W","220","W","17.4","W","21.9","W"
"USW00053862","2007","30.07194","-83.57361","13.7","PERRY FOLEY AIRPORT, FL US","2.4","W","1670.7","","1670.7","W","78","W","44","W","0","W","17","W","0","W","310","W","126","W","-7.1","W,0217,","48.5",",W,0701,","37.2","W,0824,+","-1.0","W,1108","","","","","","","0.0","W,0220","-5.5","W,0219","-5.5","W,0219","-7.1","W,0217","","","674.4","","674.4","W","737.8",",W","21.22","W","27.88","W","14.56","W","200","W","","","26.8","W","",""
"USW00053862","2008","30.07194","-83.57361","13.7","PERRY FOLEY AIRPORT, FL US","2.5","W","1645.3","","1645.3","W","105","W","70","W","0","W","19","W","0","W","310","W","111","W","-4.3","W,0103,","272.8",",W,0823,","37.2","W,0607,","0.0","W,1117","-2.7","W,1119","","","","","-0.5","W,0325","-3.8","W,0228","","","","","","","584.1","","584.1","W","1406.3",",W","21.03","W","27.64","W","14.42","W","190","W","250","W","19.2","W","31.7","W"
"USW00053862","2009","30.07194","-83.57361","13.7","PERRY FOLEY AIRPORT, FL US","2.4","W","1418.7","","1418.7","W","118","W","78","W","0","W","25","W","0","W","291","W","76","W","-8.2","W,0205,","104.9",",W,0401,","36.7","W,0622,+","-0.5","W,1127","-2.7","W,1229","","","","","-0.5","W,0408","-3.8","W,0221","-6.6","W,0206","-8.2","W,0205","","","736.0","","736.0","W","1224.5",",W","19.96","W","26.21","W","13.71","W","140","W","270","W","22.8","W","69.7","W"
"USW00053862","2010","30.07194","-83.57361","13.7","PERRY FOLEY AIRPORT, FL US","2.2","W","1418.6","","1418.6","W","96","W","71","W","0","W","54","W","0","W","263","W","95","W","-9.9","W,0111,","148.6",",W,0430,","37.2","W,0730,","-1.0","W,1107","-2.7","W,1202","-4.9","W,1207","-7.1","W,1228","-1.6","W,0307","-4.3","W,0226","-5.5","W,0113","-9.9","W,0111","-9.9","W,0111","1032.7","","1032.7","W","1444.7",",W","19.09","W","25.62","W","12.55","W","240","W","90","W","16.1","W","28.2","W"
