"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003935","1961","37.2252","-89.5705","102.4","CAPE GIRARDEAU MUNICIPAL AIRPORT, MO US","","","753.0","","753.0","0","111","0","76","0","18","","5","0","2","0","84","0","12","0","178","0","58","0","-24.4","0,0128,","51",",0,0208,+","61",",0,0202,","64.5",",0,0507,","35.0","0,0830,+","-0.6","0,1015","-2.2","0,1027","-5.6","0,1107","-7.8","0,1212","-11.1","0,1213","0.0","0,0416","-2.8","0,0402","-4.4","0,0210","-8.9","0,0205","-8.9","0,0205","2534.0","","2534.0","0","1146.2",",0","277",",0","13.52","0","19.70","0","7.35","0","","","","","","","","","","","",""
"USW00003935","1962","37.2252","-89.5705","102.4","CAPE GIRARDEAU MUNICIPAL AIRPORT, MO US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2501.4","","2501.4","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00003935","1963","37.2252","-89.5705","102.4","CAPE GIRARDEAU MUNICIPAL AIRPORT, MO US","","","824.7","","824.7","0","83","0","48","0","18","","3","0","7","0","111","0","30","0","200","0","45","0","-25.6","0,0124,+","102",",0,1225,+","76",",0,1222,","77.0",",0,0912,","37.2","0,0609,","-2.2","0,1030","-2.2","0,1030","-5.0","0,1103","-6.7","0,1201","-12.8","0,1214","0.0","0,0501","-3.3","0,0322","-8.9","0,0227","-8.9","0,0227","-8.9","0,0227","","","","","913.8",",0","175",",0","13.38","0","20.06","0","6.70","0","","","","","","","","","","","",""
"USW00003935","1964","37.2252","-89.5705","102.4","CAPE GIRARDEAU MUNICIPAL AIRPORT, MO US","","","891.9","","891.9","0","95","0","66","0","5","","1","0","1","0","102","0","9","0","202","0","69","0","-18.9","0,0114,","51",",0,0114,+","25",",0,0109,","114.3",",0,0413,","40.6","0,0804,","-1.7","0,1006","-2.2","0,1010","-4.4","0,1120","-10.6","0,1121","-10.6","0,1121","-2.2","0,0409","-2.2","0,0409","-8.9","0,0330","-8.9","0,0330","-8.9","0,0330","2424.9","","2424.9","0","1167.0",",0","25",",0","14.20","0","20.86","0","7.54","0","","","","","","","","","","","",""
"USW00003935","1965","37.2252","-89.5705","102.4","CAPE GIRARDEAU MUNICIPAL AIRPORT, MO US","","","878.1","","878.1","0","99","0","64","0","14","","6","0","4","0","96","0","12","0","198","0","47","0","-22.2","0,0202,+","127",",0,0304,+","127",",0,0303,","78.2",",0,0911,","38.9","0,0724,","0.0","0,1024","-2.2","0,1025","-6.1","0,1129","-8.3","0,1130","-8.9","0,1207","0.0","0,0328","-3.9","0,0327","-4.4","0,0321","-8.9","0,0320","-8.9","0,0320","2486.2","","2486.2","0","1020.1",",0","478",",0","14.34","0","20.57","0","8.12","0","","","","","","","","","","","",""
"USW00003935","1966","37.2252","-89.5705","102.4","CAPE GIRARDEAU MUNICIPAL AIRPORT, MO US","","","730.1","","730.1","0","108","0","73","0","17","","5","0","2","0","106","0","21","0","171","0","40","0","-20.6","0,0130,","102",",0,0224,","76",",0,1223,+","62.2",",0,0523,","40.6","0,0714,+","-1.1","0,1017","-4.4","0,1102","-4.4","0,1102","-6.7","0,1103","-8.9","0,1223","-3.3","0,0410","-3.3","0,0410","-5.0","0,0327","-6.7","0,0325","-9.4","0,0225","2408.7","","2408.7","0","1136.4",",0","320",",0","13.10","0","19.05","0","7.15","0","","","","","","","","","","","",""
"USW00003935","1967","37.2252","-89.5705","102.4","CAPE GIRARDEAU MUNICIPAL AIRPORT, MO US","","","686.7","","686.7","0","104","0","75","0","7","","4","0","0","0","87","0","12","0","187","0","29","0","-16.7","0,0225,","229",",0,0217,","229",",0,0216,","58.7",",0,0514,","35.6","0,0730,","0.0","0,1011","-2.8","0,1104","-4.4","0,1105","-7.8","0,1223","-12.8","0,1229","-1.1","0,0319","-6.7","0,0318","-6.7","0,0318","-6.7","0,0318","-15.6","0,0307","2371.8","","2371.8","0","1053.7",",0","537",",0","13.70","0","19.60","0","7.80","0","","","","","","","","","","","",""
"USW00003935","1968","37.2252","-89.5705","102.4","CAPE GIRARDEAU MUNICIPAL AIRPORT, MO US","","","843.1","","843.1","0","107","0","75","0","8","","3","0","2","0","103","0","23","0","186","0","55","0","-18.3","0,0107,","127",",0,0116,+","51",",0,0113,","69.3",",0,1227,","37.2","0,0823,","0.0","0,1025","-2.8","0,1029","-5.6","0,1113","-7.2","0,1120","-8.9","0,1208","-1.1","0,0517","-3.9","0,0324","-4.4","0,0323","-9.4","0,0304","-9.4","0,0304","2611.6","","2611.6","0","1119.0",",0","119",",0","13.49","0","19.26","0","7.72","0","","","","","","","","","","","",""
"USW00003935","1969","37.2252","-89.5705","102.4","CAPE GIRARDEAU MUNICIPAL AIRPORT, MO US","","","911.5","","911.5","0","107","0","69","0","10","","5","0","0","0","111","0","10","0","186","0","61","0","-13.9","0,0104,","127",",0,0127,","127",",0,0126,","71.4",",0,0129,","39.4","0,0629,","-0.6","0,1027","-2.8","0,1028","-6.1","0,1114","-7.2","0,1216","-8.9","0,1226","-2.8","0,0331","-2.8","0,0331","-6.7","0,0316","-6.7","0,0316","-10.6","0,0110","2495.0","","2495.0","0","1087.7",",0","414",",0","13.81","0","19.66","0","7.97","0","","","","","","","","","","","",""
"USW00003935","1970","37.2252","-89.5705","102.4","CAPE GIRARDEAU MUNICIPAL AIRPORT, MO US","","","965.7","","965.7","0","119","0","82","0","27","","8","0","2","0","91","0","16","0","188","0","66","0","-20.0","0,0108,","229",",0,0317,","178",",0,0317,","51.6",",0,0419,","38.3","0,0702,","0.0","0,1017","-4.4","0,1115","-4.4","0,1115","-8.9","0,1123","-8.9","0,1123","0.0","0,0329","-5.0","0,0316","-5.0","0,0316","-7.2","0,0226","-12.2","0,0204","2648.6","","2648.6","0","1150.7",",0","553",",0","14.04","0","19.83","0","8.26","0","","","","","","","","","","","",""
