"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00264651","1969","36.61667","-114.48333","429.8","LOGANDALE, NV US","1496.4","","1496.4","0","27","0","16","0","0","","0","0","0","0","50","0","0","0","241","0","139","0","-5.6","0,1231,","0",",0,1231,+","0",",0,1231,+","12.2",",0,0114,","45.6","0,0802,","","","0.0","0,1118","-2.8","0,1207","-5.0","0,1214","","","","","0.0","0,0315","-2.2","0,0308","-5.0","0,0201","","","1386.8","","1386.8","0","107.3",",0","0",",0","18.67","0","27.55","0","9.79","0","",""
"USC00264651","1970","36.61667","-114.48333","429.8","LOGANDALE, NV US","","","","","21","0","13","0","0","","0","0","","","","","0","0","240","0","129","0","","","0",",0,1231,+","0",",0,1231,+","15.2",",0,0819,","46.7","0,0626,","","","","","","","","","","","","","","","","","","","","","1354.4","","1354.4","0","97.6",",0","0",",0","","","27.23","0","","","",""
"USC00264651","1971","36.61667","-114.48333","429.8","LOGANDALE, NV US","","","","","26","0","16","0","0","","0","0","","","","","0","0","234","0","117","0","","","0",",0,1231,+","0",",0,1231,+","16.5",",0,0731,","45.6","0,0715,","","","","","","","","","","","","","","","","","","","","","","","","","104.8",",0","0",",0","","","26.66","0","","","",""
"USC00264651","1972","36.61667","-114.48333","429.8","LOGANDALE, NV US","","","","","24","0","14","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","27.7",",0,1117,","","","","","","","","","","","","","","","","","","","","","","","","","","","143.4",",0","0",",0","","","","","","","",""
"USC00264651","1973","36.61667","-114.48333","429.8","LOGANDALE, NV US","1216.5","","1216.5","0","35","0","16","0","0","","0","0","0","0","64","0","0","0","214","0","139","0","-8.3","0,0107,+","0",",0,1231,+","0",",0,1231,+","16.8",",0,0207,","45.6","0,0711,+","","","-0.6","0,1120","-3.9","0,1127","-4.4","0,1221","","","","","0.0","0,0409","-2.8","0,0202","-5.0","0,0131","-7.2","0,0108","","","","","119.2",",0","0",",0","17.41","0","26.81","0","8.02","0","",""
"USC00264651","1974","36.61667","-114.48333","429.8","LOGANDALE, NV US","","","","","22","0","14","0","0","","1","0","","","","","0","0","235","0","145","0","","","0",",0,1231,+","104",",0,0105,","14.0",",0,1205,","46.1","0,0826,","","","","","","","","","","","","","","","","","","","","","","","","","107.6",",0","104",",0","","","27.71","0","","","",""
"USC00264651","1975","36.61667","-114.48333","429.8","LOGANDALE, NV US","","","","","22","0","13","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","21.6",",0,0821,","","","","","","","","","","","","","","","","","","","","","","","","","","","91.8",",0","0",",0","","","","","","","",""
"USC00264651","1976","36.61667","-114.48333","429.8","LOGANDALE, NV US","1114.3","","1114.3","0","24","0","13","0","0","","0","0","0","0","65","0","0","0","248","0","125","0","-7.2","0,0103,","0",",0,1231,+","0",",0,1231,+","47.0",",0,0911,","45.6","0,0710,","","","0.0","0,1126","-3.9","0,1128","-5.0","0,1129","-6.7","0,1222","","","0.0","0,0314","-2.2","0,0304","-4.4","0,0107","-7.2","0,0103","","","","","172.2",",0","0",",0","17.74","0","27.45","0","8.03","0","",""
"USC00264651","1977","36.61667","-114.48333","429.8","LOGANDALE, NV US","","","","","24","0","15","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","17.3",",0,0817,","","","","","","","","","","","","","","","","","","","","","","","1413.3","","1413.3","","112.2",",0","0",",0","","","","","","","",""
"USC00264651","1978","36.61667","-114.48333","429.8","LOGANDALE, NV US","","","","","49","0","27","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","21.1",",0,0915,","","","","","","","","","","","","","","","","","","","","","","","","","","","249.5",",0","0",",0","","","","","","","",""
"USC00264651","1979","36.61667","-114.48333","429.8","LOGANDALE, NV US","","","","","24","0","12","0","3","","3","0","","","","","","","","","","","","","76",",0,0201,","76",",0,0201,","18.0",",0,0721,","","","","","","","","","","","","","","","","","","","","","","","","","","","93.0",",0","178",",0","","","","","","","",""
"USC00264651","1980","36.61667","-114.48333","429.8","LOGANDALE, NV US","","","","","36","0","17","0","0","","0","0","","","","","0","0","214","0","130","0","","","0",",0,1231,+","0",",0,1231,+","25.7",",0,0214,","44.4","0,0812,","","","","","","","","","","","","","","","","","","","","","","","","","163.1",",0","0",",0","","","27.20","0","","","",""
"USC00264651","1981","36.61667","-114.48333","429.8","LOGANDALE, NV US","","","","","34","0","14","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","30.5",",0,0811,","","","","","","","","","","","","","","","","","","","","","","","","","","","127.7",",0","0",",0","","","","","","","",""
"USC00264651","1982","36.61667","-114.48333","429.8","LOGANDALE, NV US","1175.4","","1175.4","0","32","0","13","0","0","","0","0","0","0","55","0","0","0","224","0","122","0","-7.8","0,0206,+","0",",0,1231,+","0",",0,1231,+","22.4",",0,0211,","44.4","0,0823,+","","","-0.6","0,1202","-3.3","0,1224","","","","","","","-0.6","0,0320","-6.7","0,0208","-6.7","0,0208","-6.7","0,0208","","","","","107.9",",0","0",",0","17.28","0","25.63","0","8.93","0","",""
"USC00264651","1983","36.61667","-114.48333","429.8","LOGANDALE, NV US","1233.0","","1233.0","0","45","0","23","0","0","","0","0","0","0","41","0","0","0","223","0","119","0","-5.6","0,1206,","0",",0,1231,+","0",",0,1231,+","30.5",",0,0818,","44.4","0,0806,+","","","-1.1","0,1122","-2.2","0,1127","-5.6","0,1206","","","","","-1.1","0,0222","-2.2","0,0124","-5.0","0,0103","","","1388.3","","1388.3","0","227.8",",0","0",",0","17.92","0","26.03","0","9.81","0","",""
