"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00093839","1951","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","360","X","28.3","X"
"USW00093839","1952","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","1236.4","","1236.4","X","82","X","55","X","0","","0","X","0","X","39","X","2","X","200","X","88","X","-6.1","X,0130,+","0",",X,1231,+","0","T,X,1214,+","56.9",",X,1118,","41.1","X,0728,+","-0.6","X,1022","-2.2","X,1029","-5.0","X,1128","","","","","0.0","X,0316","-2.2","X,0306","-6.1","X,0130","","","","","","","","","854.5",",X","0","T,X","16.83","X","22.43","X","11.22","X","","","",""
"USW00093839","1953","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1731.8","","1731.8","X","","","","","","","","","","","90","X","28.3","X"
"USW00093839","1954","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","1423.0","","1423.0","X","82","X","57","X","6","","2","X","0","X","45","X","2","X","220","X","102","X","-7.2","X,0113,+","51",",X,0123,+","58",",X,0110,","54.9",",X,0115,","41.1","X,0627,","-3.3","X,1102","-3.3","X,1102","-4.4","X,1103","","","","","-1.1","X,0316","-2.2","X,0315","-4.4","X,0208","-7.2","X,0113","","","","","","","895.5",",X","109",",X","17.66","X","23.46","X","11.87","X","203","X","28.3","X"
"USW00093839","1955","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","1214.9","","1214.9","X","106","X","70","X","0","","1","X","0","X","62","X","4","X","223","X","68","X","-11.7","X,0211,","0","T,X,0119,+","25",",X,0118,","60.5",",X,0412,","36.7","X,0728,","-2.2","X,1104","-2.2","X,1104","-7.2","X,1128","-7.2","X,1128","-8.9","X,1216","-0.6","X,0329","-6.1","X,0327","-6.1","X,0327","-7.8","X,0326","-11.7","X,0211","1699.3","","1699.3","X","1114.0",",X","25",",X","16.77","X","22.14","X","11.41","X","225","X","28.8","X"
"USW00093839","1956","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","1171.4","","1171.4","X","94","X","73","X","1","","1","X","0","X","40","X","1","X","220","X","73","X","-7.2","X,0124,","25",",X,0124,","46",",X,0123,","93.0",",X,0129,","38.9","X,0806,","-1.7","X,1109","-3.9","X,1124","-5.0","X,1130","","","","","0.0","X,0321","-3.9","X,0131","-7.2","X,0124","-7.2","X,0124","","","1854.3","","1854.3","X","1168.5",",X","46",",X","16.99","X","22.51","X","11.48","X","","","",""
"USW00093839","1957","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","1063.8","","1063.8","X","127","X","94","X","0","","0","X","0","X","38","X","4","X","197","X","48","X","-10.6","X,0117,","0","T,X,0308,","23",",X,1122,","68.6",",X,0403,","36.7","X,0717,","0.0","X,1027","-2.2","X,1130","-8.3","X,1211","-8.3","X,1211","","","0.0","X,0412","-2.8","X,0308","-5.0","X,0118","-10.6","X,0117","-10.6","X,0117","1595.0","","1595.0","X","1694.0",",X","23",",X","16.50","X","21.35","X","11.65","X","338","X","24.7","X"
"USW00093839","1958","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","1084.6","","1084.6","X","104","X","73","X","6","","2","X","0","X","73","X","13","X","195","X","57","X","-15.0","X,0217,","51",",X,1213,+","53",",X,1213,","55.1",",X,0226,","37.8","X,0605,","-1.1","X,1127","-3.9","X,1128","-4.4","X,1129","-7.8","X,1213","-11.1","X,1214","-0.6","X,0321","-3.3","X,0221","-10.6","X,0220","-10.6","X,0220","-10.6","X,0220","2086.4","","2086.4","X","1123.8",",X","132",",X","15.30","X","20.45","X","10.14","X","158","X","25.7","X"
"USW00093839","1959","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","1083.1","","1083.1","X","84","X","63","X","2","","1","X","0","X","67","X","7","X","207","X","47","X","-14.4","X,0105,","25",",X,0206,+","28",",X,0205,","90.2",",X,0213,","36.7","X,0824,+","-2.2","X,1106","-2.2","X,1106","-4.4","X,1107","-6.7","X,1117","","","-0.6","X,0323","-7.2","X,0221","-7.2","X,0221","-7.2","X,0221","-11.1","X,0122","1941.0","","1941.0","X","1057.0",",X","28",",X","15.94","X","21.38","X","10.49","X","45","X","26.7","X"
"USW00093839","1960","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","1129.5","","1129.5","X","96","X","74","X","4","","6","X","0","X","79","X","8","X","203","X","63","X","-12.2","X,1222,","152",",X,0106,","239",",X,0105,","58.7",",X,1109,","37.8","X,0904,","-1.7","X,1110","-3.9","X,1111","-6.7","X,1202","-6.7","X,1202","-8.9","X,1221","-1.1","X,0325","-2.2","X,0323","-5.6","X,0306","-11.1","X,0305","-11.1","X,0305","2110.4","","2110.4","X","1105.2",",X","516",",X","15.56","X","20.70","X","10.41","X","203","X","23.1","X"
"USW00093839","1961","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","971.0","","971.0","X","114","X","75","X","1","","0","X","0","X","55","X","7","X","198","X","48","X","-11.1","X,0121,","25",",X,0101,","23",",X,0121,","96.5",",X,0506,","35.0","X,0630,","0.0","X,1107","-3.3","X,1109","-5.0","X,1212","-8.9","X,1213","-8.9","X,1213","-0.6","X,0310","-2.2","X,0210","-6.7","X,0204","-6.7","X,0204","-10.6","X,0128","1879.9","","1879.9","X","1321.6",",X","23",",X","15.75","X","20.88","X","10.62","X","203","X","21.1","X"
"USW00093839","1962","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","1193.9","","1193.9","X","115","X","67","X","7","","2","X","3","X","57","X","6","X","203","X","61","X","-18.9","X,0112,+","51",",X,1225,+","51",",X,0109,","75.7",",X,0122,","36.1","X,0820,","0.0","X,1105","-2.2","X,1206","-4.4","X,1210","-12.2","X,1211","-12.2","X,1211","-1.1","X,0317","-2.2","X,0307","-5.0","X,0207","-6.7","X,0123","-11.1","X,0113","1932.9","","1932.9","X","1118.8",",X","97",",X","16.28","X","21.31","X","11.25","X","135","X","22.1","X"
"USW00093839","1963","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","1081.2","","1081.2","X","81","X","51","X","13","","2","X","3","X","79","X","19","X","218","X","46","X","-25.6","X,1224,","330",",X,1224,+","330",",X,1222,","80.3",",X,0525,","37.8","X,0828,","0.0","X,1102","-3.3","X,1114","-8.9","X,1214","-8.9","X,1214","-8.9","X,1214","0.0","X,0310","-7.2","X,0227","-7.2","X,0227","-7.2","X,0227","-13.9","X,0222","2025.6","","2025.6","X","849.0",",X","360",",X","15.47","X","21.06","X","9.88","X","","","",""
"USW00093839","1964","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","977.1","","977.1","X","101","X","79","X","2","","1","X","0","X","64","X","3","X","213","X","53","X","-11.1","X,1218,","51",",X,0113,","41",",X,0113,","87.4",",X,0304,","37.8","X,0804,","-1.7","X,1120","-6.7","X,1121","-6.7","X,1121","-6.7","X,1121","-8.9","X,1122","-3.9","X,0330","-3.9","X,0330","-6.7","X,0223","-6.7","X,0223","-10.6","X,0114","1949.4","","1949.4","X","1279.3",",X","61",",X","15.96","X","21.35","X","10.57","X","180","X","20.0","X"
"USW00093839","1965","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","1150.5","","1150.5","X","111","X","66","X","5","","5","X","0","X","60","X","6","X","213","X","56","X","-13.9","X,0131,","178",",X,0225,","163",",X,0224,","122.7",",X,0211,","37.2","X,0724,","-2.8","X,1129","-2.8","X,1129","-5.6","X,1130","-6.7","X,1201","","","-0.6","X,0327","-3.3","X,0321","-7.2","X,0320","-7.2","X,0320","-10.0","X,0225","1886.8","","1886.8","X","1161.9",",X","346",",X","16.64","X","21.96","X","11.32","X","270","X","23.1","X"
"USW00093839","1966","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","990.8","","990.8","X","103","X","68","X","11","","6","X","1","X","65","X","12","X","202","X","45","X","-17.8","X,0130,","127",",X,0126,","91",",X,0122,","70.6",",X,0812,","38.9","X,0715,","-0.6","X,1102","-3.9","X,1103","-5.6","X,1214","-6.7","X,1223","-10.0","X,1224","-2.2","X,0325","-2.2","X,0325","-4.4","X,0307","-6.7","X,0205","-13.3","X,0131","1790.6","","1790.6","X","1128.4",",X","371",",X","15.62","X","20.70","X","10.55","X","360","X","23.6","X"
"USW00093839","1967","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","890.1","","890.1","X","93","X","59","X","0","","0","X","0","X","57","X","5","X","209","X","23","X","-12.2","X,0118,","0","T,X,1227,+","8",",X,0117,","54.9",",X,1202,","34.4","X,0624,+","-1.1","X,1104","-3.3","X,1106","-5.0","X,1223","-6.7","X,1231","","","-2.8","X,0318","-2.8","X,0318","-6.1","X,0226","-9.4","X,0225","-9.4","X,0225","1765.2","","1765.2","X","983.3",",X","8",",X","15.94","X","21.09","X","10.78","X","180","X","22.1","X"
"USW00093839","1968","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","1041.6","","1041.6","X","103","X","74","X","9","","6","X","0","X","74","X","8","X","207","X","62","X","-11.7","X,0107,","203",",X,0322,","203",",X,0322,","80.3",",X,0320,","36.1","X,0823,","-1.1","X,1109","-2.2","X,1112","-5.0","X,1208","-7.8","X,1215","","","-3.3","X,0324","-3.3","X,0324","-5.0","X,0304","-8.9","X,0222","-8.9","X,0222","1970.8","","1970.8","X","1075.3",",X","576",",X","15.64","X","20.86","X","10.42","X","","","",""
"USW00093839","1969","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","1075.7","","1075.7","X","91","X","53","X","1","","1","X","0","X","68","X","3","X","198","X","59","X","-10.0","X,0104,","25",",X,0216,","25",",X,0215,","90.9",",X,0821,","37.8","X,0712,+","-4.4","X,1114","-4.4","X,1114","-4.4","X,1114","","","","","0.0","X,0330","-2.2","X,0314","-4.4","X,0310","-7.8","X,0110","-10.0","X,0104","1979.9","","1979.9","X","863.1",",X","41",",X","15.65","X","20.99","X","10.31","X","","","",""
"USW00093839","1970","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","1017.0","","1017.0","X","113","X","88","X","10","","3","X","0","X","59","X","8","X","204","X","51","X","-15.6","X,0106,","127",",X,0107,","114",",X,0106,","86.4",",X,0613,","37.2","X,0703,","-1.7","X,1115","-4.4","X,1116","-4.4","X,1116","-7.2","X,1123","-8.9","X,1124","0.0","X,0327","-5.6","X,0226","-5.6","X,0226","-10.6","X,0204","-10.6","X,0204","2101.0","","2101.0","X","1402.0",",X","225",",X","15.63","X","20.90","X","10.37","X","338","X","28.8","X"
"USW00093839","1971","35.35","-89.86667","97.5","MEMPHIS NAS, TN US","","","1073.7","","1073.7","X","122","X","80","X","6","","5","X","0","X","50","X","8","X","219","X","55","X","-13.9","X,0209,","76",",X,0208,","64",",X,0325,","86.6",",X,1209,","36.1","X,0713,+","0.0","X,1104","-2.2","X,1107","-4.4","X,1108","","","","","-0.6","X,0327","-2.2","X,0305","-5.0","X,0304","-7.2","X,0214","-11.1","X,0210","1927.7","","1927.7","X","1279.4",",X","275",",X","16.45","X","22.05","X","10.85","X","230","X","27.2","X"
