"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00141733","1993","38.0697","-95.3708","337.7","COLONY, KS US","99","6","71","6","","","","","","","","","88.4",",6,0925,","1148.4",",6","",""
"USC00141733","1994","38.0697","-95.3708","337.7","COLONY, KS US","73","6","61","6","","","","","","","","","93.7",",6,0428,","1120.9",",6","",""
"USC00141733","2002","38.0697","-95.3708","337.7","COLONY, KS US","61","0","56","0","12","","5","0","152",",0,1205,","102",",0,1205,","83.8",",0,0524,","871.5",",0","386",",0"
"USC00141733","2007","38.0697","-95.3708","337.7","COLONY, KS US","97","0","59","0","","","","","","","","","180.8",",0,0630,","1222.4",",0","",""
"USC00141733","2008","38.0697","-95.3708","337.7","COLONY, KS US","104","0","73","0","3","","0","0","25",",0,1215,+","8",",0,0205,","110.5",",0,0805,","1349.9",",0","11",",0"
"USC00141733","2009","38.0697","-95.3708","337.7","COLONY, KS US","107","0","77","0","6","","3","0","152",",0,1226,+","152",",0,1225,","100.3",",0,0909,","1343.2",",0","241",",0"
"USC00141733","2017","38.0697","-95.3708","337.7","COLONY, KS US","","","","","1","","0","7","25",",7,0105,","20",",7,0105,","","","","","35",",7"
