"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023273","1948","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","","","20.5","","20.5","0","42","0","23","0","0","","0","0","0","0","20","0","0","0","157","0","2","0","-2.2","0,1224,+","0",",0,1231,+","0",",0,1231,+","33.0",",0,1226,","35.0","0,0913,","-0.6","0,1130","-2.2","0,1224","","","","","-0.6","X,0304","-2.2","X,0212","","","","","","","","","259.0",",0","0",",0","13.30","0","19.87","0","6.73","0","","","","","","","","","","","","","","","",""
"USW00023273","1949","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","","","41.9","","41.9","0","47","0","27","0","0","","0","0","0","0","34","0","0","0","144","0","6","0","-5.6","0,0110,","0",",0,1231,+","0","T,0,1018,+","28.4",",0,1207,","34.4","0,1029,","0.0","0,1019","-2.2","0,1221","","","","","-1.7","0,0215","-2.2","0,0117","-5.6","0,0110","","","1979.1","","1979.1","0","253.7",",0","0","T,0","13.25","0","19.65","0","6.86","0","","","","","","","","","","","","","","","",""
"USW00023273","1950","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","","","52.1","","52.1","0","53","0","27","0","0","","0","0","0","0","16","0","0","0","171","0","5","0","-4.4","0,0104,","0",",0,1231,+","0","T,0,0108,","24.9",",0,0324,","39.4","0,1013,","0.0","0,1231","","","","","","","-2.2","0,0201","-2.2","0,0201","-4.4","0,0104","","","1813.8","","1813.8","0","263.7",",0","0","T,0","14.09","0","20.22","0","7.95","0","","","","","","","","","","","","","","","",""
"USW00023273","1951","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","","","41.9","","41.9","0","49","0","29","0","0","","0","0","0","0","13","0","0","0","142","0","3","0","-2.2","0,0101,","0",",0,1231,+","0",",0,1231,+","18.3",",0,0228,","34.4","0,1006,","-0.6","0,1208","","","","","","","0.0","0,0401","-2.2","0,0101","","","","","1537.1","","1537.1","0","275.7",",0","0",",0","13.72","0","19.91","0","7.53","0","","","","","","","","","","","","","","","",""
"USW00023273","1952","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","","","19.7","","19.7","0","62","0","36","0","0","","0","0","0","0","8","0","0","0","130","0","0","0","-1.1","0,0105,+","0",",0,1231,+","0","T,0,0301,","47.5",",0,0315,","31.1","0,1104,+","","","","","","","","","0.0","0,0303","","","","","","","1756.2","","1756.2","0","463.4",",0","0","T,0","13.44","0","19.37","0","7.52","0","","","","","","","","","","","","","","","",""
"USW00023273","1953","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","","","55.2","","55.2","0","31","0","14","0","0","","0","0","0","0","12","0","0","0","175","0","6","0","-2.8","0,1225,","0","T,0,0302,","0","T,0,0301,","42.2",",0,1114,","40.0","0,0710,","-1.1","0,1224","-2.8","0,1225","","","","","-0.6","0,0409","","","","","","","1767.3","","1767.3","0","145.5",",0","0","T,0","13.92","0","20.63","0","7.21","0","","","","","","","","","","","","","","","",""
"USW00023273","1954","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","","","20.1","","20.1","0","39","0","25","0","0","","0","0","0","0","7","0","0","0","179","0","1","0","-2.2","0,1227,","0",",0,1231,+","0",",0,1231,+","27.9",",0,0316,","32.2","0,0923,","0.0","0,1130","-2.2","0,1227","","","","","-0.6","0,0313","","","","","","","1596.2","","1596.2","0","280.6",",0","0",",0","13.95","0","20.53","0","7.38","0","","","","","","","","","","","","","","","",""
"USW00023273","1955","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","","","34.4","","34.4","0","50","0","28","0","0","","0","0","0","0","21","0","0","0","92","0","4","0","-2.2","0,0108,","0",",0,1231,+","0","T,0,0118,+","77.2",",0,1224,","38.9","0,0901,","-1.1","0,1112","","","","","","","0.0","0,0222","-2.2","0,0108","","","","","1933.9","","1933.9","0","380.5",",0","0","T,0","12.71","0","18.52","0","6.89","0","","","","","","","","","","","","","","","",""
"USW00023273","1956","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","","","31.7","","31.7","0","38","0","15","0","0","","0","0","0","0","29","0","0","0","133","0","5","0","-4.4","0,0217,","0",",0,1231,+","0",",0,1231,+","47.2",",0,0125,","34.4","0,0928,","0.0","0,1119","-3.3","0,1209","","","","","-0.6","0,0313","-4.4","0,0217","-4.4","0,0217","","","1979.3","","1979.3","0","173.4",",0","0",",0","13.28","0","19.80","0","6.76","0","","","","","","","","","","","","","","","",""
"USW00023273","1957","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","","","40.6","","40.6","0","58","0","27","0","0","","0","0","0","0","16","0","0","0","163","0","3","0","-3.3","0,0204,+","0",",0,1231,+","0","T,0,0128,+","19.8",",0,0208,","36.7","0,0706,","0.0","0,1117","","","","","","","0.0","0,0205","-3.3","0,0204","","","","","1724.2","","1724.2","0","267.4",",0","0","T,0","13.99","0","20.11","0","7.86","0","","","","","","","","","","","","","","","",""
"USW00023273","1958","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","","","85.1","","85.1","0","48","0","37","0","0","","0","0","0","0","10","0","0","0","191","0","7","0","-3.9","0,1117,","0",",0,1231,+","0",",0,1231,+","33.0",",0,0406,","35.6","0,0906,","-1.7","0,1116","-3.9","0,1117","","","","","-0.6","0,0307","","","","","","","1522.7","","1522.7","0","463.1",",0","0",",0","14.81","0","21.12","0","8.50","0","","","","","","","","","","","","","","","",""
"USW00023273","1959","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","","","74.8","","74.8","0","24","0","15","0","0","","0","0","0","0","8","0","0","0","198","0","6","0","-1.7","0,0209,","0",",0,1231,+","0",",0,1231,+","39.9",",0,0210,","36.7","0,1023,","0.0","0,1215","","","","","","","-0.6","0,0213","","","","","","","1330.6","","1330.6","0","185.4",",0","0",",0","14.72","0","21.35","0","8.09","0","","","","","","","","","","","","","","","",""
"USW00023273","1960","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","","","34.7","","34.7","0","37","0","31","0","0","","0","0","0","0","16","0","0","0","115","0","0","0","-6.1","0,0102,","0",",0,1231,+","0",",0,1231,+","48.0",",0,1006,","31.7","0,1005,+","-0.6","0,1206","-2.8","0,1207","","","","","0.0","0,0225","-2.2","0,0105","-6.1","0,0102","","","1502.4","","1502.4","0","402.2",",0","0",",0","13.57","0","19.56","0","7.57","0","","","","","","","","","","","","","","","",""
"USW00023273","1961","34.8994","-120.4486","73.8","SANTA MARIA PUBLIC AIRPORT, CA US","","","66.1","","66.1","0","32","0","14","0","0","","0","0","0","0","10","0","0","0","149","0","6","0","-1.7","0,0105,+","0",",0,1231,+","0",",0,1231,+","33.0",",0,1120,","38.3","0,1014,","-1.1","0,1117","","","","","","","-1.1","0,0109","","","","","","","1751.8","","1751.8","0","149.2",",0","0",",0","13.92","0","20.37","0","7.47","0","","","","","","","","","","","","","","","",""
