"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00020632","1950","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","2015.3","","2015.3","0","26","0","16","0","0","","0","0","0","0","4","0","0","0","317","0","183","0","-3.9","0,0106,","0",",0,1231,+","0",",0,1231,+","32.5",",0,0723,","47.2","0,0902,","3386.5","0","","","","","","","0.0","0,0107","-3.9","0,0106","","","719.7","","719.7","0","","","","","183.8",",0","0",",0","22.32","0","30.81","0","13.84","0","40177","0"
"USC00020632","1951","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","1890.0","","1890.0","0","50","0","36","0","0","","0","0","0","0","5","0","0","0","270","0","151","0","-1.7","0,0103,+","0",",0,1231,+","0",",0,1231,+","101.6",",0,0828,","45.0","0,0731,","3096.1","0","","","","","","","0.0","0,0304","","","","","626.0","","626.0","0","","","","","471.6",",0","0",",0","21.12","0","28.68","0","13.56","0","",""
"USC00020632","1952","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","2204.2","","2204.2","0","55","0","35","0","0","","0","0","0","0","1","0","0","0","254","0","175","0","0.0","0,0219,","0",",0,1231,+","0","T,0,0813,","34.3",",0,1124,","44.4","0,0904,+","","","","","","","","","0.0","0,0219","","","","","967.4","","967.4","0","","","","","375.2",",0","0","T,0","21.57","0","28.84","0","14.29","0","38562","0"
"USC00020632","1953","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","1918.7","","1918.7","0","25","0","16","0","0","","0","0","0","0","10","0","0","0","304","0","158","0","-1.7","0,1224,+","0",",0,1231,+","0",",0,1231,+","41.1",",0,0717,","46.1","0,0703,","3210.5","0","-0.6","0,1119","","","","","-1.1","0,0221","","","","","825.7","","825.7","0","","","","","181.0",",0","0",",0","21.34","0","29.82","0","12.86","0","37289","0"
"USC00020632","1954","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","2064.3","","2064.3","0","38","0","24","0","0","","0","0","0","0","4","0","0","0","315","0","179","0","-4.4","0,1228,","0",",0,1231,+","0",",0,1231,+","40.4",",0,0323,","45.6","0,0729,","3221.5","0","-2.2","0,1227","-2.2","0,1227","-4.4","0,1228","","","","","","","685.7","","685.7","0","","","","","275.3",",0","0",",0","22.52","0","30.59","0","14.44","0","37354","0"
"USC00020632","1955","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","1789.9","","1789.9","0","39","0","26","0","0","","0","0","0","0","17","0","0","0","295","0","154","0","-2.2","0,0219,+","0",",0,1231,+","0",",0,1231,+","37.3",",0,0724,","45.6","0,0623,+","","","","","","","","","-1.7","0,0321","-2.2","0,0219","","","786.8","","786.8","0","","","","","384.4",",0","0",",0","20.99","0","29.05","0","12.93","0","34370","0"
"USC00020632","1956","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","2050.4","","2050.4","0","25","0","13","0","0","","0","0","0","0","5","0","0","0","298","0","165","0","-4.4","0,0203,","0",",0,1231,+","0",",0,1231,+","39.1",",0,0730,","46.7","0,0709,","3516.5","0","0.0","0,1121","","","","","-1.1","0,0205","-2.8","0,0204","-4.4","0,0203","655.4","","655.4","0","","","","","158.6",",0","0",",0","21.85","0","30.10","0","13.61","0","36117","0"
"USC00020632","1957","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","1824.5","","1824.5","0","59","0","32","0","0","","0","0","0","0","1","0","0","0","293","0","143","0","0.0","0,0323,","0",",0,1231,+","0",",0,1231,+","28.4",",0,0108,","46.7","0,0801,","2885.2","0","","","","","","","0.0","0,0323","","","","","689.7","","689.7","0","","","","","316.0",",0","0",",0","21.53","0","29.24","0","13.83","0","36710","0"
"USC00020632","1958","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","2084.7","","2084.7","0","66","0","33","0","0","","0","0","0","0","2","0","0","0","300","0","159","0","-1.7","0,1118,","0",",0,1231,+","0",",0,1231,+","37.3",",0,0923,","47.8","0,0712,","","","0.0","0,1117","","","","","","","","","","","736.2","","736.2","0","","","","","357.4",",0","0",",0","22.17","0","30.00","0","14.33","0","",""
"USC00020632","1959","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","2073.2","","2073.2","0","44","0","27","0","0","","0","0","0","0","7","0","0","0","302","0","172","0","-0.6","0,1215,+","0",",0,1231,+","0",",0,1231,+","54.4",",0,1030,","46.7","0,0621,","","","-0.6","0,1215","","","","","0.0","0,0204","","","","","600.9","","600.9","0","","","","","411.1",",0","0",",0","22.12","0","30.02","0","14.21","0","",""
"USC00020632","1960","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","2055.6","","2055.6","0","37","0","22","0","0","","0","0","0","0","27","0","0","0","288","0","165","0","-3.9","0,0225,","0",",0,1231,+","0",",0,1231,+","18.8",",0,0112,","46.7","0,0620,","","","-0.6","0,1204","-2.8","0,1208","","","-3.3","0,0226","-3.3","0,0226","","","877.2","","877.2","0","","","","","159.8",",0","0",",0","21.53","0","29.88","0","13.18","0","",""
"USC00020632","1961","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","1900.0","","1900.0","0","43","0","23","0","0","","0","0","0","0","1","0","0","0","302","0","163","0","0.0","0,1212,","0",",0,1231,+","0",",0,1231,+","31.0",",0,1216,","45.6","0,0720,+","","","0.0","0,1212","","","","","","","","","","","575.5","","575.5","0","","","","","243.6",",0","0",",0","21.69","0","29.74","0","13.65","0","",""
"USC00020632","1962","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","2041.5","","2041.5","0","43","0","27","0","0","","0","0","0","0","8","0","0","0","292","0","162","0","-3.3","0,0111,","0",",0,1231,+","0",",0,1231,+","21.8",",0,1116,","45.6","0,0812,","","","","","","","","","0.0","0,0314","-3.3","0,0111","","","895.5","","895.5","0","","","","","231.1",",0","0",",0","21.93","0","29.78","0","14.09","0","",""
"USC00020632","1963","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","1910.4","","1910.4","0","44","0","28","0","0","","0","0","0","0","9","0","0","0","302","0","169","0","-6.1","0,0113,","0",",0,1231,+","0",",0,1231,+","22.4",",0,0806,+","45.0","0,0725,","","","0.0","0,1214","","","","","0.0","0,0122","-4.4","0,0121","-4.4","0,0121","703.4","","703.4","0","","","","","332.7",",0","0",",0","21.29","0","29.64","0","12.93","0","",""
"USC00020632","1964","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","1651.9","","1651.9","0","53","0","26","0","0","","0","0","0","0","53","0","0","0","263","0","157","0","-3.9","0,1116,+","0",",0,1231,+","0",",0,1231,+","35.6",",0,0724,","46.7","0,0708,","","","-2.2","0,1115","-2.2","0,1115","","","0.0","0,0310","-2.2","0,0215","","","1085.3","","1085.3","0","","","","","275.5",",0","0",",0","19.50","0","28.51","0","10.48","0","",""
"USC00020632","1965","33.8097","-111.6497","502.9","BARTLETT DAM, AZ US","1847.1","","1847.1","0","65","0","43","0","0","","0","0","0","0","22","0","0","0","278","0","156","0","-5.6","0,0213,","0",",0,1231,+","0",",0,1231,+","49.0",",0,1215,","45.0","0,0705,","","","-0.6","0,1216","","","","","0.0","0,0305","-2.8","0,0304","-5.6","0,0213","1144.0","","1144.0","0","","","","","633.3",",0","0",",0","20.61","0","28.48","0","12.74","0","30934","0"
