"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00092552","1894","31.3725","-81.43667","3.7","DARIEN, GA US","","","","","103","6","80","6","","","","","","","0","6","309","6","80","6","","","","","127.5",",6,0926,","37.2","6,0817,+","","","","","","","1250.6",",6","","","","","26.83","6","",""
"USC00092552","1932","31.3725","-81.43667","3.7","DARIEN, GA US","1377.9","","1377.9","6","78","6","67","6","","","0","6","7","6","0","6","310","6","69","6","-3.3","6,0310,","","","90.2",",6,1101,","37.2","6,0722,+","-1.1","6,1129","-1.1","6,0315","-3.3","6,0310","1279.8",",6","","","20.55","6","26.19","6","14.91","6"
"USC00092552","2004","31.3725","-81.43667","3.7","DARIEN, GA US","","","","","","","","","0","0","","","","","0","0","273","0","86","0","","","0",",0,1231,+","","","37.8","0,0530,","","","","","","","","","0",",0","","","26.23","0","",""
