"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00241008","1949","46.231","-112.1138","1494.7","BOULDER, MT US","","","","","73","0","32","0","","","15","0","","","","","63","0","131","0","16","0","","","","","203",",0,0219,","21.3",",0,0617,","35.6","0,0806,+","","","","","","","","","","","","","","","","","","","","","","","","","232.3",",0","1301",",0","","","13.49","0","","","","","",""
"USC00241008","1950","46.231","-112.1138","1494.7","BOULDER, MT US","","","","","102","0","35","0","44","","","","","","","","39","0","107","0","4","0","","","305",",0,0428,","","","21.1",",0,0428,","34.4","0,0904,","","","","","","","","","","","","","","","","","","","","","","","","","308.2",",0","","","","","12.90","0","","","","","",""
"USC00241008","1951","46.231","-112.1138","1494.7","BOULDER, MT US","84.2","","84.2","0","95","0","36","0","","","","","36","0","209","0","55","0","97","0","19","0","-33.9","0,0130,+","","","","","12.4",",0,0923,","36.7","0,0718,","-2.2","0,0902","-2.2","0,0902","-4.4","0,0928","-7.2","0,1016","-11.1","0,1026","-3.9","0,0603","-3.9","0,0603","-7.8","0,0425","-7.8","0,0425","-9.4","0,0422","4855.1","","4855.1","0","246.5",",0","","","4.22","0","12.06","0","-3.63","0","","","",""
"USC00241008","1952","46.231","-112.1138","1494.7","BOULDER, MT US","56.0","","56.0","0","69","0","29","0","","","","","42","0","212","0","61","0","131","0","10","0","-32.2","0,0122,","","","","","25.4",",0,0515,","36.1","0,0802,","-0.6","0,0901","-6.7","0,0914","-6.7","0,0914","-6.7","0,0914","-12.2","0,1102","-1.7","0,0613","-2.8","0,0510","-5.0","0,0422","-7.8","0,0408","-10.0","0,0401","5108.6","","5108.6","0","213.5",",0","","","5.10","0","13.81","0","-3.61","0","","","",""
"USC00241008","1953","46.231","-112.1138","1494.7","BOULDER, MT US","72.1","","72.1","0","70","0","29","0","","","","","5","0","220","0","22","0","122","0","17","0","-23.3","0,0106,","","","","","16.8",",0,0524,","37.2","0,0713,","-0.6","0,0824","-2.8","0,0904","-6.7","0,0929","-6.7","0,0929","-9.4","0,1003","0.0","0,0626","-3.9","0,0524","-5.0","0,0515","-6.7","0,0503","-12.2","0,0411","4516.8","","4516.8","0","201.8",",0","","","6.72","0","15.17","0","-1.72","0","","","",""
"USC00241008","1954","46.231","-112.1138","1494.7","BOULDER, MT US","","","","","71","0","26","0","","","10","0","","","","","33","0","108","0","15","0","","","","","89",",0,0116,","14.2",",0,0627,","36.1","0,0712,","","","","","","","","","","","","","","","","","","","","","4439.3","","4439.3","0","192.6",",0","502",",0","","","14.25","0","","","","","",""
"USC00241008","1955","46.231","-112.1138","1494.7","BOULDER, MT US","","","","","90","0","35","0","","","","","","","","","82","0","107","0","12","0","","","","","","","34.8",",0,0426,","35.6","0,0716,","","","","","","","","","","","","","","","","","","","","","","","","","292.2",",0","","","","","12.00","0","","","","","",""
"USC00241008","1956","46.231","-112.1138","1494.7","BOULDER, MT US","61.5","","61.5","0","77","0","31","0","","","","","31","0","209","0","40","0","127","0","6","0","-37.2","0,0216,","","","","","13.5",",0,0705,","34.4","0,0723,","-1.1","0,0831","-2.2","0,0905","-8.9","0,1014","-8.9","0,1014","-8.9","0,1014","-2.8","0,0513","-2.8","0,0513","-6.7","0,0505","-6.7","0,0505","-10.0","0,0406","4936.9","","4936.9","0","222.9",",0","","","5.61","0","13.68","0","-2.46","0","","","",""
"USC00241008","1957","46.231","-112.1138","1494.7","BOULDER, MT US","70.5","","70.5","0","85","0","38","0","","","","","26","0","202","0","43","0","115","0","12","0","-38.9","0,0126,","","","","","17.8",",0,0520,","33.9","0,0809,+","-3.3","0,0909","-3.3","0,0909","-4.4","0,0918","-6.7","0,1004","-11.7","0,1022","-2.2","0,0524","-2.2","0,0524","-4.4","0,0427","-9.4","0,0413","-9.4","0,0413","4736.9","","4736.9","0","257.1",",0","","","5.43","0","13.03","0","-2.18","0","","","",""
"USC00241008","1958","46.231","-112.1138","1494.7","BOULDER, MT US","69.5","","69.5","0","88","0","41","0","","","","","13","0","200","0","33","0","114","0","6","0","-25.0","0,1127,","","","","","19.8",",0,0603,","33.3","0,0816,+","-2.8","0,0903","-2.8","0,0903","-5.0","0,0930","-7.8","0,1022","-10.6","0,1025","0.0","0,0515","-3.3","0,0506","-6.1","0,0428","-9.4","0,0424","-9.4","0,0424","4395.5","","4395.5","0","285.2",",0","","","6.34","0","14.08","0","-1.40","0","","","",""
"USC00241008","1959","46.231","-112.1138","1494.7","BOULDER, MT US","59.6","","59.6","0","71","0","40","0","","","","","22","0","215","0","32","0","106","0","6","0","-36.7","0,1116,","","","","","22.1",",0,0626,","34.4","0,0723,","-1.7","0,0902","-6.1","0,0909","-6.1","0,0909","-6.7","0,1008","-12.8","0,1104","-0.6","0,0610","-2.2","0,0529","-4.4","0,0512","-6.7","0,0426","-10.6","0,0409","4554.8","","4554.8","0","282.5",",0","","","5.35","0","13.26","0","-2.56","0","","","",""
"USC00241008","1960","46.231","-112.1138","1494.7","BOULDER, MT US","82.4","","82.4","0","69","0","30","0","","","","","39","0","234","0","48","0","125","0","15","0","-30.0","0,0228,","","","","","17.8",",0,0504,","37.2","0,0720,","-2.2","0,0824","-2.2","0,0824","-4.4","0,0828","-6.7","0,0908","-8.9","0,0922","0.0","0,0624","-3.9","0,0524","-5.0","0,0518","-7.2","0,0430","-9.4","0,0429","4903.9","","4903.9","0","210.8",",0","","","4.99","0","13.37","0","-3.39","0","","","",""
"USC00241008","1961","46.231","-112.1138","1494.7","BOULDER, MT US","155.7","","155.7","0","80","0","31","0","","","","","16","0","211","0","28","0","117","0","18","0","-32.8","0,1211,","","","","","18.3",",0,0423,","37.8","0,0805,","-0.6","0,0902","-5.6","0,0913","-5.6","0,0913","-8.3","0,0924","-8.9","0,0927","0.0","0,0519","-2.2","0,0507","-5.6","0,0426","-6.7","0,0420","-11.7","0,0414","4345.6","","4345.6","0","253.6",",0","","","6.47","0","14.36","0","-1.42","0","","","",""
